Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Mining Logging and Construction,2083.33,2202.5,2336.67,2488.33,2695,2725.83,2838.33,2903.33,3114.17,3143.33,3115.83,3267.5,3529.17,3596.67,3100.49
Manufacturing,1725,1775.83,1631.67,1431.67,1421.67,1362.5,1426.67,1423.33,1394.17,1333.33,1211.67,1309.17,1344.17,1326.67,1431.32
Trade Transportation and Utilities,4482.5,4540,4609.17,4674.17,4679.17,4799.17,4898.33,4936.67,4896.67,4930.83,4747.5,5135,5165.83,5265.83,5032.08
Information,330.83,297.5,297.5,304.17,295,292.5,285,277.5,310,272.5,223.33,225,255,290,303.75
Financial Activities,1355,1347.5,1424.17,1475.83,1343.33,1294.17,1319.17,1326.67,1347.5,1333.33,1308.33,1370,1366.67,1199.17,1281.32
Professional and Business Services,2325,2256.67,2073.33,2084.17,2079.17,2160.83,2191.67,2211.67,2373.33,2445,2465,2671.67,2730,2784.17,2654.03
Private Education and Health Services,4288.33,4499.17,4670,4991.67,5028.33,5324.17,5437.5,5487.5,5394.17,5499.17,5175.83,5285,5556.67,5724.17,5301.46
Leisure and Hospitality,4380,4475,4361.67,4555.83,4619.17,4495.83,4655.83,4929.17,5084.17,5324.17,4223.33,4555.83,5174.17,5386.67,5198.47
Other Services,1051.67,1103.33,1250.83,1458.33,1665.83,1788.33,1875,2055,2075,2070,1775,1887.5,2058.33,2152.5,1816.67
Government,6160.83,6126.67,5941.67,5961.67,6086.67,6510.83,6512.5,6533.33,6625.83,6662.5,6164.17,6069.17,6365.83,6610.83,6379.79
