Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Civilian Unemployment,20591.67,19166.67,16616.67,13691.67,11116.67,8983.33,8075,7050,5958.33,5916.67,13925,9600,6000,7258.33,11590.28
Total Farm,341.67,350,333.33,416.67,325,300,291.67,316.67,375,383.33,383.33,333.33,341.67,366.67,353.33
Total Nonfarm,127008.33,128100,133341.67,141025,146075,151966.67,159691.67,164533.33,171408.33,175433.33,164925,176066.67,184566.67,188225,135110
Mining and Logging,100,0,0,0,75,100,100,100,100,100,100,166.67,191.67,200,35
Construction,8375,8116.67,8633.33,9833.33,10533.33,12183.33,13891.67,14758.33,16075,17266.67,17483.33,18783.33,19675,18866.67,9098.33
Manufacturing,6616.67,6591.67,6258.33,6158.33,6183.33,6500,6616.67,5800,5616.67,5658.33,5366.67,5908.33,6991.67,7100,6361.67
Trade Transportation & Utilities,25925,26241.67,27541.67,28641.67,29608.33,29766.67,30258.33,30475,31758.33,32333.33,30808.33,32208.33,31841.67,31650,27591.67
Information,2458.33,2333.33,2300,2208.33,2200,2558.33,2516.67,2366.67,2441.67,2433.33,1983.33,1883.33,1933.33,1966.67,2300
Financial Activities,9675,9716.67,10316.67,11158.33,11300,11516.67,12158.33,12275,13458.33,13108.33,12641.67,13025,13266.67,12858.33,10433.33
Professional and Business Services,12991.67,13300,13941.67,15266.67,16775,18575,19791.67,20591.67,22225,22791.67,22191.67,23966.67,24550,24258.33,14455
Private Education and Health Services,19308.33,20375,21583.33,22991.67,24133.33,24650,26208.33,28075,28791.67,29983.33,29375,30800,32583.33,35808.33,21678.33
Leisure and Hospitality,18133.33,18466.67,19000,20233.33,20341.67,20458.33,22075,23233.33,23675,24191.67,19400,22300,25808.33,26625,19235
Other Services,4483.33,4741.67,5083.33,5516.67,5733.33,5950,5883.33,6433.33,6666.67,6966.67,6033.33,7166.67,7508.33,8025,5111.67
Government,18941.67,18216.67,18683.33,19016.67,19191.67,19708.33,20191.67,20391.67,20608.33,20591.67,19541.67,19858.33,20258.33,20783.33,18810
