Main Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"""Mining Logging and Construction""",305,310.83,341.67,331.67,327.5,353.33,350,348.33,383.33,372.5,409.17,414.17,465.83,450,414.72
Mining and Logging,36.67,37.5,30.83,37.5,30.83,34.17,35.83,40,47.5,44.17,52.5,65,70,66.67,58.61
Construction,268.33,273.33,310.83,294.17,296.67,319.17,314.17,308.33,335.83,328.33,356.67,349.17,395.83,383.33,356.11
Manufacturing,437.5,480,484.17,478.33,471.67,456.67,489.17,488.33,505,519.17,509.17,487.5,464.17,476.67,471.81
"""Trade Transportation and Utilities""",920,846.67,874.17,910,891.67,902.5,905,913.33,948.33,936.67,958.33,940.83,965,970,897.71
Information,70,60,60,60,60.83,56.67,58.33,60,60,63.33,37.5,36.67,39.17,54.17,59.24
Financial Activities,206.67,197.5,178.33,184.17,176.67,169.17,167.5,167.5,175,159.17,135.83,165,189.17,176.67,186.95
Professional and Business Services,270.83,248.33,258.33,260,275,291.67,294.17,303.33,316.67,330,345.83,326.67,300,346.67,336.87
Private Education and Health Services,616.67,598.33,615.83,751.67,784.17,655,615,615,619.17,635,619.17,639.17,625.83,600.83,613.06
Leisure and Hospitality,778.33,709.17,714.17,716.67,735.83,769.17,829.17,822.5,907.5,959.17,727.5,763.33,842.5,820.83,759.51
Other Services,138.33,136.67,131.67,141.67,150.83,154.17,165.83,215,225.83,259.17,235,255.83,268.33,281.67,221.6
Government,2750,2736.67,2491.67,2404.17,2475.83,2515,2530.83,2496.67,2480.83,2534.17,2385,2328.33,2338.33,2387.5,2484.03
