Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Mining and Logging,400,400,400,333.33,300,300,300,391.67,400,466.67,400,400,500,400,366.67
Manufacturing,37866.67,38566.67,39441.67,39041.67,40108.33,41250,42666.67,42916.67,44508.33,45166.67,42950,43650,44916.67,45200,39005
Trade Transportation & Utilities,117008.33,121591.67,123091.67,129700,136350,146108.33,152816.67,158941.67,163600,169583.33,173191.67,188141.67,197925,196683.33,125548.33
Information,10250,7691.67,6391.67,6283.33,6308.33,6366.67,6325,6108.33,6183.33,6491.67,5308.33,5325,5483.33,5641.67,7385
Financial Activities,19258.33,18566.67,19266.67,20008.33,20483.33,20941.67,21416.67,21841.67,22108.33,21600,20925,21416.67,22533.33,21108.33,19516.67
Professional and Business Services,50325,52283.33,54008.33,57558.33,60916.67,62616.67,65183.33,66558.33,70533.33,73650,71500,77208.33,78558.33,76283.33,55018.33
Private Education and Health Services,71158.33,74316.67,78941.67,85500,89541.67,95216.67,100158.33,106983.33,114925,115300,119583.33,124558.33,131683.33,143891.67,79891.67
Leisure and Hospitality,67675,68908.33,72316.67,74958.33,80500,83391.67,88216.67,91158.33,93716.67,97800,77566.67,88566.67,101133.33,104233.33,72871.67
Other Services,18300,18758.33,19191.67,20275,21558.33,21708.33,22250,22575,22766.67,23266.67,19883.33,21766.67,24391.67,25491.67,19616.67
Government,109183.33,114200,112141.67,111191.67,112666.67,114458.33,117583.33,126416.67,130083.33,132141.67,124016.67,119783.33,121666.67,128075,111876.67
