Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Civilian Unemployment,88358.33,83683.33,72608.33,60950,50075,41275,37625,32725,27325,26450,67158.33,49758.33,28800,32525,50606.25
Total Farm,2566.67,2466.67,2608.33,2616.67,2608.33,2741.67,2241.67,3233.33,2633.33,2433.33,2366.67,3016.67,3000,3358.33,2573.33
Total Nonfarm,565958.33,563366.67,573950,585166.67,597191.67,618575,641766.67,645025,662833.33,679433.33,649225,675850,703441.67,715316.67,577126.67
Mining and Logging,66.67,150,200,191.67,158.33,100,175,141.67,166.67,200,208.33,50,58.33,116.67,153.33
Construction,23525,22583.33,23608.33,27083.33,28458.33,30958.33,32933.33,35533.33,38625,41516.67,42208.33,44933.33,45633.33,44200,25051.66
Manufacturing,19375,20366.67,21100,20850,21316.67,20833.33,21141.67,21100,21150,21791.67,21750,22408.33,23341.67,23566.67,20601.67
Trade Transportation & Utilities,81658.33,82700,86400,87216.67,87533.33,90816.67,94125,96100,99375,99283.33,95183.33,101433.33,105500,106325,85101.67
Information,13241.67,12600,11775,11000,10166.67,10016.67,9675,8500,8400,7966.67,6908.33,6883.33,7150,6641.67,11756.67
Financial Activities,32100,30566.67,31250,31533.33,31166.67,32691.67,33158.33,33350,33233.33,33358.33,33041.67,32816.67,32725,30291.67,31323.33
Professional and Business Services,76716.67,78275,83900,86133.33,88100,88408.33,94408.33,94850,95966.67,98850,95466.67,100816.67,99458.33,95116.67,82625
Private Education and Health Services,86416.67,87000,88375,91158.33,93266.67,101950,109491.67,106833.33,112166.67,116583.33,115550,118716.67,123175,132116.67,89243.33
Leisure and Hospitality,48483.33,49541.67,51325,53708.33,55975,58691.67,60833.33,62541.67,65216.67,67708.33,50641.67,55933.33,65425,67950,51806.67
Other Services,20058.33,19675,19633.33,19550,20316.67,20833.33,21166.67,22358.33,23250,24058.33,21158.33,22091.67,24066.67,25533.33,19846.67
Government,164316.67,159908.33,156383.33,156741.67,160733.33,163275,164658.33,163750,165275,168125,167108.33,169766.67,176866.67,183541.67,159616.67
