Main Category,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Mining and Logging,600.0,641.67,791.67,866.67,991.67,983.33,575.0,575.0,766.67,741.67,883.33,1016.67,1041.67,1108.33,778.34
Construction,24325.0,24966.67,26783.33,27433.33,30125.0,32733.33,33841.67,35166.67,37783.33,39041.67,38100.0,39200.0,40850.0,41658.33,26726.67
Manufacturing,47291.67,46533.33,47275.0,48300.0,51208.33,54850.0,56266.67,56316.67,56583.33,55400.0,52175.0,52491.67,55108.33,53650.0,48121.67
"""Trade Transportation & Utilities""",152983.33,153966.67,164491.67,169966.67,178541.67,187091.67,193475.0,206566.67,215983.33,224816.67,233708.33,255075.0,266950.0,259791.67,163990.0
Information,3766.67,4508.33,5325.0,5250.0,4950.0,5041.67,5241.67,5175.0,5250.0,5025.0,4066.67,4400.0,7500.0,7691.67,4760.0
Financial Activities,21416.67,21291.67,21391.67,21825.0,22375.0,23000.0,23833.33,22383.33,21725.0,23433.33,23141.67,23741.67,23425.0,23775.0,21660.0
Professional and Business Services,73125.0,73325.0,73058.33,74375.0,77800.0,84816.67,80650.0,80316.67,80850.0,85016.67,83875.0,92141.67,95308.33,88550.0,74336.67
Private Education and Health Services,90191.67,91125.0,94666.67,102125.0,105266.67,109908.33,114091.67,119675.0,124533.33,134975.0,129083.33,129716.67,135816.67,143558.33,96675.0
Leisure and Hospitality,55108.33,55125.0,57066.67,60891.67,64283.33,68316.67,71516.67,75166.67,76916.67,78066.67,63733.33,71591.67,79750.0,82291.67,58495.0
Other Services,19925.0,20333.33,20875.0,20858.33,21458.33,22275.0,22841.67,22841.67,23000.0,22916.67,20316.67,21808.33,23041.67,23800.0,20690.0
Government,125150.0,113275.0,112458.33,113966.67,116083.33,118833.33,122883.33,124591.67,127091.67,129075.0,124000.0,122191.67,128291.67,132808.33,116186.67
