Main Category,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
"""Mining Logging and Construction""",14291.67,13866.67,15000.0,15883.33,16908.33,18641.67,20425.0,21108.33,23191.67,24108.33,23158.33,22058.33,22933.33,23300.0,15190.0
Manufacturing,8691.67,8900.0,9600.0,9275.0,10083.33,10791.67,12200.0,13191.67,13166.67,13766.67,13400.0,11741.67,11908.33,12591.67,9310.0
"""Trade Transportation & Utilities""",61666.67,62350.0,65316.67,68541.67,70666.67,75600.0,78841.67,81033.33,82575.0,84283.33,73233.33,70058.33,70591.67,66441.67,65708.34
Information,19475.0,22733.33,25500.0,25741.67,28325.0,35241.67,39008.33,43000.0,46050.0,52516.67,54575.0,58225.0,67516.67,63883.33,24355.0
Financial Activities,48383.33,46991.67,47775.0,49341.67,50191.67,53625.0,56141.67,56333.33,59850.0,62016.67,60291.67,61008.33,61683.33,59233.33,48536.67
Professional and Business Services,122058.33,131700.0,144466.67,156766.67,168758.33,183375.0,190591.67,194700.0,195425.0,203083.33,200925.0,200558.33,217025.0,203808.33,144750.0
Private Education and Health Services,80366.67,79641.67,81941.67,82825.0,82966.67,85741.67,87725.0,89033.33,90325.0,94091.67,91525.0,93941.67,96525.0,99591.67,81548.34
Leisure and Hospitality,76775.0,79541.67,84675.0,86225.0,90208.33,93858.33,97266.67,96891.67,98516.67,101775.0,59108.33,56958.33,75616.67,81975.0,83485.0
Other Services,21616.67,21850.0,22866.67,24283.33,25750.0,26041.67,26883.33,27425.0,27675.0,28016.67,21825.0,22816.67,23858.33,24200.0,23273.33
Government,89950.0,89800.0,89166.67,88433.33,89450.0,92100.0,94341.67,96591.67,98183.33,98825.0,98233.33,101341.67,106525.0,108508.33,89360.0
