Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Mining and Logging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manufacturing,2508.33,2658.33,2675,2675,2766.67,2191.67,2216.67,3325,3350,3150,2800,3050,3283.33,3241.67,2656.67
Trade Transportation & Utilities,2675,2750,2875,3166.67,3308.33,3525,3541.67,2150,2133.33,2233.33,2075,2250,2483.33,2583.33,2955
Information,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Financial Activities,300,300,300,375,375,375,400,300,300,300,308.33,375,333.33,300,330
Professional and Business Services,691.67,683.33,941.67,1100,1175,1075,1100,1208.33,1116.67,1200,1275,1400,1441.67,1258.33,918.33
Private Education and Health Services,1091.67,1058.33,1100,1200,1291.67,1366.67,1475,1425,1425,1516.67,1475,1491.67,1550,1700,1148.33
Leisure and Hospitality,1116.67,1083.33,1191.67,1233.33,1250,1266.67,1300,1433.33,1450,1600,1425,1608.33,1741.67,1841.67,1175
Other Services,400,450,400,400,375,400,400,500,500,500,408.33,475,500,500,405
Government,2991.67,2841.67,2708.33,2741.67,2800,2850,2858.33,2875,2891.67,3000,3050,3150,3283.33,3308.33,2816.67
