Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Civilian Unemployment,123483.33,116233.33,103266.67,88391.67,73175,59558.33,53866.67,46800,39250,37375,93525,73458.33,41750,47166.67,72379.17
Total Farm,2600,2450,2425,2416.67,2550,2200,1850,2166.67,2216.67,2450,2275,2275,2508.33,2208.33,2488.33
Total Nonfarm,613883.33,605091.67,624183.33,645858.33,673083.33,707850,725216.67,748775,770483.33,798508.33,773083.33,813375,857083.33,858683.33,632420
Mining and Logging,600,641.67,791.67,866.67,991.67,983.33,575,575,766.67,741.67,883.33,1016.67,1041.67,1108.33,778.34
Construction,24325,24966.67,26783.33,27433.33,30125,32733.33,33841.67,35166.67,37783.33,39041.67,38100,39200,40850,41658.33,26726.67
Manufacturing,47291.67,46533.33,47275,48300,51208.33,54850,56266.67,56316.67,56583.33,55400,52175,52491.67,55108.33,53650,48121.67
Trade Transportation & Utilities,152983.33,153966.67,164491.67,169966.67,178541.67,187091.67,193475,206566.67,215983.33,224816.67,233708.33,255075,266950,259791.67,163990
Information,3766.67,4508.33,5325,5250,4950,5041.67,5241.67,5175,5250,5025,4066.67,4400,7500,7691.67,4760
Financial Activities,21416.67,21291.67,21391.67,21825,22375,23000,23833.33,22383.33,21725,23433.33,23141.67,23741.67,23425,23775,21660
Professional and Business Services,73125,73325,73058.33,74375,77800,84816.67,80650,80316.67,80850,85016.67,83875,92141.67,95308.33,88550,74336.67
Private Education and Health Services,90191.67,91125,94666.67,102125,105266.67,109908.33,114091.67,119675,124533.33,134975,129083.33,129716.67,135816.67,143558.33,96675
Leisure and Hospitality,55108.33,55125,57066.67,60891.67,64283.33,68316.67,71516.67,75166.67,76916.67,78066.67,63733.33,71591.67,79750,82291.67,58495
Other Services,19925,20333.33,20875,20858.33,21458.33,22275,22841.67,22841.67,23000,22916.67,20316.67,21808.33,23041.67,23800,20690
Government,125150,113275,112458.33,113966.67,116083.33,118833.33,122883.33,124591.67,127091.67,129075,124000,122191.67,128291.67,132808.33,116186.67
