Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Civilian Unemployment,167033.33,159883.33,142650,122016.67,100108.33,81116.67,74116.67,63616.67,53175,51383.33,144966.67,100066.67,55208.33,62016.67,98924.3
Total Farm,10525,9791.67,9800,9750,9383.33,9083.33,8925,8700,9266.67,9691.67,9150,9025,9591.67,9450,9662.5
Total Nonfarm,1240466.67,1250258.33,1282775,1315983.33,1344691.67,1384800,1422575,1452241.67,1482158.33,1503058.33,1385816.67,1442050,1531175,1552075,1445497.92
Mining Logging and Construction,55808.33,55616.67,57375,61316.67,64316.67,70225,76583.33,79841.67,84016.67,84308.33,81625,84133.33,87983.33,90150,77836.11
Mining and Logging,375,375,350,300,391.67,308.33,300,300,366.67,358.33,308.33,325,400,341.67,382.64
Construction,55433.33,55241.67,57025,61016.67,63925,69916.67,76283.33,79541.67,83650,83950,81316.67,83808.33,87583.33,89808.33,77453.47
Manufacturing,95683.33,96516.67,98325,99558.33,102408.33,106558.33,108391.67,109400,112341.67,115658.33,113775,114408.33,116883.33,115100,106324.3
Service-Providing,1088975,1098125,1127075,1155108.33,1177966.67,1208016.67,1237600,1263000,1285800,1303091.67,1190416.67,1243508.33,1326308.33,1346825,1261337.5
Trade Transportation and Utilities,199133.33,202791.67,209925,214225,216158.33,219258.33,220875,224700,225033.33,223966.67,207758.33,216833.33,222441.67,223058.33,216002.78
Information,25083.33,24166.67,24391.67,24125,24141.67,23425,23233.33,23425,23625,23525,22050,21516.67,22075,21891.67,22359.03
Financial Activities,67175,67416.67,69850,70958.33,69641.67,71383.33,72991.67,74641.67,76025,76541.67,74775,76208.33,76875,72675,70378.47
Professional and Business Services,203300,204908.33,210933.33,218691.67,222550,229475,234708.33,239075,249025,255775,248300,265266.67,282508.33,276000,245806.94
Private Education and Health Services,164558.33,167925,174583.33,181083.33,186083.33,192691.67,198733.33,204283.33,208850,216625,210941.67,216650,228275,243216.67,221136.11
Leisure and Hospitality,153166.67,154308.33,160400,167233.33,175500,182400,190375,195583.33,199641.67,201666.67,144750,161625,193116.67,201591.67,186517.36
Other Services,46091.67,47650,49158.33,49308.33,51975,53233.33,54441.67,55008.33,55508.33,56416.67,44750,47508.33,54433.33,57083.33,54073.61
Government,230466.67,228958.33,227833.33,229483.33,231916.67,236150,242241.67,246283.33,248091.67,248575,237091.67,237900,246583.33,251308.33,245063.19
