Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Civilian Unemployment,44191.67,40366.67,34991.67,28433.33,23341.67,19841.67,18341.67,16591.67,13650,12875,44333.33,27766.67,14741.67,18400,26185.42
Total Farm,250,175,133.33,141.67,150,158.33,125,150,183.33,366.67,225,300,266.67,208.33,170
Total Nonfarm,543275,557375,586308.33,607316.67,633308.33,675016.67,703425,719308.33,734958.33,762483.33,696275,698708.33,754183.33,743533.33,585516.67
Mining Logging and Construction,14291.67,13866.67,15000,15883.33,16908.33,18641.67,20425,21108.33,23191.67,24108.33,23158.33,22058.33,22933.33,23300,15190
Manufacturing,8691.67,8900,9600,9275,10083.33,10791.67,12200,13191.67,13166.67,13766.67,13400,11741.67,11908.33,12591.67,9310
Trade Transportation & Utilities,61666.67,62350,65316.67,68541.67,70666.67,75600,78841.67,81033.33,82575,84283.33,73233.33,70058.33,70591.67,66441.67,65708.34
Information,19475,22733.33,25500,25741.67,28325,35241.67,39008.33,43000,46050,52516.67,54575,58225,67516.67,63883.33,24355
Financial Activities,48383.33,46991.67,47775,49341.67,50191.67,53625,56141.67,56333.33,59850,62016.67,60291.67,61008.33,61683.33,59233.33,48536.67
Professional and Business Services,122058.33,131700,144466.67,156766.67,168758.33,183375,190591.67,194700,195425,203083.33,200925,200558.33,217025,203808.33,144750
Private Education and Health Services,80366.67,79641.67,81941.67,82825,82966.67,85741.67,87725,89033.33,90325,94091.67,91525,93941.67,96525,99591.67,81548.34
Leisure and Hospitality,76775,79541.67,84675,86225,90208.33,93858.33,97266.67,96891.67,98516.67,101775,59108.33,56958.33,75616.67,81975,83485
Other Services,21616.67,21850,22866.67,24283.33,25750,26041.67,26883.33,27425,27675,28016.67,21825,22816.67,23858.33,24200,23273.33
Government,89950,89800,89166.67,88433.33,89450,92100,94341.67,96591.67,98183.33,98825,98233.33,101341.67,106525,108508.33,89360
