Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Mining Logging and Construction,7708.33,7475,7700,8883.33,9008.33,10216.67,11183.33,11783.33,12891.67,13175,13083.33,14008.33,14858.33,13875,11456.25
Manufacturing,18141.67,18500,18433.33,18508.33,19100,19450,19800,20316.67,20550,20475,20116.67,21291.67,22975,23541.67,21373.61
Trade Transportation and Utilities,47133.33,48675,51241.67,53408.33,54666.67,56983.33,60275,64183.33,66816.67,69183.33,74008.33,80016.67,86716.67,86308.33,70885.42
Information,2116.67,2108.33,2133.33,2108.33,2091.67,1941.67,1950,1833.33,1750,1633.33,1225,1200,1191.67,1083.33,1454.86
Financial Activities,7716.67,7458.33,7500,7625,7466.67,7350,7508.33,7800,7816.67,7933.33,7841.67,7966.67,8150,7958.33,7755.56
Professional and Business Services,15408.33,15166.67,16608.33,17391.67,18316.67,19416.67,19616.67,19183.33,19616.67,20191.67,21333.33,22508.33,24066.67,23741.67,20724.31
Private Education and Health Services,33508.33,33708.33,33966.67,35483.33,35925,36475,36383.33,38191.67,38750,39091.67,37250,37991.67,39766.67,42216.67,40482.64
Leisure and Hospitality,16033.33,16250,16933.33,18141.67,19016.67,19616.67,20400,21525,22041.67,22625,18491.67,21291.67,24291.67,24591.67,21914.58
Other Services,6541.67,6333.33,6533.33,6608.33,6900,7175,7516.67,7625,7616.67,7750,6750,7283.33,7908.33,8208.33,7584.72
Government,38175,36525,36091.67,37058.33,38575,39583.33,40816.67,42425,43525,44908.33,43000,42033.33,42591.67,43358.33,42602.08
