Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Civilian Unemployment,33616.67,30525,26783.33,22183.33,18191.67,14916.67,13500,12175,10100,9475,30316.67,20033.33,11083.33,13500,19883.33
Total Farm,1733.33,1575,1608.33,1666.67,1775,1766.67,1783.33,1675,1441.67,1350,1350,1433.33,1566.67,1450,1671.67
Total Nonfarm,315941.67,324350,337408.33,351841.67,368000,375108.33,390533.33,391791.67,402358.33,415225,384625,399033.33,422833.33,421716.67,339508.33
Mining Logging and Construction,12691.67,13558.33,13941.67,14583.33,15741.67,17408.33,18100,18858.33,19308.33,20408.33,19641.67,19183.33,17775,17666.67,14103.33
Manufacturing,26291.67,25508.33,24408.33,25450,25500,25350,25375,26125,25800,25658.33,24450,25175,25683.33,23108.33,25431.67
Trade Transportation & Utilities,68450,68483.33,70250,72341.67,74291.67,74091.67,76433.33,70833.33,71500,70641.67,62716.67,63641.67,64650,64900,70763.33
Information,17450,17866.67,20850,23825,26650,27891.67,31591.67,34833.33,39375,45391.67,50716.67,54966.67,60325,53733.33,21328.33
Financial Activities,18625,19391.67,20133.33,20658.33,21691.67,21583.33,22533.33,22425,23375,23916.67,22625,22583.33,23591.67,22558.33,20100
Professional and Business Services,60008.33,64108.33,69758.33,71233.33,75150,76200,81683.33,81216.67,82450,85358.33,81983.33,87691.67,92633.33,95808.33,68051.66
Private Education and Health Services,36100,37183.33,38050,40533.33,43008.33,44108.33,45033.33,46975,48541.67,52008.33,50533.33,51950,54808.33,57041.67,38975
Leisure and Hospitality,33775,35458.33,36833.33,39441.67,40883.33,42233.33,42625,43616.67,45108.33,45716.67,30941.67,32975,39250,42225,37278.33
Other Services,11208.33,12233.33,12900,13358.33,13866.67,13975,13908.33,13641.67,13683.33,13458.33,10691.67,10908.33,13883.33,14091.67,12713.33
Government,31341.67,30558.33,30283.33,30416.67,31216.67,32266.67,33250,33266.67,33216.67,32666.67,30325,29958.33,30233.33,30583.33,30763.33
