Main Category,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
"""Mining Logging and Construction""",7958.33,7933.33,8116.67,8450.0,8683.33,8950.0,9058.33,9166.67,9866.67,9908.33,9500.0,9850.0,10333.33,10483.33,9570.14
Mining and Logging,975.0,1133.33,1275.0,1225.0,1266.67,1133.33,883.33,850.0,1033.33,1025.0,700.0,600.0,591.67,608.33,839.58
Construction,6983.33,6800.0,6841.67,7225.0,7416.67,7816.67,8175.0,8316.67,8833.33,8883.33,8800.0,9250.0,9741.67,9875.0,8730.56
Manufacturing,11258.33,11683.33,11958.33,12058.33,12300.0,12950.0,13441.67,13125.0,12866.67,12900.0,11925.0,12008.33,12383.33,12658.33,12129.86
"""Trade Transportation"," and Utilities""",24691.67,24566.67,25700.0,26683.33,27175.0,27416.67,27116.67,27075.0,27208.33,27200.0,25591.67,27200.0,27358.33,26916.67
Information,3416.67,3566.67,4058.33,4183.33,4200.0,4366.67,4458.33,4266.67,4041.67,4066.67,3941.67,3983.33,4508.33,4466.67,4110.42
Financial Activities,6433.33,6541.67,6533.33,6533.33,6416.67,6441.67,6483.33,6608.33,6716.67,6850.0,6758.33,6900.0,7100.0,6983.33,6788.19
Professional and Business Services,21900.0,22608.33,23750.0,24558.33,23550.0,22750.0,21725.0,21175.0,24133.33,25200.0,26533.33,27350.0,27866.67,27183.33,25838.89
Private Education and Health Services,22991.67,23450.0,23991.67,24566.67,25133.33,25675.0,26575.0,27258.33,27400.0,28408.33,28050.0,28808.33,29375.0,30858.33,28636.11
Leisure and Hospitality,21900.0,22150.0,22958.33,24433.33,25583.33,26616.67,27233.33,27825.0,28150.0,28950.0,21883.33,24341.67,28175.0,28700.0,26293.75
Other Services,5333.33,5225.0,5300.0,5533.33,5700.0,5891.67,6008.33,6050.0,6191.67,6500.0,5583.33,5891.67,6508.33,6700.0,6224.3
Government,38225.0,37750.0,37733.33,37875.0,38316.67,38650.0,38058.33,38700.0,38975.0,39433.33,36516.67,35158.33,34283.33,35383.33,36958.33
