Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Civilian Unemployment,21083.33,20300,18366.67,15816.67,13466.67,11583.33,10925,9800,8516.67,8108.33,17758.33,12691.67,7900,8983.33,13411.11
Total Farm,18633.33,18225,18791.67,19325,20966.67,20983.33,20900,21741.67,22858.33,24091.67,25166.67,27025,29366.67,28958.33,25603.47
Total Nonfarm,164108.33,165475,170100,174875,177058.33,179708.33,180158.33,181250,185550,189416.67,176283.33,181491.67,187891.67,190333.33,182751.39
Mining Logging and Construction,7958.33,7933.33,8116.67,8450,8683.33,8950,9058.33,9166.67,9866.67,9908.33,9500,9850,10333.33,10483.33,9570.14
Mining and Logging,975,1133.33,1275,1225,1266.67,1133.33,883.33,850,1033.33,1025,700,600,591.67,608.33,839.58
Construction,6983.33,6800,6841.67,7225,7416.67,7816.67,8175,8316.67,8833.33,8883.33,8800,9250,9741.67,9875,8730.56
Manufacturing,11258.33,11683.33,11958.33,12058.33,12300,12950,13441.67,13125,12866.67,12900,11925,12008.33,12383.33,12658.33,12129.86
Trade Transportation and Utilities,24691.67,24566.67,25700,26683.33,27175,27416.67,27116.67,27075,27208.33,27200,25591.67,27200,27358.33,26916.67,26201.39
Information,3416.67,3566.67,4058.33,4183.33,4200,4366.67,4458.33,4266.67,4041.67,4066.67,3941.67,3983.33,4508.33,4466.67,4110.42
Financial Activities,6433.33,6541.67,6533.33,6533.33,6416.67,6441.67,6483.33,6608.33,6716.67,6850,6758.33,6900,7100,6983.33,6788.19
Professional and Business Services,21900,22608.33,23750,24558.33,23550,22750,21725,21175,24133.33,25200,26533.33,27350,27866.67,27183.33,25838.89
Private Education and Health Services,22991.67,23450,23991.67,24566.67,25133.33,25675,26575,27258.33,27400,28408.33,28050,28808.33,29375,30858.33,28636.11
Leisure and Hospitality,21900,22150,22958.33,24433.33,25583.33,26616.67,27233.33,27825,28150,28950,21883.33,24341.67,28175,28700,26293.75
Other Services,5333.33,5225,5300,5533.33,5700,5891.67,6008.33,6050,6191.67,6500,5583.33,5891.67,6508.33,6700,6224.3
Government,38225,37750,37733.33,37875,38316.67,38650,38058.33,38700,38975,39433.33,36516.67,35158.33,34283.33,35383.33,36958.33
