Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Mining and Logging,200,200,233.33,266.67,300,225,291.67,216.67,200,200,183.33,191.67,200,183.33,240
Manufacturing,149316.67,153050,153708.33,153625,156691.67,160200,161333.33,163066.67,168733.33,168875,165475,164375,175283.33,176241.67,153278.33
Trade Transportation & Utilities,123166.67,125183.33,129041.67,131900,134608.33,136050,137283.33,131966.67,131666.67,128350,116000,116691.67,118941.67,118766.67,128780
Information,46358.33,51183.33,54100,58625,65558.33,70408.33,74525,84558.33,92133.33,100466.67,105758.33,106950,105850,97783.33,55165
Financial Activities,30758.33,32041.67,32933.33,33283.33,33750,34216.67,35166.67,35800,36433.33,37566.67,37725,38050,37775,37616.67,32553.33
Professional and Business Services,160216.67,166025,177225,190058.33,201775,215191.67,224083.33,236183.33,235850,241925,236250,241233.33,248875,244183.33,179060
Private Education and Health Services,125975,128625,135725,142583.33,148683.33,154883.33,160625,167416.67,171933.33,177166.67,171191.67,176900,185433.33,194408.33,136318.33
Leisure and Hospitality,73800,76333.33,81341.67,86283.33,90666.67,94500,97550,101975,104241.67,105933.33,71700,77350,94941.67,99591.67,81685
Other Services,23900,24133.33,24350,25025,26033.33,26533.33,27000,28366.67,28416.67,28433.33,21683.33,22358.33,24933.33,25875,24688.33
Government,91475,89850,88725,89016.67,90608.33,90091.67,91208.33,92658.33,93775,94316.67,90891.67,90108.33,92516.67,94625,89935
