Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Mining Logging and Construction,2958.33,2900,2958.33,3225,3383.33,3683.33,4408.33,4508.33,4441.67,4500,4441.67,4750,5033.33,5050,4293.75
Manufacturing,4975,4841.67,5075,5408.33,5650,6183.33,6550,6583.33,6850,7075,6833.33,7466.67,7916.67,7816.67,6695.83
Trade Transportation and Utilities,16391.67,16100,16166.67,16300,16575,16966.67,17308.33,17175,16775,16800,15708.33,16316.67,16650,16183.33,15927.78
Information,900,900,808.33,800,825,808.33,800,758.33,666.67,616.67,575,583.33,600,600,702.78
Financial Activities,3258.33,3091.67,3200,3408.33,3475,3541.67,3583.33,3550,3566.67,3433.33,3191.67,3216.67,3275,3258.33,3294.44
Professional and Business Services,9616.67,10058.33,10316.67,10258.33,10091.67,10333.33,10308.33,10641.67,10700,10933.33,10400,10600,10683.33,9850,9820.14
Private Education and Health Services,15050,15391.67,15783.33,16525,16866.67,17250,17333.33,17858.33,17783.33,17991.67,17058.33,17225,17691.67,18450,17901.39
Leisure and Hospitality,10875,11066.67,11658.33,12308.33,12966.67,13616.67,13875,14225,14466.67,14750,10266.67,11841.67,13950,14516.67,13597.92
Other Services,3658.33,3608.33,3783.33,4066.67,4316.67,4533.33,4641.67,4966.67,5275,5258.33,4350,4300,4700,4741.67,4386.11
Government,20333.33,20258.33,20408.33,20633.33,21050,21433.33,21733.33,21858.33,21991.67,22383.33,21050,20158.33,18800,19316.67,20115.28
