Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Mining Logging and Construction,2708.33,2791.67,2700,2783.33,2775,2975,3133.33,3300,3483.33,3925,4358.33,4433.33,4366.67,4408.33,3829.86
Manufacturing,2275,2200,2150,2191.67,2266.67,2366.67,2491.67,2583.33,2625,2550,2541.67,2791.67,2941.67,2941.67,2615.28
Trade Transportation and Utilities,11925,11750,11766.67,11975,12225,12641.67,12841.67,12891.67,12808.33,12983.33,13025,13441.67,13475,13183.33,12503.47
Information,641.67,616.67,600,650,700,700,700,650,550,500,500,500,508.33,500,559.03
Financial Activities,2483.33,2416.67,2416.67,2491.67,2575,2558.33,2583.33,2658.33,2708.33,2766.67,2783.33,2833.33,2841.67,2775,2665.28
Professional and Business Services,4291.67,4175,4166.67,4408.33,4916.67,5183.33,5575,5666.67,6141.67,6116.67,5791.67,5783.33,6066.67,6316.67,5579.86
Private Education and Health Services,12908.33,12791.67,12883.33,13766.67,14108.33,14391.67,14758.33,14950,15075,15475,15233.33,15141.67,15641.67,16491.67,15479.86
Leisure and Hospitality,6116.67,5833.33,6291.67,6408.33,6600,6675,6700,6816.67,6791.67,7000,6050,6716.67,6991.67,6958.33,6629.17
Other Services,2316.67,2375,2525,2466.67,2383.33,2266.67,2316.67,2341.67,2458.33,2425,2266.67,2325,2408.33,2558.33,2522.22
Government,12808.33,12616.67,12475,12450,12641.67,12708.33,12833.33,13075,13291.67,13600,13208.33,13116.67,13400,14066.67,13682.64
