Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Civilian Unemployment,3390.83,3355,2990,2429.17,2015.83,1685.83,1526.67,1300.83,1171.67,1125,1698.33,1351.67,958.33,1068.33,1891.74
Total Farm,700,714.17,755.83,740,775.83,821.67,858.33,922.5,879.17,824.17,1005.83,1000,995,1088.33,854.65
Total Nonfarm,12677.5,12475,12279.17,12405.83,12595.83,12860.83,13159.17,13330,13159.17,13269.17,12642.5,12736.67,13051.67,13155.83,12862.78
Mining Logging and Construction,457.5,447.5,461.67,511.67,502.5,508.33,495.83,531.67,599.17,605.83,624.17,694.17,746.67,715.83,607.57
Mining and Logging,123.33,125,148.33,189.17,189.17,175,135,138.33,164.17,146.67,156.67,172.5,177.5,158.33,145.42
Construction,334.17,322.5,313.33,322.5,313.33,333.33,360.83,393.33,435,459.17,467.5,521.67,569.17,557.5,462.15
Manufacturing,739.17,688.33,635,621.67,655,694.17,730,862.5,889.17,890.83,872.5,890,851.67,757.5,707.43
Trade Transportation & Utilities,2005,1957.5,2005,2053.33,2107.5,2142.5,2133.33,2090.83,2085.83,2117.5,2121.67,2185,2174.17,2142.5,2099.86
Information,183.33,176.67,153.33,139.17,140.83,138.33,138.33,135.83,130,130.83,122.5,121.67,120,116.67,130.28
Financial Activities,374.17,364.17,345,318.33,307.5,289.17,284.17,282.5,294.17,303.33,300,284.17,293.33,276.67,299.93
Professional and Business Services,700.83,715.83,732.5,687.5,740.83,795,794.17,773.33,714.17,692.5,640.83,590,575.83,565.83,613.12
Private Education and Health Services,2001.67,1935.83,1820.83,2020.83,1992.5,2042.5,2101.67,2210.83,2215.83,2227.5,2143.33,2167.5,2278.33,2371.67,2234.31
Leisure and Hospitality,1625.83,1478.33,1521.67,1560,1593.33,1570,1751.67,1751.67,1656.67,1710,1409.17,1576.67,1695,1742.5,1656.6
Other Services,275.83,293.33,319.17,367.5,376.67,409.17,441.67,444.17,406.67,401.67,378.33,409.17,461.67,519.17,439.38
Government,4314.17,4417.5,4285,4125.83,4179.17,4271.67,4295,4247.5,4171.67,4191.67,4030,3826.67,3855,3955.83,4072.64
