Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"""Mining Logging and Construction""",7550,8175,8475,9000,8808.33,9416.67,10766.67,10908.33,11800,12775,11516.67,11883.33,12433.33,11941.67,10484.03
Mining and Logging,341.67,391.67,400,400,458.33,450,475,475,566.67,500,408.33,308.33,325,300,340.97
Construction,7208.33,7783.33,8075,8600,8350,8966.67,10291.67,10433.33,11233.33,12275,11108.33,11575,12108.33,11641.67,10143.06
Manufacturing,8508.33,8416.67,8666.67,8783.33,9441.67,10041.67,10125,10575,10900,11108.33,10900,10908.33,11225,11100,10009.72
"""Trade Transportation and Utilities""",24666.67,24208.33,24750,24925,25841.67,26991.67,27200,27400,27833.33,27008.33,25750,26675,27166.67,27275,26232.64
Information,1283.33,1125,1125,1125,1100,1108.33,1058.33,1091.67,1133.33,1150,833.33,841.67,900,891.67,1004.86
Financial Activities,5216.67,5108.33,5041.67,5066.67,4833.33,4925,5108.33,5108.33,5200,5133.33,4950,4841.67,4750,4716.67,4905.56
Professional and Business Services,9000,8958.33,9041.67,9500,9558.33,9483.33,9241.67,9533.33,10116.67,10183.33,9650,10383.33,10883.33,10975,10471.53
Private Education and Health Services,20775,20925,21575,23283.33,23983.33,25083.33,26583.33,27666.67,28366.67,29000,27933.33,27600,28516.67,29791.67,27295.14
Leisure and Hospitality,13025,13150,13358.33,13741.67,14283.33,14750,15133.33,15216.67,15625,16125,12325,13575,15491.67,15991.67,14879.86
Other Services,3583.33,3641.67,3883.33,3975,4000,4116.67,4141.67,4316.67,4450,4716.67,4041.67,4183.33,4666.67,4991.67,4598.61
Government,24883.33,24283.33,24100,23966.67,24425,24775,25150,25033.33,24875,24758.33,23425,22941.67,23391.67,23875,24529.86
