Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Mining Logging and Construction,9075,8800,8950,10133.33,10775,11808.33,12600,13275,15391.67,16733.33,16158.33,16250,16583.33,16366.67,13636.11
Manufacturing,19941.67,20191.67,19658.33,20133.33,20675,21958.33,22658.33,22958.33,23375,23383.33,22308.33,22850,23608.33,22958.33,21625
Trade Transportation and Utilities,31741.67,32166.67,33333.33,34875,35800,36150,36416.67,36525,36500,36066.67,34025,35025,35058.33,34383.33,34084.72
Information,2491.67,2458.33,2566.67,2608.33,2700,2675,2708.33,2716.67,2666.67,2600,2291.67,2491.67,2600,2500,2477.08
Financial Activities,7666.67,7633.33,7375,7416.67,7650,8100,8425,8758.33,8900,8658.33,7550,7583.33,7925,7758.33,7761.81
Professional and Business Services,19133.33,18366.67,18491.67,19616.67,20425,20791.67,21200,22066.67,23241.67,23400,22675,23700,24491.67,24558.33,22252.78
Private Education and Health Services,25883.33,26208.33,27116.67,28683.33,31241.67,32075,33033.33,34116.67,34791.67,35758.33,34308.33,33975,34983.33,36516.67,33794.44
Leisure and Hospitality,20100,20566.67,21800,22883.33,23908.33,24658.33,25366.67,25666.67,25666.67,25791.67,18658.33,21066.67,25083.33,25733.33,24363.19
Other Services,5908.33,6058.33,6250,6558.33,6758.33,6983.33,7225,7208.33,7075,7108.33,6008.33,6400,7200,7583.33,7152.78
Government,26800,28408.33,28025,28866.67,31225,31758.33,32283.33,32316.67,31066.67,29491.67,26100,25275,26375,27283.33,28210.42
