Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Civilian Unemployment,42158.33,40616.67,36550,31491.67,27141.67,23008.33,20983.33,18250,15733.33,14816.67,26541.67,19991.67,13275,15766.67,25371.53
Total Farm,12850,12933.33,13375,14058.33,14116.67,14600,14850,14333.33,14441.67,14875,14458.33,13958.33,13900,12691.67,13136.11
Total Nonfarm,150950,150158.33,152958.33,157066.67,161658.33,166383.33,171316.67,174716.67,179141.67,181416.67,173241.67,178625,186041.67,189500,176857.64
Mining Logging and Construction,5900,5791.67,6291.67,6975,7516.67,8450,8950,9333.33,10175,10466.67,9808.33,10700,11333.33,10775,9256.25
Manufacturing,20666.67,20683.33,20733.33,20858.33,21208.33,21325,21758.33,21433.33,21575,21508.33,21333.33,22000,23008.33,24291.67,23137.5
Trade Transportation and Utilities,31600,32183.33,33475,34466.67,34783.33,35758.33,36783.33,36966.67,37441.67,37741.67,36800,37725,38883.33,38983.33,36559.03
Information,1200,1100,950,900,925,925,975,1000,1000,1000,783.33,791.67,800,766.67,856.25
Financial Activities,5450,5400,5416.67,5416.67,5275,5166.67,5325,5316.67,5300,5291.67,5066.67,4941.67,4983.33,4858.33,5004.86
Professional and Business Services,12491.67,12241.67,12808.33,13350,13750,14166.67,14591.67,14891.67,15383.33,15266.67,15091.67,15375,15200,14566.67,14003.47
Private Education and Health Services,27791.67,27791.67,28150,28850,29916.67,30850,31208.33,32575,33633.33,34675,34583.33,34983.33,35550,37075,34566.67
Leisure and Hospitality,14558.33,14458.33,14900,15766.67,16941.67,17766.67,18666.67,19150,19275,19225,15825,18150,20491.67,20883.33,18393.75
Other Services,5050,4850,4858.33,5000,5241.67,5308.33,5433.33,5733.33,5833.33,5900,5108.33,5525,5983.33,6133.33,5733.33
Government,26241.67,25658.33,25375,25483.33,26100,26666.67,27625,28316.67,29525,30341.67,28841.67,28433.33,29808.33,31166.67,29346.53
