Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Civilian Unemployment,8650,8483.33,7758.33,6600,5666.67,4808.33,4375,3933.33,3416.67,3375,5158.33,4033.33,3075,3633.33,5579.86
Total Farm,3675,3708.33,3683.33,3683.33,3658.33,4025,4541.67,4433.33,4716.67,4533.33,4216.67,4008.33,3975,4050,3681.66
Total Nonfarm,23475,23050,23150,23850,24508.33,25383.33,26283.33,26591.67,26991.67,28125,27341.67,28691.67,30175,30500,23606.67
Mining Logging and Construction,1041.67,925,800,941.67,1033.33,1291.67,1491.67,1383.33,1441.67,1616.67,1616.67,1616.67,1733.33,1658.33,948.33
Manufacturing,1516.67,1566.67,1550,1550,1491.67,1500,1483.33,1475,1500,1500,1425,1483.33,1491.67,1533.33,1535
Trade Transportation & Utilities,5750,5933.33,6008.33,5891.67,6058.33,6308.33,6733.33,6791.67,6850,7208.33,7333.33,7783.33,8033.33,8300,5928.33
Information,200,200,200,200,200,200,200,200,166.67,200,125,100,108.33,100,200
Financial Activities,1091.67,1008.33,1058.33,1050,1100,1116.67,1150,1125,1166.67,1158.33,1116.67,1100,1166.67,1000,1061.67
Professional and Business Services,1783.33,1625,1841.67,1983.33,2075,2133.33,2141.67,2175,2116.67,2216.67,2341.67,2250,2225,2150,1861.67
Private Education and Health Services,4091.67,3933.33,3908.33,4250,4241.67,4433.33,4725,4675,4866.67,5100,5066.67,5283.33,5466.67,5591.67,4085
Leisure and Hospitality,2550,2708.33,2766.67,2875,2950,2916.67,2675,2925,3025,3258.33,2791.67,3166.67,3508.33,3458.33,2770
Other Services,716.67,675,641.67,700,725,716.67,750,758.33,766.67,750,691.67,766.67,808.33,808.33,691.67
Government,4733.33,4475,4375,4408.33,4633.33,4766.67,4933.33,5083.33,5091.67,5116.67,4833.33,5141.67,5633.33,5900,4525
