Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Civilian Unemployment,3533.33,3338.33,2939.17,2364.17,1885,1527.5,1346.67,1160.83,990.83,957.5,2139.17,1456.67,896.67,1000.83,1831.67
Total Farm,60.83,59.17,50,51.67,57.5,63.33,70,75,62.5,85.83,91.67,91.67,90,89.17,83.26
Total Nonfarm,15981.67,16242.5,16268.33,16426.67,16840.83,17300.83,17719.17,17837.5,17923.33,17949.17,16300.83,16925.83,17235,17521.67,17184.17
Mining Logging and Construction,665,663.33,625.83,611.67,641.67,714.17,775.83,798.33,964.17,1024.17,924.17,1018.33,1027.5,1124.17,973.96
Mining and Logging,126.67,158.33,112.5,120.83,131.67,140,138.33,135,140,133.33,126.67,125,135.83,150.83,145.83
Construction,538.33,505,513.33,490.83,510,574.17,637.5,663.33,824.17,890.83,797.5,893.33,891.67,973.33,828.12
Manufacturing,679.17,829.17,828.33,852.5,805,803.33,786.67,796.67,819.17,840,830.83,876.67,846.67,806.67,798.68
Trade Transportation & Utilities,2333.33,2420.83,2482.5,2515,2687.5,2905,2890,2750,2733.33,2740,2655.83,2796.67,2799.17,2695,2577.43
Information,236.67,213.33,212.5,208.33,218.33,208.33,208.33,193.33,155,132.5,115.83,118.33,125,129.17,164.93
Financial Activities,520.83,513.33,520.83,545.83,539.17,511.67,490.83,485,494.17,495.83,455,440,446.67,415,465
Professional and Business Services,930,925.83,930,918.33,895.83,938.33,1027.5,1073.33,1087.5,1108.33,1099.17,1138.33,1112.5,1166.67,1095.83
Private Education and Health Services,2881.67,3020.83,2980,2935,2995.83,3070.83,3080.83,3097.5,3080.83,3004.17,2743.33,2652.5,2724.17,2804.17,2894.44
Leisure and Hospitality,2042.5,2055.83,1980.83,2132.5,2155,2146.67,2319.17,2518.33,2415,2470,1957.5,2287.5,2539.17,2575,2333.89
Other Services,377.5,427.5,472.5,479.17,505.83,550,575,628.33,645,455,406.67,451.67,448.33,464.17,483.54
Government,5315,5172.5,5235,5228.33,5396.67,5452.5,5570,5502.5,5535.83,5681.67,5118.33,5150.83,5175.83,5349.17,5403.96
