Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Total Nonfarm,108308.33,108991.67,110825.0,113591.67,114525.0,118166.67,121858.33,125175.0,126266.67,128450.0,124691.67,130125.0,138358.33,141833.33,129820.14
"""Mining Logging and Construction""",3933.33,3908.33,4033.33,4175.0,4525.0,4933.33,5333.33,5650.0,6066.67,6383.33,6616.67,7000.0,7583.33,7450.0,6064.58
Manufacturing,11050.0,11183.33,11333.33,11583.33,12000.0,12258.33,12816.67,12816.67,12950.0,12875.0,12658.33,12950.0,13808.33,13833.33,12820.83
Service-Providing,93325.0,93900.0,95458.33,97833.33,98000.0,100975.0,103708.33,106708.33,107250.0,109191.67,105416.67,110175.0,116966.67,120550.0,110934.72
"""Trade Transportation and Utilities""",23558.33,24000.0,25041.67,25966.67,26050.0,26725.0,27150.0,27641.67,27991.67,27716.67,27066.67,29425.0,30833.33,30875.0,28059.72
Information,958.33,850.0,733.33,750.0,758.33,725.0,725.0,700.0,700.0,700.0,550.0,583.33,616.67,600.0,687.5
Financial Activities,3800.0,3783.33,3808.33,3833.33,3883.33,4041.67,4116.67,4066.67,4058.33,4033.33,3791.67,3741.67,3683.33,3583.33,3675.69
Professional and Business Services,9508.33,10233.33,10575.0,10916.67,10250.0,10875.0,11050.0,12008.33,10958.33,11358.33,10958.33,10725.0,11225.0,11216.67,10815.28
Private Education and Health Services,12500.0,12416.67,12133.33,13300.0,13691.67,13825.0,14408.33,15491.67,16066.67,17075.0,17283.33,18258.33,19758.33,21925.0,18978.47
Leisure and Hospitality,8925.0,8908.33,9466.67,9950.0,10591.67,11133.33,11458.33,11533.33,11758.33,12100.0,10716.67,12200.0,13808.33,14166.67,12403.47
Other Services,3033.33,3083.33,3116.67,3166.67,3325.0,3375.0,3475.0,3475.0,3466.67,3500.0,3200.0,3475.0,3800.0,3891.67,3577.08
Government,31041.67,30625.0,30583.33,29950.0,29450.0,30275.0,31325.0,31791.67,32250.0,32708.33,31850.0,31766.67,33241.67,34291.67,32737.5
