Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Mining and Logging,175,200,108.33,158.33,166.67,125,100,100,100,100,100,100,100,100,161.67
Manufacturing,5208.33,4700,5025,5500,6166.67,6475,5833.33,6258.33,6675,6825,6500,6841.67,7483.33,6983.33,5320
Trade Transportation & Utilities,18283.33,18425,18183.33,18808.33,19208.33,19541.67,20091.67,20366.67,20966.67,21775,21975,23016.67,23700,22916.67,18581.66
Information,1000,1000,1000,1058.33,1000,1041.67,1000,1000,916.67,866.67,733.33,766.67,775,700,1011.67
Financial Activities,3091.67,2866.67,2900,2800,2466.67,2458.33,2466.67,2466.67,2483.33,2541.67,2516.67,2416.67,2383.33,2391.67,2825
Professional and Business Services,6866.67,7225,7708.33,7783.33,7983.33,8275,8941.67,9066.67,9141.67,9275,8983.33,9450,9525,9150,7513.33
Private Education and Health Services,8475,8350,8625,8958.33,9283.33,9600,9850,9925,10375,11183.33,10675,10783.33,11058.33,11683.33,8738.33
Leisure and Hospitality,6416.67,6316.67,6666.67,6758.33,7066.67,7450,7891.67,7883.33,7808.33,8125,6350,6950,7941.67,8341.67,6645
Other Services,1941.67,1983.33,2141.67,2200,2333.33,2266.67,2341.67,2233.33,2308.33,2333.33,2091.67,2291.67,2566.67,2641.67,2120
Government,36175,36008.33,36125,36491.67,37325,38158.33,39425,40200,41133.33,41650,38266.67,40308.33,39216.67,41025,36425
