TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,132958.33,134241.67,136516.67,137816.67,138475.0,138683.33,139641.67,139633.33,139725.0,138625.0,130658.33,129183.33,131083.33,132016.67,133792.36
  Civilian Employment,122258.33,124300.0,127808.33,130583.33,132483.33,133708.33,135041.67,135583.33,136316.67,135391.67,121783.33,123325.0,127575.0,127633.33,127369.44
  Civilian Unemployment,10716.67,9941.67,8733.33,7208.33,5991.67,4975.0,4600.0,4050.0,3408.33,3241.67,8875.0,5866.67,3533.33,4391.67,6415.97
Civilian Unemployment Rate,0.08,0.07,0.06,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.07,0.05,0.03,0.03,0.05
"Total, All Industries",100275.0,101991.67,105041.67,108900.0,110541.67,111950.0,114300.0,115525.0,116400.0,116616.67,104950.0,106608.33,110500.0,112575.0,110387.5
  Total Farm,450.0,416.67,400.0,383.33,383.33,325.0,325.0,325.0,333.33,383.33,383.33,375.0,383.33,341.67,394.44
  Total Nonfarm,99825.0,101575.0,104641.67,108516.67,110158.33,111625.0,113975.0,115200.0,116066.67,116233.33,104566.67,106233.33,110116.67,112233.33,109993.06
    Total Private,84816.67,85591.67,89166.67,93141.67,94725.0,96175.0,98466.67,99475.0,100058.33,100416.67,89808.33,91716.67,95308.33,96900.0,94278.47
    Goods Producing,6958.33,7125.0,7733.33,8600.0,9475.0,10291.67,11016.67,11658.33,12450.0,12575.0,11891.67,11991.67,11975.0,11900.0,10182.64
"      Mining, Logging and Construction",4841.67,4950.0,5308.33,5691.67,6075.0,6458.33,6800.0,7191.67,7716.67,7725.0,7291.67,7600.0,7758.33,7616.67,6588.89
      Mining and Logging,141.67,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.47
      Construction,4700.0,4850.0,5208.33,5691.67,6075.0,6458.33,6800.0,7191.67,7716.67,7725.0,7291.67,7600.0,7758.33,7616.67,6560.42
      Manufacturing,2116.67,2175.0,2425.0,2908.33,3400.0,3833.33,4216.67,4466.67,4733.33,4850.0,4600.0,4391.67,4216.67,4283.33,3593.75
Service-Providing,92866.67,94450.0,96908.33,99916.67,100683.33,101333.33,102958.33,103541.67,103616.67,103658.33,92675.0,94241.67,98141.67,100333.33,99810.42
    Private Service Providing,77858.33,78466.67,81433.33,84541.67,85250.0,85883.33,87450.0,87816.67,87608.33,87841.67,77916.67,79725.0,83333.33,85000.0,84095.83
"      Trade, Transportation, and Utilities",16525.0,16508.33,16966.67,17466.67,17950.0,18033.33,18200.0,18425.0,18458.33,18333.33,17300.0,17450.0,17483.33,17308.33,17309.72
        Wholesale Trade,2175.0,2175.0,2400.0,2433.33,2450.0,2533.33,2525.0,2483.33,2341.67,2308.33,2166.67,2116.67,2141.67,2250.0,2277.78
        Retail Trade,13416.67,13425.0,13608.33,13908.33,14266.67,14233.33,14358.33,14625.0,14841.67,14708.33,13741.67,13908.33,13908.33,13675.0,13818.75
"        Transportation, Warehousing, and Utilities",933.33,908.33,958.33,1125.0,1233.33,1266.67,1316.67,1316.67,1275.0,1316.67,1391.67,1425.0,1433.33,1383.33,1213.19
      Information,2225.0,2733.33,2883.33,2925.0,2783.33,2866.67,2850.0,2741.67,2666.67,2633.33,2550.0,2658.33,2825.0,2866.67,2762.5
      Financial Activities,6400.0,6325.0,6366.67,6575.0,6475.0,6016.67,5966.67,5566.67,5483.33,5441.67,5183.33,5025.0,5175.0,5266.67,5670.14
      Professional and Business Services,18275.0,17683.33,18491.67,18591.67,18041.67,18216.67,18250.0,17950.0,18133.33,18650.0,17541.67,17666.67,18208.33,17958.33,18056.94
      Private Education and Health Services,17275.0,17808.33,18508.33,19400.0,19666.67,20141.67,20633.33,20958.33,21016.67,21058.33,19358.33,19975.0,20366.67,21441.67,20704.86
      Leisure and Hospitality,12191.67,12650.0,13233.33,14433.33,15116.67,15366.67,16050.0,16458.33,16150.0,15983.33,11225.0,12108.33,13950.0,14533.33,14085.42
      Other Services,4966.67,4758.33,4983.33,5150.0,5216.67,5241.67,5500.0,5716.67,5700.0,5741.67,4758.33,4841.67,5325.0,5625.0,5506.25
      Government,15008.33,15983.33,15475.0,15375.0,15433.33,15450.0,15508.33,15725.0,16008.33,15816.67,14758.33,14516.67,14808.33,15333.33,15714.58
        Federal Government,900.0,808.33,791.67,791.67,700.0,700.0,700.0,700.0,691.67,600.0,708.33,675.0,608.33,600.0,682.64
        Federal Government excluding Department of Defense,800.0,708.33,691.67,691.67,700.0,700.0,700.0,700.0,691.67,600.0,708.33,675.0,608.33,600.0,649.31
          Department of Defense,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
        Total State and Local Government,14108.33,15175.0,14683.33,14583.33,14733.33,14750.0,14808.33,15025.0,15316.67,15216.67,14050.0,13841.67,14200.0,14733.33,15031.94
          State Government,2158.33,2100.0,1975.0,1850.0,1800.0,1941.67,1958.33,1950.0,2033.33,2000.0,2016.67,1908.33,1858.33,1800.0,1923.61
            State Government Education Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
            State Government Excluding Education,2158.33,2100.0,1975.0,1850.0,1800.0,1941.67,1958.33,1950.0,2033.33,2000.0,2016.67,1908.33,1858.33,1800.0,1923.61
