TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,216033.33,216258.33,217391.67,215658.33,217341.67,218266.67,218800.0,219483.33,221891.67,221200.0,214216.67,211750.0,217175.0,217675.0,219265.28
  Civilian Employment,187866.67,188400.0,191833.33,193150.0,197441.67,200458.33,201983.33,203625.0,207716.67,207216.67,190341.67,194233.33,203933.33,202400.0,198282.64
  Civilian Unemployment,28183.33,27850.0,25566.67,22525.0,19925.0,17833.33,16825.0,15858.33,14175.0,13983.33,23858.33,17516.67,13241.67,15258.33,20979.17
Civilian Unemployment Rate,0.13,0.13,0.12,0.11,0.09,0.08,0.08,0.07,0.06,0.06,0.11,0.08,0.06,0.07,0.1
"Total, All Industries",169750.0,169966.67,173500.0,176616.67,181916.67,185983.33,189441.67,192300.0,197883.33,199791.67,185525.0,190825.0,201600.0,200508.33,191212.5
Total Farm,45100.0,46275.0,48150.0,50091.67,52175.0,52958.33,53291.67,53216.67,55033.33,54825.0,53783.33,54808.33,58375.0,55000.0,53499.31
  Total Nonfarm,124650.0,123691.67,125350.0,126525.0,129741.67,133025.0,136150.0,139083.33,142850.0,144966.67,131741.67,136016.67,143225.0,145508.33,137713.19
    Total Private,92025.0,92016.67,94058.33,96300.0,99191.67,101933.33,104233.33,105791.67,108375.0,110241.67,97925.0,102441.67,108791.67,110758.33,104799.31
    Goods Producing,9883.33,9575.0,9533.33,9908.33,10350.0,10958.33,11333.33,11650.0,11891.67,11966.67,11025.0,11541.67,12183.33,12500.0,11545.83
"     Mining, Logging, and Construction",4325.0,4033.33,4316.67,4700.0,5075.0,5541.67,6050.0,6208.33,6658.33,6816.67,6466.67,6675.0,7125.0,7408.33,6279.17
      Mining and Logging,200.0,200.0,200.0,200.0,200.0,300.0,233.33,208.33,241.67,300.0,225.0,200.0,233.33,200.0,200.0
      Construction,4125.0,3833.33,4116.67,4500.0,4875.0,5241.67,5816.67,6000.0,6416.67,6516.67,6241.67,6475.0,6891.67,7208.33,6079.17
