TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,782658.33,785125,796458.33,799850,806325,819016.67,831816.67,838183.33,841566.67,841541.67,818100,811166.67,819825,826108.33,811376.39
  Civilian Employment,695350,704591.67,726133.33,741225,758808.33,779891.67,796025,807108.33,815850,816475,745108.33,761783.33,792350,792458.33,760250.69
  Civilian Unemployment,87333.33,80525,70333.33,58625,47500,39108.33,35791.67,31075,25733.33,25050,72991.67,49375,27458.33,33658.33,51126.39
Civilian Unemployment Rate,0.11,0.1,0.09,0.07,0.06,0.05,0.04,0.04,0.03,0.03,0.09,0.06,0.03,0.04,0.06
"Total, All Industries",653591.67,662441.67,682800,701625,720633.33,749433.33,771908.33,790300,807450,815150,751950,777083.33,804900,813583.33,684218.33
  Total Farm,733.33,700,658.33,550,500,450,475,608.33,616.67,666.67,725,966.67,850,791.67,628.33
  Total Nonfarm,652858.33,661741.67,682141.67,701075,720133.33,748983.33,771433.33,789691.67,806833.33,814483.33,751225,776116.67,804050,812791.67,683590
    Goods Producing,90458.33,92975,95608.33,100191.67,105108.33,113341.67,118050,125866.67,133758.33,134625,130308.33,140516.67,146700,145141.67,96868.33
      Mining Logging and Construction,30308.33,30833.33,33283.33,35550,37600,40875,43041.67,45925,49041.67,49591.67,46650,48675,48416.67,47391.67,33515
      Manufacturing,60150,62141.67,62325,64641.67,67508.33,72466.67,75008.33,79941.67,84716.67,85033.33,83658.33,91841.67,98283.33,97750,63353.33
        Durable Goods,42041.67,43141.67,43341.67,43716.67,46133.33,49941.67,51783.33,55525,60650,61341.67,62208.33,70775,76783.33,76491.67,43675
        Nondurable Goods,18108.33,19000,18983.33,20925,21375,22525,23225,24416.67,24066.67,23691.67,21450,21066.67,21500,21258.33,19678.33
    Service Providing,562400,568766.67,586533.33,600883.33,615025,635641.67,653383.33,663825,673075,679858.33,620916.67,635600,657350,667650,586721.67
      Trade Transportation & Utilities,117800,119150,123250,127658.33,131300,135683.33,137900,138291.67,139733.33,138816.67,129366.67,134041.67,137208.33,137100,123831.67
        Wholesale Trade,34291.67,34325,35558.33,36533.33,36966.67,38066.67,38650,38083.33,37766.67,36366.67,33641.67,33133.33,33325,32950,35535
        Retail Trade,60716.67,61383.33,63525,67158.33,68908.33,70766.67,71766.67,71241.67,71658.33,70258.33,62475,64416.67,64041.67,64116.67,64338.33
        Transportation Warehousing and Utilities,22800,23450,24166.67,23975,25433.33,26850,27483.33,28966.67,30308.33,32191.67,33250,36491.67,39841.67,40033.33,23965
      Information,14333.33,14166.67,14491.67,14066.67,14683.33,16641.67,18233.33,18791.67,19966.67,20533.33,19900,18791.67,19141.67,18616.67,14348.33
      Financial Activities,23333.33,24491.67,26066.67,28033.33,29058.33,29283.33,30333.33,28733.33,28008.33,28350,27033.33,27091.67,27075,27283.33,26196.67
        Finance & Insurance,14300,15658.33,16941.67,18475,19100,19400,20266.67,18458.33,17458.33,17541.67,17133.33,16816.67,16283.33,16333.33,16895
        Real Estate & Rental & Leasing,9033.33,8833.33,9125,9558.33,9958.33,9883.33,10066.67,10275,10550,10808.33,9900,10275,10791.67,10950,9301.66
      Professional and Business Services,108133.33,111025,117258.33,118350,120350,125666.67,128733.33,130383.33,134025,136625,128908.33,134358.33,137841.67,135008.33,115023.33
        Professional Scientific & Technical Services,57250,58450,61791.67,62383.33,64091.67,68358.33,71933.33,69341.67,73466.67,76391.67,73850,76975,80250,80250,60793.33
        Management of Companies & Enterprises,19400,20341.67,21633.33,19425,17908.33,15908.33,14275,17425,16941.67,16466.67,16100,16775,17000,16375,19741.67
        Administrative and Support and Waste and Remediatio,31483.33,32233.33,33833.33,36541.67,38350,41400,42525,43616.67,43616.67,43766.67,38958.33,40608.33,40591.67,38383.33,34488.33
      Private Education and Health Services,105016.67,104575,108283.33,111025,111625,114491.67,117558.33,122150,123591.67,125958.33,121783.33,125116.67,128508.33,135825,108105
        Private Educational Services,13916.67,14066.67,14591.67,15591.67,16000,15558.33,15966.67,15758.33,15816.67,16408.33,13991.67,14300,15225,15341.67,14833.34
        Health Care & Social Assistance,91100,90508.33,93691.67,95433.33,95625,98933.33,101591.67,106391.67,107775,109550,107791.67,110816.67,113283.33,120483.33,93271.67
      Leisure and Hospitality,54466.67,55966.67,58333.33,61883.33,65766.67,68366.67,70916.67,74116.67,76425,78000,53025,57866.67,68616.67,71141.67,59283.33
        Arts Entertainment and Recreation,8983.33,9108.33,9100,9391.67,9766.67,9841.67,10091.67,10883.33,11541.67,12858.33,7241.67,7908.33,10516.67,11300,9270
        Accommodation & Food Services,45483.33,46858.33,49233.33,52491.67,56000,58525,60825,63233.33,64883.33,65141.67,45783.33,49958.33,58100,59841.67,50013.33
      Other Services,23191.67,23341.67,23991.67,24808.33,24958.33,25450,26225,27191.67,27458.33,27491.67,22475,23800,25775,27191.67,24058.33
      Government,116116.67,116041.67,114858.33,115058.33,117275,120058.33,123483.33,124166.67,123866.67,124083.33,118425,114533.33,113183.33,115483.33,115870
        Federal Government,10483.33,9733.33,9583.33,9300,9250,9100,9150,9025,8733.33,8708.33,9041.67,8583.33,8308.33,8441.67,9670
          State Government,36891.67,37133.33,37258.33,37600,37991.67,38566.67,38366.67,37891.67,37875,38025,36541.67,34208.33,31491.67,32083.33,37375
          Local Government,68741.67,69175,68016.67,68158.33,70033.33,72391.67,75966.67,77250,77258.33,77350,72841.67,71741.67,73383.33,74958.33,68825
