TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,91200.0,89550.0,88866.67,88283.33,87733.33,87908.33,88825.0,89716.67,91033.33,92166.67,90883.33,91683.33,92366.67,93666.67,92386.11
  Civilian Employment,79800.0,78875.0,79641.67,80658.33,81525.0,82850.0,84241.67,85766.67,87708.33,88908.33,83208.33,86366.67,89166.67,89958.33,86116.67
  Civilian Unemployment,11408.33,10675.0,9233.33,7600.0,6200.0,5050.0,4575.0,3958.33,3308.33,3275.0,7691.67,5316.67,3200.0,3700.0,6251.39
Civilian Unemployment Rate,0.13,0.12,0.1,0.09,0.07,0.06,0.05,0.04,0.04,0.04,0.08,0.06,0.03,0.04,0.07
"Total, All Industries",47550.0,47358.33,48241.67,50041.67,50941.67,48908.33,46808.33,56675.0,58641.67,59075.0,54683.33,56758.33,58841.67,59475.0,48826.67
  Total Farm,291.67,291.67,375.0,516.67,541.67,483.33,258.33,316.67,316.67,325.0,333.33,308.33,341.67,341.67,403.34
  Total Nonfarm,47258.33,47066.67,47866.67,49525.0,50400.0,48425.0,46550.0,56358.33,58325.0,58750.0,54350.0,56450.0,58500.0,59133.33,48423.33
    Goods Producing,4683.33,4641.67,4716.67,5050.0,5283.33,6333.33,6800.0,7416.67,8616.67,8891.67,8483.33,8825.0,9241.67,9275.0,4875.0
      Mining and Logging,100.0,100.0,100.0,100.0,100.0,125.0,100.0,100.0,100.0,116.67,166.67,191.67,183.33,100.0,100.0
      Construction,2983.33,2991.67,3108.33,3325.0,3475.0,3650.0,4083.33,4766.67,5983.33,6250.0,5858.33,6066.67,6308.33,6291.67,3176.67
      Manufacturing,1600.0,1550.0,1508.33,1625.0,1708.33,2558.33,2616.67,2550.0,2533.33,2525.0,2458.33,2566.67,2750.0,2883.33,1598.33
        Durable Goods,1200.0,1150.0,1075.0,1175.0,1241.67,1316.67,1300.0,1200.0,1208.33,1233.33,1241.67,1300.0,1458.33,1475.0,1168.33
        Nondurable Goods,400.0,400.0,433.33,450.0,466.67,1241.67,1316.67,1350.0,1325.0,1291.67,1216.67,1266.67,1291.67,1408.33,430.0
    Service Providing,42575.0,42425.0,43150.0,44475.0,45116.67,42091.67,39750.0,48941.67,49708.33,49858.33,45866.67,47625.0,49258.33,49858.33,43548.33
      "Trade Transportation & Utilities",6725.0,6766.67,6816.67,7008.33,7000.0,7108.33,7450.0,7541.67,7833.33,7933.33,8008.33,8341.67,8433.33,8266.67,6863.33
        Wholesale Trade,741.67,841.67,891.67,900.0,850.0,875.0,850.0,883.33,891.67,900.0,833.33,833.33,991.67,800.0,845.0
        Retail Trade,5500.0,5433.33,5400.0,5416.67,5433.33,5541.67,5841.67,6000.0,6208.33,6241.67,6350.0,6600.0,6475.0,6266.67,5436.67
