TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,440575,443258.33,439483.33,436633.33,437625,440316.67,444733.33,444466.67,446175,450566.67,445641.67,443525,450100,461050,453539.58
  Civilian Employment,365283.33,368783.33,371975,378050,386350,395175,402366.67,406283.33,412391.67,417616.67,393750,402975,420883.33,426616.67,403445.14
  Civilian Unemployment,75283.33,74491.67,67525,58566.67,51241.67,45133.33,42366.67,38183.33,33766.67,32933.33,51875,40550,29216.67,34416.67,50084.03
Civilian Unemployment Rate,0.17,0.17,0.15,0.13,0.12,0.1,0.1,0.09,0.08,0.07,0.12,0.09,0.06,0.07,0.11
"Total, All Industries",336516.67,339175,342516.67,351491.67,361475,371808.33,383275,390208.33,398341.67,407425,387333.33,399316.67,418658.33,426850,394664.58
  Total Farm,46008.33,47850,48891.67,49241.67,48775,47266.67,46908.33,46116.67,44225,44133.33,40275,40500,40641.67,40733.33,41905.56
  Total Nonfarm,290508.33,291325,293625,302250,312700,324541.67,336366.67,344091.67,354116.67,363291.67,347058.33,358816.67,378016.67,386116.67,352759.03
    Total Private,223441.67,225591.67,229533.33,238083.33,246441.67,255866.67,265408.33,271483.33,279583.33,288108.33,274575,287908.33,304433.33,309983.33,279582.64
    Goods Producing,36341.67,35541.67,36066.67,36491.67,38108.33,40675,41541.67,43275,44866.67,45433.33,44766.67,46575,49458.33,49641.67,44245.83
      Mining Logging and Construction,12208.33,11733.33,12408.33,13416.67,14150,15325,16358.33,17716.67,19008.33,19283.33,18966.67,20466.67,22491.67,22925,18876.39
        Mining and Logging,200,200,250,275,300,300,316.67,300,300,241.67,200,250,216.67,241.67,277.08
        Construction,12008.33,11533.33,12158.33,13141.67,13850,15025,16041.67,17416.67,18708.33,19041.67,18766.67,20216.67,22275,22683.33,18599.3
        Specialty Trade Contractors,7725,7550,7925,8575,8833.33,9791.67,10558.33,11875,12658.33,12875,12700,13575,15000,15308.33,12367.36
      Manufacturing,24133.33,23808.33,23658.33,23075,23958.33,25350,25183.33,25558.33,25858.33,26150,25800,26108.33,26966.67,26716.67,25369.44
        Durable Goods,8041.67,7808.33,7708.33,7750,7991.67,8266.67,8166.67,8591.67,9050,9175,8866.67,9141.67,9383.33,8883.33,8308.33
        Non-Durable Goods,16091.67,16000,15950,15325,15966.67,17083.33,17016.67,16966.67,16808.33,16975,16933.33,16966.67,17583.33,17833.33,17061.11
          Food Manufacturing,12283.33,11950,12033.33,11608.33,12125,12941.67,12991.67,12708.33,12300,12308.33,12241.67,12316.67,12975,13250,12875
    Service-Providing,254166.67,255783.33,257558.33,265758.33,274591.67,283866.67,294825,300816.67,309250,317858.33,302291.67,312241.67,328558.33,336475,308513.19
    Private Service Providing,187100,190050,193466.67,201591.67,208333.33,215191.67,223866.67,228208.33,234716.67,242675,229808.33,241333.33,254975,260341.67,235336.81
      Trade Transportation and Utilities,55150,57341.67,58108.33,60641.67,61916.67,63400,66066.67,67016.67,68825,70016.67,69600,73458.33,76550,76350,68904.86
        Wholesale Trade,11308.33,12325,12625,13341.67,13475,13516.67,14033.33,14083.33,14391.67,14683.33,14441.67,14891.67,15991.67,16000,14606.25
        Retail Trade,33016.67,33583.33,33933.33,35325,36533.33,37583.33,38791.67,38850,39083.33,38691.67,36875,39108.33,39950,40333.33,37707.64
          Food and Beverage Retailers,6691.67,6841.67,6916.67,7383.33,7733.33,8008.33,8358.33,8191.67,8050,7883.33,7950,8158.33,8100,7941.67,7455.56
          General Merchandise Retailers,6800,6966.67,7283.33,7650,7875,8308.33,8391.67,8266.67,8650,8916.67,8608.33,9250,9350,9375,8339.58
        Transportation Warehousing and Utilities,10825,11433.33,11550,11975,11908.33,12300,13241.67,14083.33,15350,16641.67,18283.33,19458.33,20608.33,20016.67,16590.97
          Transportation and Warehousing,8900,9441.67,9516.67,9875,9741.67,10075,10950,11766.67,13050,14350,15858.33,16883.33,17866.67,17250,14206.25
      Information,3566.67,3508.33,3791.67,3800,3858.33,3883.33,3750,3616.67,3566.67,3441.67,2950,2950,3241.67,2983.33,3085.42
      Financial Activities,13375,12975,12858.33,12908.33,12791.67,13116.67,13316.67,13758.33,14125,14258.33,13533.33,13083.33,12800,12541.67,12625.69
          Finance and Insurance,9291.67,8933.33,8816.67,8675,8400,8541.67,8741.67,8991.67,9158.33,9341.67,8758.33,8250,7775,7425,7868.06
          Insurance Carriers and Related Activities,4275,4141.67,4050,4183.33,4316.67,4566.67,4716.67,4891.67,5066.67,5366.67,4983.33,4550,4025,3708.33,3838.89
          Real Estate and Rental and Leasing,4083.33,4041.67,4041.67,4233.33,4391.67,4575,4575,4766.67,4966.67,4916.67,4775,4833.33,5025,5116.67,4757.64
      Professional and Business Services,26891.67,27158.33,27058.33,29250,31283.33,31841.67,32350,31083.33,32516.67,34633.33,32125,32183.33,33675,32841.67,30828.47
        Professional Scientific and Technical Services,10425,10158.33,9808.33,10141.67,10466.67,10433.33,10600,10883.33,11158.33,11558.33,11275,11558.33,11908.33,11908.33,11116.67
        Management of Companies and Enterprises,2266.67,2258.33,2200,2375,2425,2325,2525,2525,2433.33,2408.33,2650,2775,2800,3008.33,2752.08
        Administrative and Support and Waste and Remediatio,14200,14741.67,15050,16733.33,18391.67,19083.33,19225,17675,18925,20666.67,18200,17850,18966.67,17925,16959.72
          Administrative and Support Services,13300,13691.67,13883.33,15500,17200,17900,17925,16316.67,17516.67,19333.33,16875,16491.67,17550,16433.33,15564.58
          Waste Management and Remediation Services,900,1050,1166.67,1233.33,1191.67,1183.33,1300,1358.33,1408.33,1333.33,1325,1358.33,1416.67,1491.67,1395.14
      Private Education and Health Services,51358.33,51833.33,53025,55100,56691.67,59991.67,63875,67208.33,69275,72500,71733.33,74808.33,78833.33,83416.67,72842.36
        Private Educational Services,4833.33,5158.33,5166.67,4600,4241.67,4000,3933.33,3858.33,3791.67,3941.67,3633.33,3908.33,4433.33,4891.67,4733.33
        Health Care and Social Assistance,46525,46675,47858.33,50500,52450,55991.67,59941.67,63350,65483.33,68558.33,68100,70900,74400,78525,68109.03
            Ambulatory Health Care Services,14108.33,14225,14591.67,15241.67,15500,16475,17416.67,18008.33,18450,19691.67,19450,21250,22341.67,23241.67,20222.22
            Hospitals,10291.67,10400,10850,11216.67,11916.67,12458.33,13366.67,13925,14158.33,14300,14150,14641.67,15283.33,16283.33,14339.58
            Nursing and Residential Care Facilities,6541.67,6983.33,7166.67,7250,7300,7516.67,7550,7600,8008.33,8141.67,8100,7708.33,7725,7658.33,7528.47
