TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,79108.33,79625,79350,78158.33,78258.33,76750,75183.33,72058.33,71125,73533.33,71533.33,68866.67,69925,73291.67,75716.67
  Civilian Employment,55841.67,56308.33,57366.67,58408.33,59275,57875,57016.67,57883.33,57775,58291.67,55358.33,56841.67,59516.67,60633.33,59508.33
      Civilian Unemployment,23241.67,23300,21991.67,19766.67,19008.33,18891.67,18175,14166.67,13350,15241.67,16183.33,12025,10425,12658.33,16192.36
Civilian Unemployment Rate,0.29,0.29,0.28,0.25,0.24,0.25,0.24,0.2,0.19,0.21,0.23,0.17,0.15,0.17,0.21
"Total, All Industries",58000,59091.67,60575,62225,64025,64750,63533.33,64858.33,64958.33,65475,61658.33,63833.33,66308.33,67400,65534.72
      Total Farm,9091.67,10366.67,10750,11050,12300,13250,12058.33,12308.33,11725,11250,10358.33,10700,9933.33,9383.33,10238.2
      Total Nonfarm,48908.33,48725,49825,51175,51725,51500,51475,52550,53233.33,54225,51300,53133.33,56375,58016.67,55296.53
    Total Private,30466.67,30583.33,31908.33,33466.67,33833.33,33600,33233.33,34066.67,34358.33,35083.33,32983.33,34741.67,36883.33,38108.33,36079.86
    Goods Producing,3916.67,3975,4241.67,4508.33,4016.67,3666.67,3000,3258.33,3350,3666.67,3850,4091.67,4341.67,4366.67,4271.53
      Mining Logging and Construction,1241.67,1350,1541.67,2025,2341.67,2550,1816.67,1783.33,1783.33,1916.67,1866.67,1950,2058.33,2008.33,1916.67
      Manufacturing,2675,2625,2700,2483.33,1675,1116.67,1183.33,1475,1566.67,1750,1983.33,2141.67,2283.33,2358.33,2354.86
Durable Goods,600,566.67,600,600,600,600,600,700,666.67,625,691.67,733.33,800,800,688.89
Non-Durable Goods,2075,2058.33,2100,1883.33,1075,516.67,583.33,775,900,1125,1291.67,1408.33,1483.33,1558.33,1665.97
Service-Providing,44991.67,44750,45583.33,46666.67,47708.33,47833.33,48475,49291.67,49883.33,50558.33,47450,49041.67,52033.33,53650,51025
    Private Service Providing,26550,26608.33,27666.67,28958.33,29816.67,29933.33,30233.33,30808.33,31008.33,31416.67,29133.33,30650,32541.67,33741.67,31808.33
      Trade Transportation and Utilities,10358.33,10450,10858.33,11208.33,11900,12066.67,11975,11950,11991.67,11908.33,11066.67,11991.67,12391.67,12458.33,11864.58
        Wholesale Trade,1616.67,1691.67,1716.67,1766.67,1766.67,1766.67,1800,1775,1766.67,1783.33,1725,1725,1791.67,1733.33,1704.86
        Retail Trade,6916.67,6991.67,7316.67,7466.67,8058.33,8233.33,8025,8016.67,8016.67,7933.33,7191.67,7916.67,8108.33,8191.67,7870.83
        Transportation Warehousing and Utilities,1825,1766.67,1825,1975,2075,2066.67,2150,2158.33,2208.33,2191.67,2150,2350,2491.67,2533.33,2288.89
      Information,400,400,391.67,308.33,300,300,300,300,300,300,225,200,200,200,266.67
      Financial Activities,1316.67,1300,1400,1500,1500,1458.33,1350,1300,1300,1225,1141.67,1125,1141.67,1200,1284.72
      Professional and Business Services,2750,2825,2991.67,2950,2925,2791.67,2883.33,3133.33,3100,2950,2741.67,2858.33,3091.67,3216.67,3170.14
      Private Education and Health Services,7700,7458.33,7600,8316.67,8358.33,8333.33,8508.33,8833.33,9158.33,9733.33,9716.67,9533.33,10241.67,11150,10102.78
      Leisure and Hospitality,3325,3358.33,3625,3875,4033.33,4158.33,4366.67,4383.33,4258.33,4375,3408.33,4000,4366.67,4391.67,4126.39
      Other Services,700,816.67,800,800,800,825,850,908.33,900,925,833.33,941.67,1108.33,1125,993.06
      Government,18441.67,18141.67,17916.67,17708.33,17891.67,17900,18241.67,18483.33,18875,19141.67,18316.67,18391.67,19491.67,19908.33,19216.67
        Federal Government,2508.33,2500,2500,2408.33,2341.67,2191.67,2108.33,2100,2100,2108.33,2283.33,2375,2500,2508.33,2479.86
        Total State and Local Government,15933.33,15641.67,15416.67,15300,15550,15708.33,16133.33,16383.33,16775,17033.33,16033.33,16016.67,16991.67,17400,16736.81
          State Government,2950,2875,2758.33,2650,2600,2641.67,2700,2691.67,2725,2800,2766.67,2716.67,2700,2700,2736.11
        Local Government,12983.33,12766.67,12658.33,12650,12950,13066.67,13433.33,13691.67,14050,14233.33,13266.67,13291.67,14291.67,14700,14000.69
            Special Districts plus Tribes,3166.67,3100,3025,2908.33,2875,2916.67,2950,3000,3083.33,3100,2858.33,3050,3108.33,3333.33,3256.25
