TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,9754.17,9661.67,9535.83,9355.0,9193.33,9082.5,8860.0,8606.67,8705.0,8755.83,8320.0,8239.17,8157.5,8354.17,8927.5
  Civilian Employment,8783.33,8706.67,8656.67,8614.17,8560.0,8553.33,8390.0,8226.67,8362.5,8444.17,7657.5,7751.67,7848.33,8040.0,8376.74
  Civilian Unemployment,971.67,955.83,880.0,743.33,634.17,530.0,469.17,378.33,340.0,314.17,664.17,491.67,308.33,315.0,549.58
Civilian Unemployment Rate,0.1,0.1,0.09,0.08,0.07,0.06,0.05,0.04,0.04,0.04,0.08,0.06,0.04,0.04,0.06
"Total, All Industries",7650.83,7568.33,7526.67,7556.67,7552.5,7599.17,7530.0,7430.83,7618.33,7795.0,7115.83,7244.17,7365.0,7608.33,7731.25
  Total Farm,45.83,55.0,55.83,51.67,55.83,55.83,56.67,54.17,47.5,43.33,31.67,30.83,30.0,28.33,38.68
  Total Nonfarm,7605.0,7513.33,7470.83,7505.0,7496.67,7543.33,7473.33,7376.67,7570.83,7751.67,7084.17,7213.33,7335.0,7580.0,7692.57
    Total Private,4413.33,4290.83,4235.0,4309.17,4380.83,4461.67,4442.5,4332.5,4479.17,4563.33,4006.67,4104.17,4242.5,4386.67,4461.6
    Goods Producing,470.0,458.33,440.83,457.5,599.17,611.67,538.33,522.5,555.0,554.17,541.67,521.67,546.67,603.33,572.99
      "Mining Logging and Construction",208.33,202.5,192.5,211.67,345.83,337.5,252.5,230.0,249.17,236.67,236.67,220.0,220.83,273.33,270.07
      Mining and Logging,45.83,48.33,50.0,45.0,41.67,38.33,30.0,22.5,10.0,10.0,8.33,12.5,20.0,39.17,45.07
      Construction,162.5,154.17,142.5,166.67,304.17,299.17,222.5,207.5,239.17,226.67,228.33,207.5,200.83,234.17,225.0
      Manufacturing,263.33,257.5,252.5,247.5,252.5,271.67,284.17,292.5,308.33,321.67,305.83,305.83,328.33,329.17,303.61
        Durable Goods,33.33,30.0,30.0,30.83,30.0,31.67,35.83,32.5,33.33,30.83,39.17,35.0,40.83,49.17,46.18
        Non-Durable Goods,230.83,225.83,223.33,217.5,225.0,240.0,249.17,259.17,275.83,290.83,269.17,269.17,287.5,283.33,259.37
Service-Providing,7133.33,7057.5,7029.17,7049.17,6897.5,6931.67,6935.83,6857.5,7016.67,7197.5,6541.67,6690.0,6787.5,6978.33,7119.72
    Private Service Providing,3944.17,3832.5,3796.67,3851.67,3781.67,3851.67,3902.5,3810.83,3925.0,4008.33,3463.33,3583.33,3694.17,3781.67,3889.72
      "Trade Transportation, and Utilities",1279.17,1235.83,1190.83,1215.83,1243.33,1225.0,1227.5,1225.83,1247.5,1236.67,1124.17,1130.0,1139.17,1178.33,1198.75
        Wholesale Trade,115.83,120.0,115.0,115.83,118.33,107.5,102.5,96.67,90.0,93.33,87.5,83.33,84.17,91.67,103.75
        Retail Trade,965.83,921.67,878.33,908.33,940.83,941.67,946.67,952.5,970.0,950.83,840.0,847.5,848.33,870.0,893.75
        "Transportation Warehousing and Utilities",200.83,193.33,195.83,191.67,187.5,176.67,180.0,176.67,189.17,193.33,196.67,201.67,205.0,214.17,202.43
      Information,80.83,75.0,60.83,60.83,58.33,55.83,50.0,47.5,40.0,48.33,37.5,30.83,35.83,44.17,57.15
      Financial Activities,152.5,150.83,150.83,140.83,140.83,151.67,155.0,160.83,158.33,161.67,150.0,138.33,134.17,130.0,135.48
      Professional and Business Services,271.67,265.83,269.17,235.0,218.33,248.33,241.67,220.83,226.67,210.83,214.17,289.17,287.5,315.0,313.33
      Private Education and Health Services,490.83,475.0,521.67,629.17,603.33,595.83,560.83,427.5,438.33,466.67,485.0,485.0,463.33,527.5,563.33
      Leisure and Hospitality,1472.5,1452.5,1408.33,1389.17,1334.17,1389.17,1471.67,1531.67,1603.33,1684.17,1299.17,1360.0,1477.5,1430.83,1453.06
      Other Services,196.67,185.0,194.17,183.33,181.67,188.33,200.83,202.5,210.83,203.33,155.0,151.67,159.17,158.33,171.74
      Government,3190.83,3226.67,3235.0,3195.83,3115.0,3079.17,3030.83,3045.83,3094.17,3188.33,3080.0,3106.67,3094.17,3195.0,3231.11
        Federal Government,434.17,401.67,390.83,366.67,343.33,298.33,287.5,285.83,295.0,302.5,295.83,281.67,279.17,300.0,333.06
        Total State and Local Government,2756.67,2825.0,2845.0,2830.0,2771.67,2782.5,2745.83,2761.67,2798.33,2890.0,2782.5,2828.33,2816.67,2895.83,2897.36
          State Government,393.33,398.33,383.33,369.17,360.83,360.0,361.67,356.67,366.67,367.5,361.67,348.33,360.83,385.83,395.42
          Local Government,2362.5,2425.0,2462.5,2460.0,2409.17,2421.67,2383.33,2406.67,2432.5,2521.67,2420.83,2479.17,2455.83,2510.0,2503.26
