TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,372241.67,382025,391266.67,392208.33,391908.33,390158.33,388108.33,384083.33,385733.33,388175,386358.33,384991.67,389175,393733.33,390237.5
  Civilian Employment,312575,324441.67,339000,345558.33,350625,350050,347708.33,348516.67,354566.67,357725,336841.67,346783.33,361725,360966.67,347025
      Civilian Unemployment,59675,57591.67,52266.67,46641.67,41275,40091.67,40416.67,35583.33,31166.67,30441.67,49525,38200,27441.67,32758.33,43229.17
Civilian Unemployment Rate,0.16,0.15,0.13,0.12,0.11,0.1,0.1,0.09,0.08,0.08,0.13,0.1,0.07,0.08,0.11
"Total, All Industries",274383.33,284750,299283.33,309158.33,315633.33,315900,317616.67,320175,327900,335158.33,319291.67,331441.67,346583.33,346616.67,324909.03
      Total Farm,44575,48216.67,53758.33,59150,59816.67,58808.33,62125,61375,61491.67,62133.33,58366.67,60575,60350,56058.33,53576.39
      Total Nonfarm,229808.33,236533.33,245525,250008.33,255816.67,257091.67,255491.67,258800,266408.33,273025,260925,270866.67,286233.33,290558.33,271332.64
    Total Private,169175,176383.33,186741.67,191566.67,196125,195583.33,191691.67,193566.67,200341.67,205416.67,195400,206066.67,218983.33,220775,205107.64
    Goods Producing,35541.67,38675,43016.67,43816.67,45650,42041.67,37066.67,36950,38400,38800,35700,35141.67,36975,36508.33,38141.67
      Mining Logging and Construction,22541.67,25575,29541.67,29758.33,31075,27891.67,23525,23558.33,25233.33,25875,23375,22941.67,24475,24075,25207.64
      Mining and Logging,9825,11608.33,12841.67,12508.33,12900,11408.33,8983.33,8616.67,9308.33,9558.33,7950,7441.67,7800,7800,9423.61
      Construction,12716.67,13966.67,16700,17250,18175,16483.33,14541.67,14941.67,15925,16316.67,15425,15500,16675,16275,15784.03
      Manufacturing,13000,13100,13475,14058.33,14575,14150,13541.67,13391.67,13166.67,12925,12325,12200,12500,12433.33,12934.03
        Durable Goods,5033.33,5058.33,5133.33,5358.33,5641.67,5283.33,4791.67,4766.67,4800,4891.67,4733.33,4775,4891.67,5000,5093.75
        Non-Durable Goods,7966.67,8041.67,8341.67,8700,8933.33,8866.67,8750,8625,8366.67,8033.33,7591.67,7425,7608.33,7433.33,7840.28
          Food Manufacturing,5541.67,5533.33,5833.33,6066.67,6050,5916.67,5908.33,5883.33,5650,5183.33,4841.67,4658.33,4733.33,4558.33,5118.75
     Service-Providing,194266.67,197858.33,202508.33,206191.67,210166.67,215050,218425,221850,228008.33,234225,225225,235725,249258.33,254050,233190.97
    Private Service Providing,133633.33,137708.33,143725,147750,150475,153541.67,154625,156616.67,161941.67,166616.67,159700,170925,182008.33,184266.67,166965.97
      Trade Transportation and Utilities,42308.33,43791.67,45391.67,47516.67,49433.33,50716.67,51141.67,51633.33,53291.67,52858.33,52791.67,59700,63191.67,61608.33,54111.81
        Wholesale Trade,7458.33,7591.67,7758.33,8475,8675,8341.67,8108.33,8225,8250,8033.33,7525,7716.67,8166.67,8400,8171.53
        Retail Trade,26008.33,27075,27925,28941.67,30300,31466.67,32075,31958.33,31808.33,31133.33,30100,32266.67,32916.67,32433.33,30154.17
          Food and Beverage Retailers,5641.67,6058.33,5958.33,6066.67,6383.33,6616.67,6783.33,6508.33,6425,6425,6575,6783.33,6925,6958.33,6517.36
          General Merchandise Retailers,5508.33,5633.33,5800,6033.33,6283.33,6833.33,6766.67,6966.67,6983.33,6916.67,7041.67,7683.33,7708.33,7525,6671.53
            Department Stores,2241.67,2116.67,2108.33,2033.33,2050,2150,2025,1950,1900,1675,1466.67,1625,1675,1641.67,1720.83
          Clothing Accessories Shoe and Jewelry,2216.67,2358.33,2375,2491.67,2941.67,3325,3133.33,2858.33,2808.33,2500,1691.67,2241.67,2408.33,2316.67,2265.28
        Transportation Warehousing and Utilities,8841.67,9125,9708.33,10100,10458.33,10908.33,10958.33,11450,13233.33,13691.67,15166.67,19716.67,22108.33,20775,15786.11
      Information,2691.67,2616.67,2675,2541.67,2383.33,2683.33,2166.67,2033.33,2033.33,1908.33,1525,1541.67,1625,1708.33,2067.36
      Financial Activities,7791.67,7883.33,8316.67,8383.33,8233.33,8091.67,7916.67,7825,7766.67,7725,7533.33,7641.67,7583.33,7525,7792.36
        Finance and Insurance,4741.67,4866.67,5083.33,5100,5016.67,4925,4800,4800,4650,4500,4408.33,4425,4191.67,4100,4450.7
        Real Estate and Rental and Leasing,3050,3016.67,3233.33,3283.33,3216.67,3166.67,3116.67,3025,3116.67,3225,3125,3216.67,3391.67,3425,3341.67
      Professional and Business Services,24166.67,25783.33,27041.67,26758.33,26383.33,25891.67,25500,25108.33,26133.33,27366.67,26441.67,26008.33,27041.67,26991.67,26936.11
        Professional Scientific and Technical Services,10200,10733.33,11316.67,11125,10833.33,10166.67,9450,9283.33,9450,9783.33,10375,10350,11533.33,11483.33,11450.69
        Management of Companies and Enterprises,3100,3425,3475,3441.67,3466.67,3216.67,3191.67,2975,2791.67,2658.33,2500,2650,2658.33,2725,3000.7
        Administrative and Support and Waste and Remediatio,10866.67,11625,12250,12191.67,12083.33,12508.33,12858.33,12850,13891.67,14925,13566.67,13008.33,12850,12783.33,12484.72
      Private Education and Health Services,29558.33,30133.33,31450,32266.67,32575,33433.33,34783.33,36433.33,38091.67,40925,40800,41633.33,44333.33,47525,41490.28
