TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,61750.0,61966.67,62433.33,62075.0,61716.67,59816.67,61050.0,60908.33,61241.67,62116.67,61941.67,62091.67,62933.33,64208.33,64520.14
  Civilian Employment,51241.67,51783.33,53266.67,54175.0,54725.0,53483.33,55416.67,55933.33,56900.0,57791.67,55066.67,56616.67,59016.67,59416.67,57590.97
  Civilian Unemployment,10508.33,10183.33,9158.33,7908.33,6983.33,6333.33,5658.33,5000.0,4350.0,4316.67,6875.0,5466.67,3933.33,4791.67,6920.14
Civilian Unemployment Rate,0.17,0.16,0.15,0.13,0.11,0.11,0.09,0.08,0.07,0.07,0.11,0.09,0.06,0.07,0.11
"Total, All Industries",43891.67,44350.0,46025.0,47116.67,47450.0,46233.33,48816.67,49666.67,50850.0,52216.67,50383.33,52308.33,54683.33,55225.0,52702.78
  Total Farm,10233.33,10833.33,11583.33,12066.67,11883.33,11383.33,12116.67,11966.67,12058.33,12300.0,11533.33,11958.33,12358.33,12441.67,12508.33
  Total Nonfarm,33658.33,33516.67,34441.67,35050.0,35566.67,34850.0,36700.0,37700.0,38791.67,39916.67,38850.0,40350.0,42325.0,42783.33,40194.44
    Total Private,23025.0,23133.33,24341.67,25333.33,25783.33,25691.67,26350.0,26966.67,27808.33,28741.67,28058.33,29408.33,30741.67,30600.0,28551.39
    Goods Producing,4158.33,4325.0,4758.33,4883.33,5125.0,5100.0,5283.33,5308.33,5516.67,5591.67,5316.67,5450.0,5558.33,5575.0,5287.5
      "Mining, Logging and Construction",1133.33,1058.33,1125.0,1241.67,1316.67,1541.67,1783.33,1816.67,1916.67,1941.67,1983.33,2175.0,2216.67,2250.0,1872.92
      Manufacturing,3025.0,3266.67,3633.33,3641.67,3808.33,3558.33,3500.0,3491.67,3600.0,3650.0,3333.33,3275.0,3341.67,3325.0,3414.58
    Service Providing,29500.0,29191.67,29683.33,30166.67,30441.67,29750.0,31416.67,32391.67,33275.0,34325.0,33533.33,34900.0,36766.67,37208.33,34906.94
    Private Service Providing,18866.67,18808.33,19583.33,20450.0,20658.33,20591.67,21066.67,21658.33,22291.67,23150.0,22741.67,23958.33,25183.33,25025.0,23263.89
      "Trade, Transportation, and Utilities",4766.67,4608.33,4850.0,5150.0,5291.67,5416.67,5541.67,5541.67,5725.0,5766.67,5858.33,6125.0,6325.0,6616.67,6030.56
        Retail Trade,3350.0,3291.67,3400.0,3533.33,3616.67,3708.33,3758.33,3800.0,3891.67,3941.67,4033.33,4241.67,4241.67,4191.67,3849.31
        "Transportation, Warehousing, and Utilities",691.67,550.0,666.67,766.67,783.33,750.0,800.0,816.67,858.33,866.67,941.67,991.67,1125.0,1233.33,1046.53
      Information,400.0,400.0,366.67,400.0,400.0,383.33,316.67,300.0,308.33,300.0,283.33,300.0,300.0,300.0,338.89
      Financial Activities,708.33,700.0,758.33,808.33,800.0,775.0,775.0,733.33,708.33,783.33,733.33,741.67,800.0,758.33,781.25
      Professional and Business Services,2625.0,2616.67,2816.67,2766.67,2516.67,2216.67,2416.67,2483.33,2433.33,2700.0,2775.0,2900.0,3241.67,2991.67,2928.47
      Private Education and Health Services,6991.67,7116.67,7258.33,7550.0,7625.0,7691.67,7791.67,8266.67,8633.33,8800.0,8825.0,9100.0,9283.33,8983.33,8486.81
        Health Care and Social Assistance,6775.0,6766.67,6891.67,7375.0,7491.67,7608.33,7700.0,8191.67,8566.67,8716.67,8783.33,9025.0,9200.0,8891.67,8325.0
      Leisure and Hospitality,2533.33,2541.67,2725.0,2875.0,3016.67,3066.67,3258.33,3433.33,3541.67,3733.33,3316.67,3716.67,4125.0,4191.67,3632.64
      Other Services,841.67,825.0,808.33,900.0,1008.33,1041.67,966.67,900.0,941.67,1066.67,950.0,1075.0,1108.33,1183.33,1065.28
      Government,10633.33,10383.33,10100.0,9716.67,9783.33,9158.33,10350.0,10733.33,10983.33,11175.0,10791.67,10941.67,11583.33,12183.33,11643.06
        Federal Government,358.33,333.33,300.0,275.0,275.0,275.0,266.67,258.33,275.0,266.67,333.33,283.33,266.67,275.0,303.47
        Total State and Local Government,10275.0,10050.0,9800.0,9441.67,9508.33,8883.33,10083.33,10475.0,10708.33,10908.33,10458.33,10658.33,11316.67,11908.33,11339.58
          State Government,2541.67,2416.67,2291.67,2225.0,2291.67,2341.67,2400.0,2500.0,2500.0,2541.67,2591.67,2500.0,2525.0,2616.67,2572.22
          Local Government,7733.33,7633.33,7508.33,7216.67,7216.67,6541.67,7683.33,7975.0,8208.33,8366.67,7866.67,8158.33,8791.67,9291.67,8767.36
            Local Government Educational Services,4275.0,4275.0,4166.67,4008.33,4183.33,4350.0,4533.33,4691.67,4833.33,4900.0,4616.67,4633.33,5175.0,5591.67,5159.03
          Local Government excluding Educational Services,3458.33,3358.33,3341.67,3208.33,3033.33,2191.67,3150.0,3283.33,3375.0,3466.67,3250.0,3525.0,3616.67,3700.0,3608.33
            County Government,1408.33,1341.67,1391.67,1408.33,1416.67,1458.33,1491.67,1508.33,1566.67,1608.33,1616.67,1633.33,1625.0,1675.0,1597.22
            City Government,400.0,400.0,391.67,383.33,400.0,400.0,400.0,425.0,408.33,400.0,400.0,391.67,400.0,350.0,397.92
            Special Districts plus Tribes,1675.0,1616.67,1558.33,1416.67,1216.67,333.33,1258.33,1350.0,1400.0,1458.33,1233.33,1500.0,1591.67,1675.0,1615.28
