TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,132958.33,134241.67,136516.67,137816.67,138475,138683.33,139641.67,139633.33,139725,138625,130658.33,129183.33,131083.33,132016.67,133792.36
  Civilian Employment,122258.33,124300,127808.33,130583.33,132483.33,133708.33,135041.67,135583.33,136316.67,135391.67,121783.33,123325,127575,127633.33,127369.44
  Civilian Unemployment,10716.67,9941.67,8733.33,7208.33,5991.67,4975,4600,4050,3408.33,3241.67,8875,5866.67,3533.33,4391.67,6415.97
Civilian Unemployment Rate,0.08,0.07,0.06,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.07,0.05,0.03,0.03,0.05
"Total, All Industries",100275,101991.67,105041.67,108900,110541.67,111950,114300,115525,116400,116616.67,104950,106608.33,110500,112575,110387.5
  Total Farm,450,416.67,400,383.33,383.33,325,325,325,333.33,383.33,383.33,375,383.33,341.67,394.44
  Total Nonfarm,99825,101575,104641.67,108516.67,110158.33,111625,113975,115200,116066.67,116233.33,104566.67,106233.33,110116.67,112233.33,109993.06
    Total Private,84816.67,85591.67,89166.67,93141.67,94725,96175,98466.67,99475,100058.33,100416.67,89808.33,91716.67,95308.33,96900,94278.47
    Goods Producing,6958.33,7125,7733.33,8600,9475,10291.67,11016.67,11658.33,12450,12575,11891.67,11991.67,11975,11900,10182.64
      Mining Logging and Construction,4841.67,4950,5308.33,5691.67,6075,6458.33,6800,7191.67,7716.67,7725,7291.67,7600,7758.33,7616.67,6588.89
        Mining and Logging,141.67,100,100,0,0,0,0,0,0,0,0,0,0,0,28.47
        Construction,4700,4850,5208.33,5691.67,6075,6458.33,6800,7191.67,7716.67,7725,7291.67,7600,7758.33,7616.67,6560.42
      Manufacturing,2116.67,2175,2425,2908.33,3400,3833.33,4216.67,4466.67,4733.33,4850,4600,4391.67,4216.67,4283.33,3593.75
