TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,216033.33,216258.33,217391.67,215658.33,217341.67,218266.67,218800,219483.33,221891.67,221200,214216.67,211750,217175,217675,219265.28
  Civilian Employment,187866.67,188400,191833.33,193150,197441.67,200458.33,201983.33,203625,207716.67,207216.67,190341.67,194233.33,203933.33,202400,198282.64
  Civilian Unemployment,28183.33,27850,25566.67,22525,19925,17833.33,16825,15858.33,14175,13983.33,23858.33,17516.67,13241.67,15258.33,20979.17
Civilian Unemployment Rate,0.13,0.13,0.12,0.11,0.09,0.08,0.08,0.07,0.06,0.06,0.11,0.08,0.06,0.07,0.1
"Total, All Industries",169750,169966.67,173500,176616.67,181916.67,185983.33,189441.67,192300,197883.33,199791.67,185525,190825,201600,200508.33,191212.5
Total Farm,45100,46275,48150,50091.67,52175,52958.33,53291.67,53216.67,55033.33,54825,53783.33,54808.33,58375,55000,53499.31
  Total Nonfarm,124650,123691.67,125350,126525,129741.67,133025,136150,139083.33,142850,144966.67,131741.67,136016.67,143225,145508.33,137713.19
    Total Private,92025,92016.67,94058.33,96300,99191.67,101933.33,104233.33,105791.67,108375,110241.67,97925,102441.67,108791.67,110758.33,104799.31
    Goods Producing,9883.33,9575,9533.33,9908.33,10350,10958.33,11333.33,11650,11891.67,11966.67,11025,11541.67,12183.33,12500,11545.83
      Mining Logging and Construction,4325,4033.33,4316.67,4700,5075,5541.67,6050,6208.33,6658.33,6816.67,6466.67,6675,7125,7408.33,6279.17
        Mining and Logging,200,200,200,200,200,300,233.33,208.33,241.67,300,225,200,233.33,200,200
        Construction,4125,3833.33,4116.67,4500,4875,5241.67,5816.67,6000,6416.67,6516.67,6241.67,6475,6891.67,7208.33,6079.17
      Manufacturing,5558.33,5541.67,5216.67,5208.33,5275,5416.67,5283.33,5441.67,5233.33,5150,4558.33,4866.67,5058.33,5091.67,5266.67
        Non-Durable Goods,4241.67,4250,3875,3825,3833.33,3933.33,3758.33,3933.33,3658.33,3583.33,3100,3383.33,3600,3658.33,3827.08
    Service-Providing,114766.67,114116.67,115816.67,116616.67,119391.67,122066.67,124816.67,127433.33,130958.33,133000,120716.67,124475,131041.67,133008.33,126167.36
    Private Service Providing,82141.67,82441.67,84525,86391.67,88841.67,90975,92900,94141.67,96483.33,98275,86900,90900,96608.33,98258.33,93253.47
      Trade Transportation & Utilities,23516.67,23908.33,24783.33,25366.67,25708.33,25966.67,26066.67,26200,26691.67,26608.33,24591.67,24975,25400,25500,24773.61
        Wholesale Trade,4941.67,4900,5183.33,5175,5350,5275,5275,5625,5908.33,5775,5350,5325,5541.67,5858.33,5587.5
        Retail Trade,15225,15650,15850,16158.33,16200,16433.33,16533.33,16441.67,16775,16758.33,15491.67,16033.33,16225,16233.33,15873.61
          Food and Beverage Retailers,3425,3641.67,3716.67,3891.67,3783.33,3725,3625,3633.33,3783.33,4033.33,4133.33,4175,4108.33,4191.67,4046.53
        Transportation Warehousing and Utilities,3350,3358.33,3750,4033.33,4158.33,4258.33,4258.33,4133.33,4008.33,4075,3750,3616.67,3633.33,3408.33,3312.5
      Information,1683.33,1583.33,1525,1533.33,1400,1300,1125,1058.33,1008.33,1000,783.33,816.67,900,883.33,1152.08
      Financial Activities,4316.67,4125,4191.67,4016.67,3966.67,4100,4200,4300,4475,4400,4108.33,4150,4250,4116.67,4109.72
