TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,70250,70641.67,71641.67,72541.67,73250,73725,72933.33,73233.33,73783.33,73241.67,68883.33,68400,70466.67,71958.33,72243.75
  Civilian Employment,62825,63591.67,65491.67,67441.67,69050,70291.67,69808.33,70550,71583.33,71133.33,62733.33,64241.67,68150,69425,68016.67
  Civilian Unemployment,7425,7033.33,6150,5091.67,4208.33,3433.33,3158.33,2683.33,2191.67,2108.33,6150,4133.33,2316.67,2558.33,4200.69
Civilian Unemployment Rate,0.11,0.1,0.09,0.07,0.06,0.05,0.04,0.04,0.03,0.03,0.09,0.06,0.03,0.04,0.06
"Total, All Industries",65375,66141.67,68358.33,71291.67,73466.67,75316.67,75641.67,77258.33,79325,79908.33,70783.33,73008.33,78083.33,80308.33,76302.78
  Total Farm,4666.67,4800,4808.33,4950,4941.67,5008.33,4966.67,5025,5141.67,5158.33,4950,5258.33,5616.67,6033.33,5672.22
  Total Nonfarm,60708.33,61341.67,63550,66341.67,68525,70308.33,70675,72233.33,74183.33,74750,65833.33,67750,72466.67,74275,70630.56
    Total Private,50350,51275,53691.67,56341.67,58533.33,60158.33,60316.67,61708.33,63650,64558.33,56150,58308.33,63066.67,64850,60907.64
    Goods Producing,13258.33,13316.67,13866.67,14825,15758.33,16175,15975,16850,17958.33,18416.67,16875,17775,18933.33,19508.33,17402.08
      Mining Logging and Construction,2583.33,2450,2658.33,3191.67,3691.67,4266.67,4041.67,4150,4725,4741.67,4108.33,4500,4425,4441.67,3756.25
      Manufacturing,10675,10866.67,11208.33,11633.33,12066.67,11908.33,11933.33,12700,13233.33,13675,12766.67,13275,14508.33,15066.67,13645.83
        Non-Durable Goods,9266.67,9458.33,9666.67,10108.33,10541.67,10441.67,10433.33,11225,11716.67,12216.67,11516.67,11833.33,12958.33,13525,12153.47
          Beverage and Tobacco Product Manufacturing,7975,8216.67,8475,8941.67,9541.67,9533.33,9816.67,10558.33,11075,11583.33,10866.67,11025,11908.33,12208.33,10920.83
     Service-Providing,47450,48025,49683.33,51516.67,52766.67,54133.33,54700,55383.33,56225,56333.33,48958.33,49975,53533.33,54766.67,53228.47
    Private Service Providing,37091.67,37958.33,39825,41516.67,42775,43983.33,44341.67,44858.33,45691.67,46141.67,39275,40533.33,44133.33,45341.67,43505.56
      Trade Transportation and Utilities,8866.67,8700,9066.67,9525,9841.67,10066.67,10175,10083.33,10216.67,10316.67,9541.67,9750,10083.33,10075,9741.67
        Wholesale Trade,1508.33,1366.67,1450,1583.33,1566.67,1675,1691.67,1691.67,1791.67,1775,1550,1466.67,1500,1500,1497.92
        Retail Trade,5816.67,5725,5866.67,6083.33,6316.67,6408.33,6441.67,6400,6333.33,6416.67,6175,6166.67,6208.33,6191.67,6150.7
        Transportation Warehousing and Utilities,1541.67,1608.33,1750,1858.33,1958.33,1983.33,2041.67,1991.67,2091.67,2125,1816.67,2116.67,2375,2383.33,2093.06
      Information,600,633.33,541.67,508.33,500,425,400,400,350,300,241.67,291.67,300,300,406.94
