TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,1537708.33,1543783.33,1558466.67,1559483.33,1565458.33,1584300.0,1597425.0,1605791.67,1616150.0,1613900.0,1563791.67,1557250.0,1579258.33,1588866.67,1573400.0
  Civilian Employment,1383933.33,1400883.33,1433516.67,1455308.33,1478483.33,1513066.67,1532708.33,1549008.33,1568275.0,1568366.67,1424350.0,1464091.67,1528533.33,1532416.67,1485677.08
  Civilian Unemployment,153783.33,142900.0,124975.0,104158.33,86975.0,71233.33,64725.0,56791.67,47875.0,45516.67,139475.0,93150.0,50725.0,56458.33,87724.3
Civilian Unemployment Rate,0.1,0.09,0.08,0.07,0.06,0.05,0.04,0.04,0.03,0.03,0.09,0.06,0.03,0.04,0.06
"Total, All Industries",1376283.33,1392141.67,1428850.0,1467766.67,1501741.67,1549883.33,1589983.33,1622416.67,1655358.33,1677150.0,1534591.67,1589808.33,1667733.33,1683558.33,1587481.95
  Total Farm,3725.0,3216.67,2800.0,2908.33,2750.0,2441.67,2441.67,2133.33,1966.67,1866.67,1866.67,1983.33,1683.33,1691.67,2250.0
  Total Nonfarm,1372558.33,1388925.0,1426050.0,1464858.33,1498991.67,1547441.67,1587541.67,1620283.33,1653391.67,1675283.33,1532725.0,1587825.0,1666050.0,1681866.67,1585231.94
    Total Private,1220266.67,1239650.0,1278200.0,1316183.33,1346766.67,1391033.33,1427941.67,1460100.0,1492166.67,1512741.67,1376650.0,1432166.67,1507833.33,1520666.67,1427047.22
    Goods Producing,219925.0,225091.67,231825.0,237050.0,241191.67,249625.0,255575.0,262591.67,267116.67,266633.33,251725.0,252308.33,261066.67,261425.0,247656.94
      Mining, Logging and Construction",68841.67,70266.67,72775.0,78283.33,83025.0,91783.33,97375.0,101833.33,106350.0,106575.0,101658.33,102533.33,105641.67,104941.67,92507.64
      Mining and Logging,400.0,400.0,425.0,450.0,500.0,400.0,341.67,483.33,500.0,450.0,358.33,383.33,325.0,300.0,356.25
      Construction,68441.67,69866.67,72350.0,77833.33,82525.0,91383.33,97033.33,101350.0,105850.0,106125.0,101300.0,102150.0,105316.67,104641.67,92151.39
        Construction of Buildings,15591.67,15516.67,15858.33,17183.33,18783.33,20100.0,20375.0,21000.0,22183.33,22566.67,21175.0,21833.33,23275.0,23625.0,20894.44
          Heavy and Civil Engineering Construction,7058.33,7716.67,8900.0,8808.33,8225.0,9833.33,10250.0,10591.67,9766.67,9608.33,9458.33,9483.33,9316.67,8983.33,8484.03
        Specialty Trade Contractors,45791.67,46633.33,47591.67,51841.67,55516.67,61450.0,66408.33,69758.33,73900.0,73950.0,70666.67,70833.33,72725.0,72033.33,62772.92
      Manufacturing,151083.33,154825.0,159050.0,158766.67,158166.67,157841.67,158200.0,160758.33,160766.67,160058.33,150066.67,149775.0,155425.0,156483.33,155149.31
        Durable Goods,107133.33,111291.67,115141.67,115791.67,116191.67,116083.33,116158.33,117558.33,118575.0,118783.33,112350.0,111441.67,116058.33,117516.67,114745.83
          Fabricated Metal Product Manufacturing,20791.67,21383.33,22650.0,23491.67,23633.33,23583.33,22541.67,21783.33,21850.0,21975.0,20666.67,19316.67,19408.33,20066.67,21062.5
          Machinery Manufacturing,9083.33,9233.33,9325.0,9583.33,9341.67,9200.0,9216.67,9208.33,9391.67,8875.0,8058.33,7708.33,7525.0,7175.0,7930.56
          Computer and Electronic Product Manufacturing,32225.0,32283.33,32483.33,31600.0,31691.67,31475.0,31766.67,33225.0,34041.67,34566.67,33133.33,32800.0,33416.67,34091.67,33190.28
            Semiconductor and Other Electronic Component Ma,12891.67,13183.33,12591.67,12050.0,12341.67,12616.67,12483.33,12466.67,13391.67,13675.0,13000.0,12750.0,13016.67,13300.0,12904.86
            Navigational, Measuring, Electromedical, and Co",13658.33,12900.0,12791.67,12683.33,12808.33,12958.33,13250.0,13641.67,13508.33,13650.0,12825.0,12975.0,13500.0,14025.0,13528.47
          Transportation Equipment Manufacturing,15166.67,15366.67,15566.67,15491.67,16033.33,16741.67,17225.0,16558.33,15708.33,15241.67,14566.67,14908.33,17275.0,17941.67,16718.75
