TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average,,,
Civilian Labor Force,312116.67,311166.67,311383.33,312150,311550,314383.33,318300,322941.67,324141.67,326591.67,334758.33,336150,342158.33,346766.67,334147.22,,,
  Civilian Employment,259333.33,259975,266000,273275,278341.67,286266.67,292366.67,300200,304325,307133.33,296358.33,307258.33,323908.33,325125,301685.42,,,
  Civilian Unemployment,52766.67,51208.33,45400,38883.33,33200,28116.67,25941.67,22741.67,19808.33,19458.33,38425,28875,18258.33,21641.67,32454.86,,,
Civilian Unemployment Rate,0.17,0.16,0.15,0.12,0.11,0.09,0.08,0.07,0.06,0.06,0.11,0.09,0.05,0.06,0.1,,,
"Total, All Industries",208308.33,207816.67,212925,221383.33,226808.33,234908.33,242125,251225,257016.67,262400,257691.67,269750,286275,288941.67,261411.81,,,
Total Farm,15825,15616.67,15783.33,16166.67,15741.67,16700,16675,16358.33,15641.67,15433.33,14591.67,14158.33,13758.33,14058.33,15177.78,,,
  Total Nonfarm,192483.33,192200,197141.67,205216.67,211066.67,218208.33,225450,234866.67,241375,246966.67,243100,255591.67,272516.67,274883.33,246234.03,,,
    Total Private,154308.33,155675,161050,168158.33,172491.67,178625,184633.33,192441.67,197850,202058.33,200100,213558.33,229925,231525,203631.94,,,
    Goods Producing,25850,25975,26133.33,27391.67,28108.33,29666.67,30983.33,32100,33441.67,33650,33200,35300,37833.33,37416.67,32829.86,,,
      "Mining, Logging and Construction",7708.33,7475,7700,8883.33,9008.33,10216.67,11183.33,11783.33,12891.67,13175,13083.33,14008.33,14858.33,13875,11456.25,,
      Mining and Logging,100,100,100,100,100,100,100,100,100,100,100,91.67,0,0,41.67,,,
      Construction,7608.33,7375,7600,8783.33,8908.33,10116.67,11083.33,11683.33,12791.67,13075,12983.33,13916.67,14858.33,13875,11414.58,,,
        Specialty Trade Contractors,5116.67,4825,4991.67,5683.33,6283.33,7100,7825,8183.33,8891.67,8975,8983.33,9900,10650,9683.33,7766.67,,,
      Manufacturing,18141.67,18500,18433.33,18508.33,19100,19450,19800,20316.67,20550,20475,20116.67,21291.67,22975,23541.67,21373.61,,,
        Durable Goods,7341.67,7283.33,7225,7491.67,7766.67,7966.67,8441.67,9066.67,9308.33,9316.67,9075,9883.33,11216.67,11566.67,9684.03,,,
        Non-Durable Goods,10800,11216.67,11208.33,11016.67,11333.33,11483.33,11358.33,11250,11241.67,11158.33,11041.67,11408.33,11758.33,11975,11689.58,,,
          Food Manufacturing,6641.67,6791.67,6658.33,6641.67,6525,6441.67,6200,6025,5975,5733.33,5550,5608.33,5775,6008.33,6429.86,,,
Service-Providing,166633.33,166225,171008.33,177825,182958.33,188541.67,194466.67,202766.67,207933.33,213316.67,209900,220291.67,234683.33,237466.67,213404.17,,,
    Private Service Providing,128458.33,129700,134916.67,140766.67,144383.33,148958.33,153650,160341.67,164408.33,168408.33,166900,178258.33,192091.67,194108.33,170802.08,,,
      "Trade, Transportation, and Utilities",47133.33,48675,51241.67,53408.33,54666.67,56983.33,60275,64183.33,66816.67,69183.33,74008.33,80016.67,86716.67,86308.33,70885.42,
        Wholesale Trade,9575,9833.33,10308.33,10575,10658.33,10666.67,10808.33,11225,11750,11708.33,10625,10791.67,11550,12316.67,11429.17,,,
        Retail Trade,23741.67,24150,24916.67,25625,25708.33,25991.67,26466.67,26758.33,26675,26191.67,24608.33,26241.67,27025,27158.33,26045.14,,,
          General Merchandise Retailers,5425,5591.67,5975,6208.33,6300,6491.67,6691.67,6833.33,6908.33,6791.67,6191.67,6666.67,6958.33,6933.33,6350,,,
            Department Stores,2450,2241.67,1991.67,1941.67,1966.67,1933.33,1900,1841.67,1866.67,1816.67,1325,1500,1466.67,1441.67,1640.97,,,
            "Clothing, Clothing Accessories, Shoe, and Jewelry",2291.67,2291.67,2316.67,2225,2166.67,2058.33,2066.67,2066.67,1991.67,1841.67,1233.33,1783.33,1791.67,1850,1999.31
        "Transportation, Warehousing, and Utilities",13816.67,14691.67,16016.67,17208.33,18300,20325,23000,26200,28391.67,31283.33,38775,42983.33,48141.67,46833.33,33411.11,
           Transportation and Warehousing,12691.67,13758.33,14958.33,16041.67,17100,19075,21725,24916.67,27041.67,29916.67,37325,41458.33,46525,45100,31754.17,,,
            Truck Transportation,5233.33,5783.33,6033.33,6341.67,6750,7041.67,6950,6708.33,6683.33,6750,7441.67,7583.33,8400,8658.33,7486.8,,,
          Warehousing and Storage,6091.67,6766.67,7158.33,7383.33,7666.67,9358.33,11741.67,14050,15583.33,18016.67,23800,27025,30258.33,28483.33,18755.56,,,
      Information,2116.67,2108.33,2133.33,2108.33,2091.67,1941.67,1950,1833.33,1750,1633.33,1225,1200,1191.67,1083.33,1454.86,,,
      Financial Activities,7716.67,7458.33,7500,7625,7466.67,7350,7508.33,7800,7816.67,7933.33,7841.67,7966.67,8150,7958.33,7755.56,,,
        Finance and Insurance,5133.33,4916.67,4900,5000,4941.67,4825,4825,4933.33,4783.33,4725,4633.33,4666.67,4608.33,4241.67,4499.31,,,
          Credit Intermediation and Related Activities incl,2475,2300,2191.67,2108.33,2050,2000,2041.67,2083.33,2025,2016.67,1941.67,1850,1800,1591.67,1802.08,,,
      Professional and Business Services,15408.33,15166.67,16608.33,17391.67,18316.67,19416.67,19616.67,19183.33,19616.67,20191.67,21333.33,22508.33,24066.67,23741.67,20724.31,,,
        Administrative and Support and Waste and Remediatio,9583.33,9025,10333.33,10975,11675,12633.33,12691.67,12500,12858.33,13116.67,14283.33,15250,16133.33,15441.67,13307.64,,,
      Private Education and Health Services,33508.33,33708.33,33966.67,35483.33,35925,36475,36383.33,38191.67,38750,39091.67,37250,37991.67,39766.67,42216.67,40482.64,,,
        Private Educational Services,4941.67,5400,5291.67,5366.67,5091.67,4650,4716.67,4866.67,4716.67,4600,4208.33,4108.33,4341.67,4583.33,4957.64,,,
        Health Care and Social Assistance,28566.67,28308.33,28675,30116.67,30833.33,31825,31666.67,33325,34033.33,34491.67,33041.67,33883.33,35425,37633.33,35525,,,
      Leisure and Hospitality,16033.33,16250,16933.33,18141.67,19016.67,19616.67,20400,21525,22041.67,22625,18491.67,21291.67,24291.67,24591.67,21914.58,,,
        "Arts, Entertainment, and Recreation",1800,1791.67,1883.33,2150,2375,2383.33,2475,2491.67,2516.67,2550,1483.33,1816.67,2358.33,2541.67,2433.33,
        Accommodation and Food Services,14233.33,14458.33,15050,15991.67,16641.67,17233.33,17925,19033.33,19525,20075,17008.33,19475,21933.33,22050,19481.25,,,
