TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,133591.67,134083.33,137008.33,137733.33,139916.67,138925.0,139475.0,140241.67,140116.67,139666.67,134158.33,135108.33,135825.0,136308.33,136327.78
  Civilian Employment,119900.0,121025.0,125541.67,128216.67,132008.33,132291.67,133450.0,135175.0,135900.0,135591.67,123700.0,127933.33,131616.67,131591.67,128582.64
  Civilian Unemployment,13700.0,13033.33,11466.67,9525.0,7900.0,6608.33,6041.67,5091.67,4216.67,4066.67,10458.33,7208.33,4191.67,4708.33,7727.08
Civilian Unemployment Rate,0.1,0.1,0.08,0.07,0.06,0.05,0.04,0.04,0.03,0.03,0.08,0.05,0.03,0.03,0.06
"Total, All Industries",100450.0,101175.0,105408.33,108600.0,112766.67,116583.33,118991.67,121733.33,123091.67,124683.33,114408.33,119250.0,123533.33,124366.67,117000.0
Total Farm,4741.67,4733.33,5133.33,4541.67,4733.33,5041.67,4841.67,5225.0,5158.33,4950.0,4825.0,4950.0,5491.67,5483.33,5265.28
  Total Nonfarm,95708.33,96441.67,100275.0,104058.33,108033.33,111541.67,114150.0,116508.33,117933.33,119733.33,109583.33,114300.0,118041.67,118883.33,111734.72
    Total Private,74841.67,75866.67,79550.0,82558.33,85141.67,87975.0,90275.0,92366.67,93591.67,95275.0,86041.67,91141.67,94641.67,95658.33,89671.53
    Goods Producing,10708.33,11158.33,11908.33,12558.33,13241.67,13741.67,14158.33,14725.0,15608.33,16108.33,15816.67,17000.0,17066.67,17216.67,15031.25
      Mining, Logging and Construction",4858.33,5141.67,5516.67,6050.0,6408.33,6725.0,7158.33,7450.0,7866.67,8266.67,8475.0,9133.33,8916.67,8741.67,7481.25
      Manufacturing,5850.0,6016.67,6391.67,6508.33,6833.33,7016.67,7000.0,7275.0,7741.67,7841.67,7341.67,7866.67,8150.0,8475.0,7550.0
        Durable Goods,2741.67,2941.67,3108.33,3200.0,3341.67,3325.0,3100.0,3083.33,3200.0,3208.33,2925.0,2958.33,2958.33,3150.0,3086.11
        Non-Durable Goods,3108.33,3075.0,3283.33,3308.33,3491.67,3691.67,3900.0,4191.67,4541.67,4633.33,4416.67,4908.33,5191.67,5325.0,4463.89
Service-Providing,85000.0,85283.33,88366.67,91500.0,94791.67,97800.0,99991.67,101783.33,102325.0,103625.0,93766.67,97300.0,100975.0,101666.67,96703.47
    Private Service Providing,64133.33,64708.33,67641.67,70000.0,71900.0,74233.33,76116.67,77641.67,77983.33,79166.67,70225.0,74141.67,77575.0,78441.67,74640.28
      Trade, Transportation, and Utilities",19150.0,19300.0,20041.67,20516.67,20675.0,20950.0,21241.67,21308.33,21133.33,20791.67,19116.67,19716.67,20008.33,19866.67,19881.94
        Wholesale Trade,2566.67,2491.67,2525.0,2616.67,2750.0,2833.33,2850.0,2783.33,2675.0,2700.0,2533.33,2566.67,2558.33,2441.67,2479.17
        Retail Trade,12975.0,13275.0,13658.33,13816.67,13750.0,13900.0,14091.67,14266.67,14316.67,14041.67,12891.67,13450.0,13683.33,13508.33,13447.92
        Transportation, Warehousing, and Utilities",3608.33,3533.33,3858.33,4083.33,4175.0,4216.67,4300.0,4258.33,4141.67,4050.0,3691.67,3700.0,3766.67,3916.67,3954.86
      Information,1183.33,1133.33,1225.0,1366.67,1408.33,1466.67,1325.0,1266.67,1183.33,1208.33,1125.0,1175.0,1275.0,1175.0,1168.06
      Financial Activities,3816.67,3825.0,3850.0,3833.33,3808.33,3866.67,3758.33,3891.67,3858.33,3866.67,3791.67,3916.67,3950.0,3875.0,3869.44
        Finance and Insurance,2333.33,2366.67,2375.0,2283.33,2200.0,2250.0,2216.67,2316.67,2283.33,2200.0,2283.33,2275.0,2141.67,2008.33,2129.86
        Real Estate and Rental and Leasing,1483.33,1458.33,1475.0,1550.0,1608.33,1616.67,1541.67,1575.0,1575.0,1666.67,1508.33,1641.67,1808.33,1866.67,1739.58
      Professional and Business Services,8025.0,8300.0,9083.33,9291.67,9416.67,10108.33,10475.0,10675.0,10850.0,11166.67,10508.33,10958.33,11075.0,11166.67,10343.06
      Private Education and Health Services,14150.0,14183.33,14400.0,15408.33,16183.33,16450.0,16983.33,17441.67,17700.0,18216.67,16966.67,17541.67,18066.67,18616.67,17427.08
      Leisure and Hospitality,14783.33,14925.0,15733.33,16191.67,16825.0,17575.0,18525.0,19075.0,19233.33,19841.67,15375.0,17425.0,19508.33,19950.0,18404.86
        Accommodation and Food Services,13316.67,13491.67,14225.0,14750.0,15358.33,16000.0,16933.33,17458.33,17558.33,18066.67,14216.67,16025.0,17766.67,18041.67,16553.47
          Accommodation,3541.67,3583.33,3675.0,3783.33,3900.0,3966.67,4325.0,4400.0,4350.0,4575.0,3725.0,3966.67,4458.33,4683.33,4298.61
          Food Services and Drinking Places,9775.0,9908.33,10550.0,10966.67,11458.33,12033.33,12608.33,13058.33,13208.33,13491.67,10491.67,12058.33,13308.33,13358.33,12254.86
      Other Services,3025.0,3041.67,3308.33,3391.67,3583.33,3816.67,3808.33,3983.33,4025.0,4075.0,3341.67,3408.33,3691.67,3791.67,3545.83
      Government,20866.67,20575.0,20725.0,21500.0,22891.67,23566.67,23875.0,24141.67,24341.67,24458.33,23541.67,23158.33,23400.0,23225.0,22063.19
        Federal Government,666.67,600.0,600.0,600.0,525.0,500.0,500.0,525.0,500.0,533.33,600.0,600.0,600.0,600.0,599.31
        State & Local Government,20200.0,19975.0,20125.0,20900.0,22366.67,23066.67,23375.0,23616.67,23841.67,23925.0,22941.67,22558.33,22800.0,22625.0,21463.89
          State Government,9583.33,9658.33,9558.33,9491.67,9891.67,10175.0,10333.33,10616.67,10758.33,10808.33,10558.33,10158.33,10366.67,10416.67,10431.94
            State Government Educational Services,3675.0,3850.0,3966.67,4058.33,4416.67,4725.0,4850.0,5091.67,5158.33,5158.33,4891.67,4566.67,4850.0,5041.67,4980.56
            State Government Excluding Education,5908.33,5808.33,5591.67,5433.33,5475.0,5450.0,5483.33,5525.0,5600.0,5650.0,5666.67,5591.67,5516.67,5375.0,5451.39
          Local Government,10616.67,10316.67,10566.67,11408.33,12475.0,12891.67,13041.67,13000.0,13083.33,13116.67,12383.33,12400.0,12433.33,12208.33,11031.94
          Local Government excluding Educational Services,4733.33,4641.67,4616.67,4716.67,4825.0,4891.67,5008.33,5016.67,4983.33,5041.67,4916.67,5058.33,5183.33,5383.33,5094.44
               Special Districts plus Tribes,450.0,400.0,400.0,416.67,491.67,508.33,583.33,533.33,516.67,500.0,500.0,500.0,500.0,525.0,479.86
