TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,891416.67,887333.33,890516.67,893616.67,903641.67,919316.67,930241.67,942041.67,955075,965433.33,972800,990041.67,1002950,1013675,963468.75
  Civilian Employment,767933.33,771116.67,787258.33,805225,830458.33,859750,876383.33,895258.33,915841.67,928058.33,879266.67,916591.67,961200,966508.33,891090.97
  Civilian Unemployment,123483.33,116233.33,103266.67,88391.67,73175,59558.33,53866.67,46800,39250,37375,93525,73458.33,41750,47166.67,72379.17
Civilian Unemployment Rate,0.14,0.13,0.12,0.1,0.08,0.06,0.06,0.05,0.04,0.04,0.1,0.07,0.04,0.05,0.08
"Total, All Industries",616483.33,607541.67,626608.33,648275,675633.33,710050,727066.67,750941.67,772700,800958.33,775358.33,815650,859591.67,860891.67,634908.33
  Total Farm,2600,2450,2425,2416.67,2550,2200,1850,2166.67,2216.67,2450,2275,2275,2508.33,2208.33,2488.33
  Total Nonfarm,613883.33,605091.67,624183.33,645858.33,673083.33,707850,725216.67,748775,770483.33,798508.33,773083.33,813375,857083.33,858683.33,632420
    Goods Producing,72216.67,72141.67,74850,76600,82325,88566.67,90683.33,92058.33,95133.33,95183.33,91158.33,92708.33,97000,96416.67,75626.67
      Mining and Logging,600,641.67,791.67,866.67,991.67,983.33,575,575,766.67,741.67,883.33,1016.67,1041.67,1108.33,778.34
        Construction,24325,24966.67,26783.33,27433.33,30125,32733.33,33841.67,35166.67,37783.33,39041.67,38100,39200,40850,41658.33,26726.67
      Manufacturing,47291.67,46533.33,47275,48300,51208.33,54850,56266.67,56316.67,56583.33,55400,52175,52491.67,55108.33,53650,48121.67
        Durable Goods,28950,28366.67,29116.67,30016.67,31741.67,34541.67,35508.33,34950,34875,34566.67,31850,31291.67,32141.67,31775,29638.34
        Nondurable Goods,18341.67,18166.67,18158.33,18283.33,19466.67,20308.33,20758.33,21366.67,21708.33,20833.33,20325,21200,22966.67,21875,18483.33
    Service Providing,541666.67,532950,549333.33,569258.33,590758.33,619283.33,634533.33,656716.67,675350,703325,681925,720666.67,760083.33,762266.67,556793.33
      Trade Transportation & Utilities,152983.33,153966.67,164491.67,169966.67,178541.67,187091.67,193475,206566.67,215983.33,224816.67,233708.33,255075,266950,259791.67,163990
        Wholesale Trade,29641.67,29425,31550,34025,35850,38275,39075,38725,40541.67,41491.67,41125,41750,42191.67,40950,32098.33
        Retail Trade,76991.67,76900,80958.33,82416.67,83891.67,85525,87366.67,88208.33,88333.33,86983.33,81800,85616.67,88466.67,88250,80231.67
        Transportation Warehousing and Utilities,46350,47641.67,51983.33,53525,58800,63291.67,67033.33,79633.33,87108.33,96341.67,110783.33,127708.33,136291.67,130591.67,51660
      Information,3766.67,4508.33,5325,5250,4950,5041.67,5241.67,5175,5250,5025,4066.67,4400,7500,7691.67,4760
      Financial Activities,21416.67,21291.67,21391.67,21825,22375,23000,23833.33,22383.33,21725,23433.33,23141.67,23741.67,23425,23775,21660
        Finance & Insurance,14091.67,14258.33,14516.67,14591.67,15041.67,15333.33,15558.33,13933.33,12700,13641.67,13408.33,13483.33,12233.33,12491.67,14500
        Real Estate & Rental & Leasing,7325,7033.33,6875,7233.33,7333.33,7666.67,8275,8450,9025,9791.67,9733.33,10258.33,11191.67,11283.33,7160
      Professional and Business Services,73125,73325,73058.33,74375,77800,84816.67,80650,80316.67,80850,85016.67,83875,92141.67,95308.33,88550,74336.67
        Professional Scientific & Technical Services,18866.67,19375,19575,20375,20900,19991.67,20133.33,20591.67,21508.33,23000,22425,24591.67,23658.33,23958.33,19818.33
        Management of Companies & Enterprises,5483.33,5416.67,5233.33,5241.67,5150,5866.67,6191.67,6025,5800,5741.67,5266.67,4941.67,4833.33,5283.33,5305
        Administrative and Support and Waste and Remediatio,48775,48533.33,48250,48758.33,51750,58958.33,54325,53700,53541.67,56275,56183.33,62608.33,66816.67,59308.33,49213.33
      Private Education and Health Services,90191.67,91125,94666.67,102125,105266.67,109908.33,114091.67,119675,124533.33,134975,129083.33,129716.67,135816.67,143558.33,96675
        Private Educational Services,10116.67,10191.67,9925,10625,9816.67,10100,10425,10775,11133.33,11716.67,10391.67,9850,10708.33,11733.33,10135
        Health Care & Social Assistance,80075,80933.33,84741.67,91500,95450,99808.33,103666.67,108900,113400,123258.33,118691.67,119866.67,125108.33,131825,86540
      Leisure and Hospitality,55108.33,55125,57066.67,60891.67,64283.33,68316.67,71516.67,75166.67,76916.67,78066.67,63733.33,71591.67,79750,82291.67,58495
        Arts Entertainment and Recreation,5975,5908.33,6091.67,6775,6866.67,7616.67,7916.67,8041.67,7766.67,7741.67,4950,5991.67,7350,7775,6323.33
        Accommodation & Food Services,49133.33,49216.67,50975,54116.67,57416.67,60700,63600,67125,69150,70325,58783.33,65600,72400,74516.67,52171.67
      Other Services,19925,20333.33,20875,20858.33,21458.33,22275,22841.67,22841.67,23000,22916.67,20316.67,21808.33,23041.67,23800,20690
      Government,125150,113275,112458.33,113966.67,116083.33,118833.33,122883.33,124591.67,127091.67,129075,124000,122191.67,128291.67,132808.33,116186.67
        Federal Government,15125,14233.33,13816.67,13466.67,13400,13400,13383.33,13466.67,13533.33,13841.67,14441.67,13691.67,13400,13616.67,14008.33
          State Government,13375,13058.33,12458.33,12008.33,12225,12425,12700,12891.67,13116.67,13500,13483.33,13383.33,13233.33,13283.33,12625
          Local Government,96650,85983.33,86183.33,88491.67,90458.33,93008.33,96800,98233.33,100441.67,101733.33,96075,95116.67,101658.33,105908.33,89553.33
