TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,1515858.33,1521750,1536916.67,1537650,1537500,1548791.67,1563250,1570775,1579808.33,1580775,1544291.67,1544408.33,1578458.33,1596416.67,1566614.58
  Civilian Employment,1348825,1361866.67,1394283.33,1415633.33,1437400,1467683.33,1489141.67,1507175,1526625,1529391.67,1399333.33,1444341.67,1523258.33,1534433.33,1467692.36
      Civilian Unemployment,167033.33,159883.33,142650,122016.67,100108.33,81116.67,74116.67,63616.67,53175,51383.33,144966.67,100066.67,55208.33,62016.67,98924.3
Civilian Unemployment Rate,0.11,0.11,0.09,0.08,0.07,0.05,0.05,0.04,0.03,0.03,0.09,0.06,0.04,0.04,0.06
"Total, All Industries",1250991.67,1260050,1292575,1325733.33,1354075,1393883.33,1431500,1460941.67,1491425,1512750,1394966.67,1451075,1540766.67,1561525,1455160.42
      Total Farm,10525,9791.67,9800,9750,9383.33,9083.33,8925,8700,9266.67,9691.67,9150,9025,9591.67,9450,9662.5
      Total Nonfarm,1240466.67,1250258.33,1282775,1315983.33,1344691.67,1384800,1422575,1452241.67,1482158.33,1503058.33,1385816.67,1442050,1531175,1552075,1445497.92
    Total Private,1010000,1021300,1054941.67,1086500,1112775,1148650,1180333.33,1205958.33,1234066.67,1254483.33,1148725,1204150,1284591.67,1300766.67,1200434.72
    Goods Producing,151491.67,152133.33,155700,160875,166725,176783.33,184975,189241.67,196358.33,199966.67,195400,198541.67,204866.67,205250,184160.42
      Mining Logging and Construction,55808.33,55616.67,57375,61316.67,64316.67,70225,76583.33,79841.67,84016.67,84308.33,81625,84133.33,87983.33,90150,77836.11
      Mining and Logging,375,375,350,300,391.67,308.33,300,300,366.67,358.33,308.33,325,400,341.67,382.64
      Construction,55433.33,55241.67,57025,61016.67,63925,69916.67,76283.33,79541.67,83650,83950,81316.67,83808.33,87583.33,89808.33,77453.47
        Construction of Buildings,12466.67,12625,12933.33,13841.67,14458.33,15283.33,17066.67,18216.67,19258.33,19066.67,18641.67,19858.33,21333.33,21658.33,18577.08
          Heavy and Civil Engineering Construction,6075,5908.33,5941.67,6116.67,6650,6683.33,6583.33,7033.33,7458.33,7733.33,7958.33,7516.67,7100,7675,7215.97
        Specialty Trade Contractors,36891.67,36708.33,38150,41058.33,42816.67,47950,52633.33,54291.67,56933.33,57150,54716.67,56433.33,59150,60475,51660.42
          Foundation Structure and Building Exterior Co,6400,6516.67,6883.33,7141.67,7591.67,8891.67,9741.67,10366.67,11066.67,10525,10433.33,10466.67,11008.33,11341.67,9594.44
          Building Equipment Contractors,15333.33,15450,16216.67,17416.67,18091.67,20025,22258.33,22441.67,22958.33,23225,22983.33,24258.33,25816.67,26866.67,22567.36
          Building Finishing Contractors,9975,9566.67,10083.33,11116.67,11258.33,12933.33,14266.67,14991.67,16275,16550,14891.67,15308.33,15458.33,15566.67,13383.33
            Other Specialty Trade Contractors,5183.33,5175,4966.67,5383.33,5875,6100,6366.67,6491.67,6633.33,6850,6408.33,6400,6866.67,6700,6115.28
      Manufacturing,95683.33,96516.67,98325,99558.33,102408.33,106558.33,108391.67,109400,112341.67,115658.33,113775,114408.33,116883.33,115100,106324.3
        Durable Goods,73783.33,74283.33,75216.67,75491.67,77300,80283.33,81233.33,81508.33,83716.67,86266.67,85400,83916.67,84608.33,84041.67,78931.25
          Computer and Electronic Product Manufacturing,26350,25775,25508.33,25008.33,25475,26358.33,27300,27991.67,28733.33,29725,30516.67,30433.33,31133.33,31033.33,28251.39
          Transportation Equipment Manufacturing,16233.33,16450,17075,17650,18575,19950,20283.33,20175,20908.33,22100,21366.67,20325,19508.33,19191.67,18015.28
            Aerospace Product and Parts Manufacturing,8225,9000,10008.33,10700,11358.33,11583.33,11566.67,11933.33,12750,13358.33,12891.67,11625,10950,11000,10374.3
            Ship and Boat Building,7000,6483.33,6216.67,6033.33,6275,7400,7733.33,7250,6991.67,7450,7333.33,7475,7241.67,6933.33,6567.36
        Non-Durable Goods,21900,22233.33,23108.33,24066.67,25108.33,26275,27158.33,27891.67,28625,29391.67,28375,30491.67,32275,31058.33,27393.06
     Service-Providing,1088975,1098125,1127075,1155108.33,1177966.67,1208016.67,1237600,1263000,1285800,1303091.67,1190416.67,1243508.33,1326308.33,1346825,1261337.5
    Private Service Providing,858508.33,869166.67,899241.67,925625,946050,971866.67,995358.33,1016716.67,1037708.33,1054516.67,953325,1005608.33,1079725,1095516.67,1016274.31
      Trade Transportation and Utilities,199133.33,202791.67,209925,214225,216158.33,219258.33,220875,224700,225033.33,223966.67,207758.33,216833.33,222441.67,223058.33,216002.78
        Wholesale Trade,41933.33,43275,45383.33,45766.67,44858.33,44058.33,43708.33,43833.33,43775,44033.33,41308.33,42075,43741.67,43216.67,43118.06
          Merchant Wholesalers Durable Goods,23608.33,24275,25550,25508.33,25391.67,24866.67,24416.67,24208.33,23608.33,23883.33,22450,22058.33,23125,23041.67,23694.44
          Merchant Wholesalers Nondurable Goods,14325,14958.33,15808.33,16416.67,16083.33,16183.33,16908.33,16800,17066.67,17000,15950,17025,17525,17166.67,16199.3
        Retail Trade,130683.33,133441.67,137233.33,141258.33,144300,146833.33,147458.33,148916.67,147916.67,145616.67,133191.67,137641.67,138641.67,139016.67,138093.06
          Motor Vehicle and Parts Dealers,15125,15250,15883.33,16316.67,16866.67,17575,18025,18283.33,17791.67,17425,15216.67,15933.33,16083.33,16041.67,15903.47
          Building Material and Garden Equipment and Suppli,8425,8716.67,9266.67,9950,10158.33,10208.33,10466.67,10491.67,10375,9883.33,10916.67,11266.67,10700,10433.33,9959.72
          Food and Beverage Retailers,27341.67,27625,27516.67,28833.33,30141.67,30841.67,31200,31525,31666.67,32100,32216.67,31883.33,31950,32850,31054.86
            Grocery and Convenience Retailers,24133.33,24325,24191.67,25283.33,26358.33,26858.33,27166.67,27458.33,27508.33,27875,28375,27741.67,27516.67,28241.67,26799.31
          General Merchandise Retailers,28641.67,27558.33,27225,26641.67,26625,27691.67,27666.67,27600,27900,27783.33,25941.67,26491.67,26725,26283.33,26699.31
            Department Stores,15675,14300,13191.67,12458.33,12500,12983.33,12550,12158.33,12400,11983.33,9566.67,9866.67,10183.33,10191.67,11510.42
            Warehouse Clubs Supercenters and Other Genera,12966.67,13258.33,14033.33,14183.33,14125,14708.33,15116.67,15441.67,15500,15800,16375,16625,16541.67,16091.67,15188.89
          Health and Personal Care Retailers,8608.33,8583.33,8775,9016.67,9200,9325,9333.33,9608.33,9391.67,9400,8741.67,9116.67,9166.67,9050,8840.28
            Clothing Accessories Shoe and Jewelry,16658.33,17725,18466.67,18591.67,18666.67,18291.67,17983.33,17266.67,17041.67,16216.67,11791.67,13091.67,14100,14675,15884.03
            Clothing and Clothing Accessories Retailers,13408.33,14458.33,14941.67,14883.33,14791.67,14275,13908.33,13191.67,12941.67,12200,8700,9741.67,10558.33,11100,12440.28
            Shoe Retailers,3225,3250,2366.67,2183.33,2366.67,2616.67,2666.67,2608.33,2608.33,2600,2058.33,2208.33,2283.33,2225,2399.31
          Sporting Goods Hobby Musical Instrument Book,15300,15216.67,15816.67,16250,16433.33,16391.67,15566.67,15975,15808.33,15300,13291.67,14166.67,15141.67,15350,15426.39
        Transportation Warehousing and Utilities,26516.67,26075,27308.33,27200,27000,28366.67,29708.33,31950,33341.67,34316.67,33258.33,37116.67,40058.33,40825,34791.67
          Utilities,7283.33,7316.67,7516.67,6858.33,5800,5516.67,5391.67,5150,4916.67,4616.67,4725,5033.33,5516.67,5941.67,6431.25
          Transportation and Warehousing,19233.33,18758.33,19791.67,20341.67,21200,22850,24316.67,26800,28425,29700,28533.33,32083.33,34541.67,34883.33,28360.42
            Warehousing and Storage,1800,1666.67,1525,1566.67,1616.67,1816.67,1950,2083.33,2225,2358.33,2208.33,4683.33,5791.67,5325,3714.58
      Information,25083.33,24166.67,24391.67,24125,24141.67,23425,23233.33,23425,23625,23525,22050,21516.67,22075,21891.67,22359.03
          Publishing Industries,8191.67,8025,7875,7466.67,7100,6816.67,6383.33,6650,6816.67,7408.33,7725,7725,7941.67,7458.33,7338.2
            Newspaper Periodical Book and Directory Publ,3983.33,3800,3766.67,3466.67,3150,2800,2491.67,2283.33,2066.67,2200,2133.33,1950,1708.33,1475,2305.56
            Software Publishers,4208.33,4225,4108.33,4000,3950,4016.67,3891.67,4366.67,4750,5208.33,5591.67,5775,6241.67,5958.33,5032.64
          Broadcasting and Content Providers,3691.67,3583.33,3641.67,3550,3450,3100,3100,3083.33,3058.33,2908.33,2758.33,2691.67,2683.33,2650,2959.72
        Telecommunications,8025,7641.67,7666.67,7725,7733.33,7383.33,7258.33,7008.33,6758.33,6075,5675,5458.33,5333.33,5300,6232.64
      Financial Activities,67175,67416.67,69850,70958.33,69641.67,71383.33,72991.67,74641.67,76025,76541.67,74775,76208.33,76875,72675,70378.47
        Finance and Insurance,41258.33,41750,43700,43925,42125,43533.33,45058.33,46250,46716.67,46383.33,46166.67,46816.67,46066.67,42483.33,41863.19
          Credit Intermediation and Related Activities incl,18650,18950,19691.67,19300,17525,18625,19791.67,20066.67,19633.33,19233.33,19200,19600,18616.67,16100,16776.39
          Financial Investments and Related Activities incl,8100,8191.67,8308.33,8016.67,8141.67,8225,8500,8733.33,9200,9408.33,9541.67,9758.33,10341.67,10341.67,9363.2
          Insurance Carriers and Related Activities,14508.33,14608.33,15700,16608.33,16458.33,16683.33,16766.67,17450,17883.33,17741.67,17425,17458.33,17108.33,16041.67,15723.61
        Real Estate and Rental and Leasing,25916.67,25666.67,26150,27033.33,27516.67,27850,27933.33,28391.67,29308.33,30158.33,28608.33,29391.67,30808.33,30191.67,28515.28
          Real Estate,20908.33,20775,21208.33,21991.67,22191.67,22050,22125,22450,23241.67,23933.33,23766.67,24316.67,24958.33,24150,22964.58
      Professional and Business Services,203300,204908.33,210933.33,218691.67,222550,229475,234708.33,239075,249025,255775,248300,265266.67,282508.33,276000,245806.94
        Professional Scientific and Technical Services,112783.33,113333.33,115016.67,118350,121541.67,125008.33,129050,132433.33,138625,144975,142408.33,151291.67,159691.67,157366.67,138127.08
          Legal Services,12191.67,12250,12333.33,12508.33,12291.67,12441.67,12491.67,12508.33,12933.33,13175,12950,13150,13525,13783.33,13214.58
          Architectural Engineering and Related Service,20091.67,20441.67,20916.67,20700,20033.33,19941.67,20950,21625,22883.33,23850,24266.67,25200,25750,25925,23731.94
            Scientific Research and Development Services,27850,26133.33,26058.33,27175,29258.33,31516.67,32800,34325,34558.33,35633.33,36466.67,40866.67,45108.33,44075,36131.25
        Management of Companies and Enterprises,17058.33,17541.67,19016.67,20850,21750,22058.33,21816.67,22250,23766.67,23833.33,23708.33,23816.67,23116.67,22458.33,20651.39
        Administrative and Support and Waste and Remediatio,73458.33,74033.33,76900,79491.67,79258.33,82408.33,83841.67,84391.67,86633.33,86966.67,82183.33,90158.33,99700,96175,87028.47
          Administrative and Support Services,70475,70916.67,73625,76075,75616.67,78575,80025,80491.67,82700,82966.67,78141.67,86008.33,95300,91616.67,82992.36
            Employment Services,27025,25150,27033.33,27733.33,27666.67,28900,28500,29083.33,30700,30291.67,28433.33,34775,40850,37550,32142.36
            Services to Buildings and Dwellings,19075,19075,19700,20341.67,20650,22150,23000,23458.33,23283.33,23958.33,24033.33,24666.67,25425,25266.67,23470.14
          Waste Management and Remediation Services,2983.33,3116.67,3275,3416.67,3641.67,3833.33,3816.67,3900,3933.33,4000,4041.67,4150,4400,4558.33,4036.11
      Private Education and Health Services,164558.33,167925,174583.33,181083.33,186083.33,192691.67,198733.33,204283.33,208850,216625,210941.67,216650,228275,243216.67,221136.11
        Private Educational Services,25433.33,27125,29066.67,29541.67,29725,29433.33,29741.67,29625,29325,30183.33,27633.33,26241.67,29291.67,29033.33,29515.97
          Private Colleges Universities and Professiona,12491.67,12916.67,14366.67,14483.33,14083.33,13741.67,13800,13675,12775,11908.33,10641.67,8041.67,9541.67,8541.67,10886.81
        Health Care and Social Assistance,139125,140800,145516.67,151541.67,156358.33,163258.33,168991.67,174658.33,179525,186441.67,183308.33,190408.33,198983.33,214183.33,191620.14
            Ambulatory Health Care Services,55908.33,57925,61500,64816.67,67333.33,71958.33,75808.33,77325,78450,81758.33,79333.33,84791.67,89175,94275,81815.28
            Hospitals,22391.67,22391.67,21916.67,20633.33,20441.67,20350,20933.33,21650,22125,22458.33,22766.67,22966.67,22641.67,24075,23631.25
          Nursing and Residential Care Facilities,23308.33,23583.33,23875,24166.67,25416.67,26391.67,27200,28225,28641.67,29008.33,27958.33,27150,26966.67,29175,28020.83
          Social Assistance,37516.67,36900,38225,41925,43166.67,44558.33,45050,47458.33,50308.33,53216.67,53250,55500,60200,66658.33,58152.78
      Leisure and Hospitality,153166.67,154308.33,160400,167233.33,175500,182400,190375,195583.33,199641.67,201666.67,144750,161625,193116.67,201591.67,186517.36
        Arts Entertainment and Recreation,24050,24058.33,24766.67,25866.67,26616.67,27633.33,28858.33,29441.67,30283.33,30183.33,19100,22383.33,28466.67,30475,29146.53
          Amusement Gambling and Recreation Industries,16158.33,16533.33,17458.33,18266.67,19008.33,19941.67,20775,21166.67,21666.67,21050,12283.33,14758.33,18741.67,19841.67,19160.42
        Accommodation and Food Services,129116.67,130250,135633.33,141366.67,148883.33,154766.67,161516.67,166141.67,169358.33,171483.33,125650,139241.67,164650,171116.67,157370.83
          Accommodation,27791.67,26966.67,27175,27183.33,27733.33,28775,30133.33,30883.33,31316.67,32133.33,19766.67,20458.33,27600,29708.33,29079.17
          Food Services and Drinking Places,101325,103283.33,108458.33,114183.33,121150,125991.67,131383.33,135258.33,138041.67,139350,105883.33,118783.33,137050,141408.33,128291.67
