TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,485775,493441.67,508016.67,514233.33,527316.67,541416.67,555333.33,563066.67,568725,579891.67,559033.33,547400,567616.67,563308.33,534856.94
  Civilian Employment,441575,453066.67,473025,485800,503983.33,521566.67,536975,546433.33,555091.67,567008.33,514683.33,519625,552883.33,544916.67,508662.5
      Civilian Unemployment,44191.67,40366.67,34991.67,28433.33,23341.67,19841.67,18341.67,16591.67,13650,12875,44333.33,27766.67,14741.67,18400,26185.42
Civilian Unemployment Rate,0.09,0.08,0.07,0.06,0.04,0.04,0.03,0.03,0.02,0.02,0.08,0.05,0.03,0.03,0.05
"Total, All Industries",543525,557550,586441.67,607458.33,633458.33,675175,703550,719458.33,735141.67,762850,696500,699008.33,754450,743741.67,585686.67
      Total Farm,250,175,133.33,141.67,150,158.33,125,150,183.33,366.67,225,300,266.67,208.33,170
      Total Nonfarm,543275,557375,586308.33,607316.67,633308.33,675016.67,703425,719308.33,734958.33,762483.33,696275,698708.33,754183.33,743533.33,585516.67
    Goods Producing,22983.33,22766.67,24600,25158.33,26991.67,29433.33,32625,34300,36358.33,37875,36558.33,33800,34841.67,35891.67,24500
      Mining Logging and Construction,14291.67,13866.67,15000,15883.33,16908.33,18641.67,20425,21108.33,23191.67,24108.33,23158.33,22058.33,22933.33,23300,15190
      Manufacturing,8691.67,8900,9600,9275,10083.33,10791.67,12200,13191.67,13166.67,13766.67,13400,11741.67,11908.33,12591.67,9310
        Durable Goods,3350,3733.33,3791.67,3875,4500,5275,6708.33,7833.33,7858.33,7833.33,7233.33,7558.33,8316.67,8783.33,3850
        Nondurable Goods,5341.67,5166.67,5808.33,5400,5583.33,5516.67,5491.67,5358.33,5308.33,5933.33,6166.67,4183.33,3591.67,3808.33,5460
    Service Providing,520291.67,534608.33,561708.33,582158.33,606316.67,645583.33,670800,685008.33,698600,724608.33,659716.67,664908.33,719341.67,707641.67,561016.67
      Trade Transportation & Utilities,61666.67,62350,65316.67,68541.67,70666.67,75600,78841.67,81033.33,82575,84283.33,73233.33,70058.33,70591.67,66441.67,65708.34
        Wholesale Trade,10375,11141.67,12016.67,13508.33,14050,14708.33,15625,14766.67,14575,14458.33,11033.33,10900,11583.33,10416.67,12218.33
        Retail Trade,40433.33,40450,42408.33,43458.33,44766.67,47000,46983.33,47516.67,46400,45641.67,39125,36408.33,37275,35258.33,42303.33
        Transportation Warehousing and Utilities,10858.33,10758.33,10891.67,11575,11850,13891.67,16233.33,18750,21600,24183.33,23075,22750,21733.33,20766.67,11186.67
      Information,19475,22733.33,25500,25741.67,28325,35241.67,39008.33,43000,46050,52516.67,54575,58225,67516.67,63883.33,24355
      Financial Activities,48383.33,46991.67,47775,49341.67,50191.67,53625,56141.67,56333.33,59850,62016.67,60291.67,61008.33,61683.33,59233.33,48536.67
        Finance & Insurance,36975,35625,35708.33,36358.33,36933.33,40000,42158.33,41533.33,44450,45658.33,45450,46608.33,46491.67,44508.33,36320
        Real Estate & Rental & Leasing,11408.33,11366.67,12066.67,12983.33,13258.33,13625,13983.33,14800,15400,16358.33,14841.67,14400,15191.67,14725,12216.67
      Professional and Business Services,122058.33,131700,144466.67,156766.67,168758.33,183375,190591.67,194700,195425,203083.33,200925,200558.33,217025,203808.33,144750
        Professional Scientific & Technical Services,73333.33,80933.33,90316.67,98408.33,109025,118558.33,125016.67,128825,135725,144050,145450,147525,161908.33,152691.67,90403.33
        Management of Companies & Enterprises,17791.67,19025,20041.67,21216.67,21866.67,22775,23416.67,23358.33,21791.67,20100,16758.33,14633.33,14875,12691.67,19988.34
        Administrative and Support and Waste and Remediatio,30933.33,31741.67,34108.33,37141.67,37866.67,42041.67,42158.33,42516.67,37908.33,38933.33,38716.67,38400,40241.67,38425,34358.33
      Private Education and Health Services,80366.67,79641.67,81941.67,82825,82966.67,85741.67,87725,89033.33,90325,94091.67,91525,93941.67,96525,99591.67,81548.34
        Private Educational Services,18116.67,18166.67,19125,19666.67,19791.67,20166.67,19883.33,19908.33,19875,21808.33,19783.33,18125,18991.67,19241.67,18973.34
        Health Care & Social Assistance,62250,61475,62816.67,63158.33,63175,65575,67841.67,69125,70450,72283.33,71741.67,75816.67,77533.33,80350,62575
      Leisure and Hospitality,76775,79541.67,84675,86225,90208.33,93858.33,97266.67,96891.67,98516.67,101775,59108.33,56958.33,75616.67,81975,83485
        Arts Entertainment and Recreation,12050,12583.33,13583.33,13191.67,13391.67,13833.33,14875,14375,14491.67,14775,9991.67,9958.33,12541.67,14125,12960
        Accommodation & Food Services,64725,66958.33,71091.67,73033.33,76816.67,80025,82391.67,82516.67,84025,87000,49116.67,47000,63075,67850,70525
      Other Services,21616.67,21850,22866.67,24283.33,25750,26041.67,26883.33,27425,27675,28016.67,21825,22816.67,23858.33,24200,23273.33
      Government,89950,89800,89166.67,88433.33,89450,92100,94341.67,96591.67,98183.33,98825,98233.33,101341.67,106525,108508.33,89360
        Federal Government,15266.67,14533.33,14208.33,13933.33,13850,13900,14000,13883.33,13308.33,13083.33,13375,12883.33,12300,11516.67,14358.33
          State Government,32783.33,33141.67,32575,32283.33,32350,33508.33,34650,35458.33,36391.67,37266.67,37616.67,41816.67,47775,49558.33,32626.67
          Local Government,41900,42125,42383.33,42216.67,43250,44691.67,45691.67,47250,48483.33,48475,47241.67,46641.67,46450,47433.33,42375
