TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,133591.67,134083.33,137008.33,137733.33,139916.67,138925,139475,140241.67,140116.67,139666.67,134158.33,135108.33,135825,136308.33,136327.78
  Civilian Employment,119900,121025,125541.67,128216.67,132008.33,132291.67,133450,135175,135900,135591.67,123700,127933.33,131616.67,131591.67,128582.64
  Civilian Unemployment,13700,13033.33,11466.67,9525,7900,6608.33,6041.67,5091.67,4216.67,4066.67,10458.33,7208.33,4191.67,4708.33,7727.08
Civilian Unemployment Rate,0.1,0.1,0.08,0.07,0.06,0.05,0.04,0.04,0.03,0.03,0.08,0.05,0.03,0.03,0.06
"Total, All Industries",100450,101175,105408.33,108600,112766.67,116583.33,118991.67,121733.33,123091.67,124683.33,114408.33,119250,123533.33,124366.67,117000
Total Farm,4741.67,4733.33,5133.33,4541.67,4733.33,5041.67,4841.67,5225,5158.33,4950,4825,4950,5491.67,5483.33,5265.28
  Total Nonfarm,95708.33,96441.67,100275,104058.33,108033.33,111541.67,114150,116508.33,117933.33,119733.33,109583.33,114300,118041.67,118883.33,111734.72
    Total Private,74841.67,75866.67,79550,82558.33,85141.67,87975,90275,92366.67,93591.67,95275,86041.67,91141.67,94641.67,95658.33,89671.53
    Goods Producing,10708.33,11158.33,11908.33,12558.33,13241.67,13741.67,14158.33,14725,15608.33,16108.33,15816.67,17000,17066.67,17216.67,15031.25
      Mining Logging and Construction,4858.33,5141.67,5516.67,6050,6408.33,6725,7158.33,7450,7866.67,8266.67,8475,9133.33,8916.67,8741.67,7481.25
      Manufacturing,5850,6016.67,6391.67,6508.33,6833.33,7016.67,7000,7275,7741.67,7841.67,7341.67,7866.67,8150,8475,7550
        Durable Goods,2741.67,2941.67,3108.33,3200,3341.67,3325,3100,3083.33,3200,3208.33,2925,2958.33,2958.33,3150,3086.11
