TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,926866.67,937891.67,955975.0,968141.67,987616.67,1012208.33,1027916.67,1037358.33,1042541.67,1048766.67,1023658.33,1010166.67,1031491.67,1038958.33,999432.64
  Civilian Employment,828000.0,849083.33,879450.0,904716.67,936100.0,969950.0,989058.33,1003691.67,1014966.67,1022333.33,950750.0,961608.33,1003700.0,1002558.33,943295.83
  Civilian Unemployment,98866.67,88800.0,76516.67,63441.67,51516.67,42266.67,38875.0,33675.0,27566.67,26425.0,72900.0,48525.0,27791.67,36375.0,56136.81
Civilian Unemployment Rate,0.11,0.09,0.08,0.07,0.05,0.04,0.04,0.03,0.03,0.03,0.07,0.05,0.03,0.04,0.06
"Total, All Industries",860258.33,881091.67,914783.33,950683.33,990983.33,1028858.33,1060625.0,1093675.0,1115191.67,1137916.67,1068558.33,1087350.0,1139900.0,1144325.0,919560.0
  Total Farm,3525.0,3416.67,3316.67,3341.67,3525.0,3683.33,3925.0,3583.33,3516.67,3266.67,3108.33,3033.33,3033.33,2983.33,3425.0
  Total Nonfarm,856733.33,877675.0,911466.67,947341.67,987458.33,1025175.0,1056700.0,1090091.67,1111675.0,1134650.0,1065450.0,1084316.67,1136866.67,1141341.67,916135.0
    Goods Producing,181083.33,184300.0,188025.0,190566.67,195775.0,203300.0,209258.33,211166.67,217225.0,220491.67,214250.0,214675.0,227600.0,228491.67,187950.0
      Mining and Logging,200.0,200.0,233.33,266.67,300.0,225.0,291.67,216.67,200.0,200.0,183.33,191.67,200.0,183.33,240.0
      Construction,31566.67,31050.0,34083.33,36675.0,38783.33,42875.0,47633.33,47883.33,48291.67,51416.67,48591.67,50108.33,52116.67,52066.67,34431.67
      Manufacturing,149316.67,153050.0,153708.33,153625.0,156691.67,160200.0,161333.33,163066.67,168733.33,168875.0,165475.0,164375.0,175283.33,176241.67,153278.33
        Durable Goods,139500.0,143216.67,143550.0,143300.0,146000.0,149050.0,150058.33,151983.33,157650.0,158041.67,155866.67,156658.33,166875.0,167908.33,143113.33
        Nondurable Goods,9816.67,9833.33,10158.33,10325.0,10691.67,11150.0,11275.0,11083.33,11083.33,10833.33,9608.33,7716.67,8408.33,8333.33,10165.0
    Service Providing,675650.0,693375.0,723441.67,756775.0,791683.33,821875.0,847441.67,878925.0,894450.0,914158.33,851200.0,869641.67,909266.67,912850.0,728185.0
      "Trade, Transportation & Utilities",123166.67,125183.33,129041.67,131900.0,134608.33,136050.0,137283.33,131966.67,131666.67,128350.0,116000.0,116691.67,118941.67,118766.67,128780.0
        Wholesale Trade,34616.67,33700.0,34616.67,35991.67,36858.33,36800.0,37408.33,32608.33,31908.33,31041.67,28833.33,27908.33,28533.33,28575.0,35156.67
        Retail Trade,76833.33,79658.33,81900.0,82491.67,83850.0,85133.33,85033.33,84466.67,84425.0,81733.33,71800.0,72375.0,72083.33,72333.33,80946.67
        "Transportation, Warehousing, and Utilities",11716.67,11825.0,12525.0,13416.67,13900.0,14116.67,14841.67,14891.67,15333.33,15575.0,15366.67,16408.33,18325.0,17858.33,12676.67
      Information,46358.33,51183.33,54100.0,58625.0,65558.33,70408.33,74525.0,84558.33,92133.33,100466.67,105758.33,106950.0,105850.0,97783.33,55165.0
      Financial Activities,30758.33,32041.67,32933.33,33283.33,33750.0,34216.67,35166.67,35800.0,36433.33,37566.67,37725.0,38050.0,37775.0,37616.67,32553.33
        Finance & Insurance,18100.0,19175.0,20100.0,20475.0,20600.0,20858.33,21325.0,21441.67,21350.0,21808.33,22725.0,23166.67,22250.0,21866.67,19690.0
        Real Estate & Rental & Leasing,12658.33,12866.67,12833.33,12808.33,13150.0,13358.33,13841.67,14358.33,15083.33,15758.33,15000.0,14883.33,15525.0,15750.0,12863.33
      Professional and Business Services,160216.67,166025.0,177225.0,190058.33,201775.0,215191.67,224083.33,236183.33,235850.0,241925.0,236250.0,241233.33,248875.0,244183.33,179060.0
        "Professional, Scientific & Technical Services",105200.0,109391.67,117200.0,125100.0,132691.67,141575.0,147891.67,154008.33,157658.33,164375.0,163600.0,165350.0,171366.67,168575.0,117916.67
        Management of Companies & Enterprises,8975.0,8966.67,9766.67,10766.67,11691.67,12608.33,12833.33,19175.0,16900.0,15825.0,14983.33,14633.33,13866.67,13791.67,10033.34
        Administrative and Support and Waste and Remediatio,46041.67,47666.67,50258.33,54191.67,57391.67,61008.33,63358.33,63000.0,61291.67,61725.0,57666.67,61250.0,63641.67,61816.67,51110.0
      Private Education and Health Services,125975.0,128625.0,135725.0,142583.33,148683.33,154883.33,160625.0,167416.67,171933.33,177166.67,171191.67,176900.0,185433.33,194408.33,136318.33
        Private Educational Services,35341.67,37175.0,38566.67,39783.33,42266.67,44016.67,45208.33,46841.67,47633.33,47825.0,43500.0,43908.33,46891.67,49100.0,38626.67
        Health Care & Social Assistance,90633.33,91450.0,97158.33,102800.0,106416.67,110866.67,115416.67,120575.0,124300.0,129341.67,127691.67,132991.67,138541.67,145308.33,97691.67
      Leisure and Hospitality,73800.0,76333.33,81341.67,86283.33,90666.67,94500.0,97550.0,101975.0,104241.67,105933.33,71700.0,77350.0,94941.67,99591.67,81685.0
      Other Services,23900.0,24133.33,24350.0,25025.0,26033.33,26533.33,27000.0,28366.67,28416.67,28433.33,21683.33,22358.33,24933.33,25875.0,24688.33
      Government,91475.0,89850.0,88725.0,89016.67,90608.33,90091.67,91208.33,92658.33,93775.0,94316.67,90891.67,90108.33,92516.67,94625.0,89935.0
        Federal Government,10533.33,9950.0,9733.33,9808.33,9800.0,9816.67,9925.0,10066.67,9775.0,9858.33,10533.33,10358.33,10075.0,10008.33,9965.0
          State Government,6208.33,6233.33,6166.67,6083.33,6191.67,6458.33,6458.33,6591.67,6850.0,6733.33,6791.67,6650.0,6833.33,6783.33,6176.67
          Local Government,74733.33,73666.67,72825.0,73125.0,74616.67,73816.67,74825.0,76000.0,77150.0,77725.0,73566.67,73100.0,75608.33,77833.33,73793.33
