TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,926866.67,937891.67,955975,968141.67,987616.67,1012208.33,1027916.67,1037358.33,1042541.67,1048766.67,1023658.33,1010166.67,1031491.67,1038958.33,999432.64
  Civilian Employment,828000,849083.33,879450,904716.67,936100,969950,989058.33,1003691.67,1014966.67,1022333.33,950750,961608.33,1003700,1002558.33,943295.83
  Civilian Unemployment,98866.67,88800,76516.67,63441.67,51516.67,42266.67,38875,33675,27566.67,26425,72900,48525,27791.67,36375,56136.81
Civilian Unemployment Rate,0.11,0.09,0.08,0.07,0.05,0.04,0.04,0.03,0.03,0.03,0.07,0.05,0.03,0.04,0.06
"Total, All Industries",860258.33,881091.67,914783.33,950683.33,990983.33,1028858.33,1060625,1093675,1115191.67,1137916.67,1068558.33,1087350,1139900,1144325,919560
  Total Farm,3525,3416.67,3316.67,3341.67,3525,3683.33,3925,3583.33,3516.67,3266.67,3108.33,3033.33,3033.33,2983.33,3425
  Total Nonfarm,856733.33,877675,911466.67,947341.67,987458.33,1025175,1056700,1090091.67,1111675,1134650,1065450,1084316.67,1136866.67,1141341.67,916135
    Goods Producing,181083.33,184300,188025,190566.67,195775,203300,209258.33,211166.67,217225,220491.67,214250,214675,227600,228491.67,187950
      Mining and Logging,200,200,233.33,266.67,300,225,291.67,216.67,200,200,183.33,191.67,200,183.33,240
        Construction,31566.67,31050,34083.33,36675,38783.33,42875,47633.33,47883.33,48291.67,51416.67,48591.67,50108.33,52116.67,52066.67,34431.67
      Manufacturing,149316.67,153050,153708.33,153625,156691.67,160200,161333.33,163066.67,168733.33,168875,165475,164375,175283.33,176241.67,153278.33
        Durable Goods,139500,143216.67,143550,143300,146000,149050,150058.33,151983.33,157650,158041.67,155866.67,156658.33,166875,167908.33,143113.33
        Nondurable Goods,9816.67,9833.33,10158.33,10325,10691.67,11150,11275,11083.33,11083.33,10833.33,9608.33,7716.67,8408.33,8333.33,10165
    Service Providing,675650,693375,723441.67,756775,791683.33,821875,847441.67,878925,894450,914158.33,851200,869641.67,909266.67,912850,728185
      Trade Transportation & Utilities,123166.67,125183.33,129041.67,131900,134608.33,136050,137283.33,131966.67,131666.67,128350,116000,116691.67,118941.67,118766.67,128780
        Wholesale Trade,34616.67,33700,34616.67,35991.67,36858.33,36800,37408.33,32608.33,31908.33,31041.67,28833.33,27908.33,28533.33,28575,35156.67
        Retail Trade,76833.33,79658.33,81900,82491.67,83850,85133.33,85033.33,84466.67,84425,81733.33,71800,72375,72083.33,72333.33,80946.67
        Transportation Warehousing and Utilities,11716.67,11825,12525,13416.67,13900,14116.67,14841.67,14891.67,15333.33,15575,15366.67,16408.33,18325,17858.33,12676.67
      Information,46358.33,51183.33,54100,58625,65558.33,70408.33,74525,84558.33,92133.33,100466.67,105758.33,106950,105850,97783.33,55165
      Financial Activities,30758.33,32041.67,32933.33,33283.33,33750,34216.67,35166.67,35800,36433.33,37566.67,37725,38050,37775,37616.67,32553.33
        Finance & Insurance,18100,19175,20100,20475,20600,20858.33,21325,21441.67,21350,21808.33,22725,23166.67,22250,21866.67,19690
        Real Estate & Rental & Leasing,12658.33,12866.67,12833.33,12808.33,13150,13358.33,13841.67,14358.33,15083.33,15758.33,15000,14883.33,15525,15750,12863.33
      Professional and Business Services,160216.67,166025,177225,190058.33,201775,215191.67,224083.33,236183.33,235850,241925,236250,241233.33,248875,244183.33,179060
        Professional Scientific & Technical Services,105200,109391.67,117200,125100,132691.67,141575,147891.67,154008.33,157658.33,164375,163600,165350,171366.67,168575,117916.67
        Management of Companies & Enterprises,8975,8966.67,9766.67,10766.67,11691.67,12608.33,12833.33,19175,16900,15825,14983.33,14633.33,13866.67,13791.67,10033.34
        Administrative and Support and Waste and Remediatio,46041.67,47666.67,50258.33,54191.67,57391.67,61008.33,63358.33,63000,61291.67,61725,57666.67,61250,63641.67,61816.67,51110
      Private Education and Health Services,125975,128625,135725,142583.33,148683.33,154883.33,160625,167416.67,171933.33,177166.67,171191.67,176900,185433.33,194408.33,136318.33
        Private Educational Services,35341.67,37175,38566.67,39783.33,42266.67,44016.67,45208.33,46841.67,47633.33,47825,43500,43908.33,46891.67,49100,38626.67
        Health Care & Social Assistance,90633.33,91450,97158.33,102800,106416.67,110866.67,115416.67,120575,124300,129341.67,127691.67,132991.67,138541.67,145308.33,97691.67
      Leisure and Hospitality,73800,76333.33,81341.67,86283.33,90666.67,94500,97550,101975,104241.67,105933.33,71700,77350,94941.67,99591.67,81685
      Other Services,23900,24133.33,24350,25025,26033.33,26533.33,27000,28366.67,28416.67,28433.33,21683.33,22358.33,24933.33,25875,24688.33
      Government,91475,89850,88725,89016.67,90608.33,90091.67,91208.33,92658.33,93775,94316.67,90891.67,90108.33,92516.67,94625,89935
        Federal Government,10533.33,9950,9733.33,9808.33,9800,9816.67,9925,10066.67,9775,9858.33,10533.33,10358.33,10075,10008.33,9965
          State Government,6208.33,6233.33,6166.67,6083.33,6191.67,6458.33,6458.33,6591.67,6850,6733.33,6791.67,6650,6833.33,6783.33,6176.67
          Local Government,74733.33,73666.67,72825,73125,74616.67,73816.67,74825,76000,77150,77725,73566.67,73100,75608.33,77833.33,73793.33
