TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,78683.33,76991.67,75900.0,75041.67,74733.33,74108.33,74216.67,73916.67,73891.67,72850.0,73266.67,72841.67,72475.0,73900.0,75270.83
  Civilian Employment,65175.0,64525.0,64966.67,66058.33,67466.67,68316.67,69016.67,69608.33,70200.0,69341.67,66741.67,67808.33,69083.33,70100.0,68290.97
  Civilian Unemployment,13508.33,12483.33,10933.33,8983.33,7266.67,5783.33,5191.67,4316.67,3716.67,3516.67,6525.0,5033.33,3383.33,3816.67,6989.58
Civilian Unemployment Rate,0.17,0.16,0.14,0.12,0.1,0.08,0.07,0.06,0.05,0.05,0.09,0.07,0.05,0.05,0.09
"Total, All Industries",59166.67,58341.67,58775.0,60441.67,62125.0,63400.0,64825.0,65841.67,66875.0,68166.67,66583.33,67941.67,69600.0,71175.0,66937.5
Total Farm,691.67,775.0,800.0,850.0,933.33,933.33,891.67,908.33,941.67,825.0,825.0,858.33,958.33,975.0,870.83
  Total Nonfarm,58475.0,57566.67,57975.0,59591.67,61191.67,62466.67,63933.33,64933.33,65933.33,67341.67,65758.33,67083.33,68641.67,70200.0,66066.67
    Total Private,45666.67,44950.0,45500.0,47141.67,48550.0,49758.33,51100.0,51858.33,52641.67,53741.67,52550.0,53966.67,55241.67,56133.33,52384.03
    Goods Producing,4983.33,4991.67,4850.0,4975.0,5041.67,5341.67,5625.0,5883.33,6108.33,6475.0,6900.0,7225.0,7308.33,7350.0,6445.14
      Mining, Logging and Construction",2708.33,2791.67,2700.0,2783.33,2775.0,2975.0,3133.33,3300.0,3483.33,3925.0,4358.33,4433.33,4366.67,4408.33,3829.86
      Manufacturing,2275.0,2200.0,2150.0,2191.67,2266.67,2366.67,2491.67,2583.33,2625.0,2550.0,2541.67,2791.67,2941.67,2941.67,2615.28
Service-Providing,53491.67,52575.0,53125.0,54616.67,56150.0,57125.0,58308.33,59050.0,59825.0,60866.67,58858.33,59858.33,61333.33,62850.0,59621.53
    Private Service Providing,40683.33,39958.33,40650.0,42166.67,43508.33,44416.67,45475.0,45975.0,46533.33,47266.67,45650.0,46741.67,47933.33,48783.33,45938.89
      Trade, Transportation, and Utilities",11925.0,11750.0,11766.67,11975.0,12225.0,12641.67,12841.67,12891.67,12808.33,12983.33,13025.0,13441.67,13475.0,13183.33,12503.47
        Wholesale Trade,1516.67,1466.67,1533.33,1575.0,1650.0,1800.0,1808.33,1841.67,1808.33,1966.67,1891.67,1825.0,1691.67,1625.0,1578.47
        Retail Trade,8675.0,8550.0,8533.33,8675.0,8816.67,9075.0,9250.0,9258.33,9108.33,9008.33,9075.0,9475.0,9566.67,9316.67,8912.5
        Transportation, Warehousing, and Utilities",1733.33,1733.33,1700.0,1725.0,1758.33,1766.67,1783.33,1791.67,1891.67,2008.33,2058.33,2141.67,2216.67,2241.67,2012.5
      Information,641.67,616.67,600.0,650.0,700.0,700.0,700.0,650.0,550.0,500.0,500.0,500.0,508.33,500.0,559.03
      Financial Activities,2483.33,2416.67,2416.67,2491.67,2575.0,2558.33,2583.33,2658.33,2708.33,2766.67,2783.33,2833.33,2841.67,2775.0,2665.28
      Professional and Business Services,4291.67,4175.0,4166.67,4408.33,4916.67,5183.33,5575.0,5666.67,6141.67,6116.67,5791.67,5783.33,6066.67,6316.67,5579.86
      Private Education and Health Services,12908.33,12791.67,12883.33,13766.67,14108.33,14391.67,14758.33,14950.0,15075.0,15475.0,15233.33,15141.67,15641.67,16491.67,15479.86
      Leisure and Hospitality,6116.67,5833.33,6291.67,6408.33,6600.0,6675.0,6700.0,6816.67,6791.67,7000.0,6050.0,6716.67,6991.67,6958.33,6629.17
        Accommodation and Food Services,5208.33,4883.33,5416.67,5575.0,5750.0,5758.33,5775.0,5891.67,5858.33,6000.0,5308.33,5858.33,6075.0,6000.0,5602.78
      Other Services,2316.67,2375.0,2525.0,2466.67,2383.33,2266.67,2316.67,2341.67,2458.33,2425.0,2266.67,2325.0,2408.33,2558.33,2522.22
      Government,12808.33,12616.67,12475.0,12450.0,12641.67,12708.33,12833.33,13075.0,13291.67,13600.0,13208.33,13116.67,13400.0,14066.67,13682.64
        Federal Government,1500.0,1383.33,1350.0,1291.67,1291.67,1308.33,1291.67,1291.67,1291.67,1283.33,1333.33,1291.67,1291.67,1350.0,1351.39
        State & Local Government,11308.33,11233.33,11125.0,11158.33,11350.0,11400.0,11541.67,11783.33,12000.0,12316.67,11875.0,11825.0,12108.33,12716.67,12331.25
          State Government,1733.33,1733.33,1708.33,1741.67,1841.67,1908.33,1891.67,1883.33,1958.33,1958.33,1966.67,1966.67,2008.33,2066.67,1963.19
          Local Government,9575.0,9500.0,9416.67,9416.67,9508.33,9491.67,9650.0,9900.0,10041.67,10358.33,9908.33,9858.33,10100.0,10650.0,10368.06
            Local Government Educational Services,5258.33,5250.0,5200.0,5133.33,5075.0,5066.67,5150.0,5416.67,5475.0,5775.0,5408.33,5308.33,5500.0,5933.33,5784.72
          Local Government excluding Educational Services,4316.67,4250.0,4216.67,4283.33,4433.33,4425.0,4500.0,4483.33,4566.67,4583.33,4500.0,4550.0,4600.0,4716.67,4583.33
               Special Districts plus Tribes,1008.33,1008.33,1033.33,1066.67,1183.33,1200.0,1200.0,1200.0,1275.0,1300.0,1266.67,1300.0,1300.0,1400.0,1308.33
