TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,243816.67,242158.33,241650,240266.67,240216.67,240991.67,242750,241966.67,243066.67,242516.67,242008.33,239658.33,240816.67,244925,245500.69
  Civilian Employment,201666.67,201566.67,205108.33,208808.33,213083.33,217966.67,221766.67,223750,227308.33,227700,215475,219666.67,227533.33,229166.67,220136.11
  Civilian Unemployment,42158.33,40616.67,36550,31491.67,27141.67,23008.33,20983.33,18250,15733.33,14816.67,26541.67,19991.67,13275,15766.67,25371.53
Civilian Unemployment Rate,0.17,0.17,0.15,0.13,0.11,0.1,0.09,0.08,0.06,0.06,0.11,0.08,0.06,0.06,0.1
"Total, All Industries",163800,163091.67,166333.33,171125,175775,180983.33,186166.67,189050,193583.33,196291.67,187700,192583.33,199941.67,202191.67,189993.75
  Total Farm,12850,12933.33,13375,14058.33,14116.67,14600,14850,14333.33,14441.67,14875,14458.33,13958.33,13900,12691.67,13136.11
  Total Nonfarm,150950,150158.33,152958.33,157066.67,161658.33,166383.33,171316.67,174716.67,179141.67,181416.67,173241.67,178625,186041.67,189500,176857.64
    Total Private,124708.33,124500,127583.33,131583.33,135558.33,139716.67,143691.67,146400,149616.67,151075,144400,150191.67,156233.33,158333.33,147511.11
    Goods Producing,26566.67,26475,27025,27833.33,28725,29775,30708.33,30766.67,31750,31975,31141.67,32700,34341.67,35066.67,32393.75
      Mining Logging and Construction,5900,5791.67,6291.67,6975,7516.67,8450,8950,9333.33,10175,10466.67,9808.33,10700,11333.33,10775,9256.25
      Manufacturing,20666.67,20683.33,20733.33,20858.33,21208.33,21325,21758.33,21433.33,21575,21508.33,21333.33,22000,23008.33,24291.67,23137.5
            Durable Goods,5850,5783.33,6050,6158.33,6283.33,6258.33,6158.33,5958.33,5783.33,5641.67,5541.67,5808.33,6025,5750,5743.75
        Non-Durable Goods,14816.67,14900,14683.33,14700,14925,15066.67,15600,15475,15791.67,15866.67,15791.67,16191.67,16983.33,18541.67,17393.75
          Food Manufacturing,9958.33,9883.33,9316.67,9058.33,9183.33,9208.33,9391.67,9433.33,9683.33,9633.33,9558.33,9858.33,10441.67,11600,11208.33
    Service-Providing,124383.33,123683.33,125933.33,129233.33,132933.33,136608.33,140608.33,143950,147391.67,149441.67,142100,145925,151700,154433.33,144463.89
    Private Service Providing,98141.67,98025,100558.33,103750,106833.33,109941.67,112983.33,115633.33,117866.67,119100,113258.33,117491.67,121891.67,123266.67,115117.36
      Trade Transportation and Utilities,31600,32183.33,33475,34466.67,34783.33,35758.33,36783.33,36966.67,37441.67,37741.67,36800,37725,38883.33,38983.33,36559.03
        Wholesale Trade,5875,5816.67,5833.33,5891.67,5825,5825,6000,6133.33,6316.67,6225,5916.67,5633.33,5641.67,5400,5536.81
        Retail Trade,19500,19958.33,20816.67,21508.33,21758.33,22400,22741.67,23225,23191.67,22775,21900,22958.33,23133.33,22766.67,21903.47
          Food and Beverage Retailers,4091.67,4083.33,4125,4133.33,4175,4241.67,4333.33,4366.67,4383.33,4383.33,4583.33,4616.67,4691.67,4708.33,4467.36
          General Merchandise Retailers,4433.33,4475,4566.67,4833.33,4825,4983.33,5083.33,5025,5108.33,5016.67,4666.67,4966.67,5058.33,4983.33,4869.44
            Clothing Accessories Shoe and Jewelry,1966.67,2116.67,2258.33,2258.33,2300,2241.67,2216.67,2150,1958.33,1825,1175,1475,1550,1550,1791.67
        Transportation Warehousing and Utilities,6225,6408.33,6825,7066.67,7200,7533.33,8041.67,7608.33,7933.33,8741.67,8983.33,9133.33,10108.33,10816.67,9118.75
      Information,1200,1100,950,900,925,925,975,1000,1000,1000,783.33,791.67,800,766.67,856.25
      Financial Activities,5450,5400,5416.67,5416.67,5275,5166.67,5325,5316.67,5300,5291.67,5066.67,4941.67,4983.33,4858.33,5004.86
      Professional and Business Services,12491.67,12241.67,12808.33,13350,13750,14166.67,14591.67,14891.67,15383.33,15266.67,15091.67,15375,15200,14566.67,14003.47
        Administrative and Support and Waste and Remediatio,6333.33,6266.67,6700,7058.33,7083.33,7216.67,7466.67,7616.67,8075,8100,8116.67,8400,8275,7716.67,7361.8
      Private Education and Health Services,27791.67,27791.67,28150,28850,29916.67,30850,31208.33,32575,33633.33,34675,34583.33,34983.33,35550,37075,34566.67
                  Private Educational Services,1566.67,1675,1791.67,1825,1750,1583.33,1575,1541.67,1500,1400,1150,1233.33,1350,1400,1567.36
        Health Care and Social Assistance,26225,26116.67,26358.33,27025,28166.67,29266.67,29633.33,31033.33,32133.33,33275,33433.33,33750,34200,35675,32999.31
      Leisure and Hospitality,14558.33,14458.33,14900,15766.67,16941.67,17766.67,18666.67,19150,19275,19225,15825,18150,20491.67,20883.33,18393.75
      Other Services,5050,4850,4858.33,5000,5241.67,5308.33,5433.33,5733.33,5833.33,5900,5108.33,5525,5983.33,6133.33,5733.33
      Government,26241.67,25658.33,25375,25483.33,26100,26666.67,27625,28316.67,29525,30341.67,28841.67,28433.33,29808.33,31166.67,29346.53
        Federal Government,1008.33,900,891.67,833.33,800,800,800,800,800,800,850,725,700,658.33,777.78
        Total State and Local Government,25233.33,24758.33,24483.33,24650,25300,25866.67,26825,27516.67,28725,29541.67,27991.67,27708.33,29108.33,30508.33,28568.75
          State Government,1658.33,1775,1791.67,1758.33,1883.33,1941.67,2000,2058.33,2158.33,2125,2083.33,1966.67,2108.33,2166.67,2047.22
            State Government Educational Services,1258.33,1375,1400,1458.33,1583.33,1641.67,1700,1758.33,1858.33,1791.67,1783.33,1666.67,1808.33,1866.67,1722.92
            State Government Excluding Education,400,400,391.67,300,300,300,300,300,300,333.33,300,300,300,300,324.31
          Local Government,23575,22983.33,22691.67,22891.67,23416.67,23925,24825,25458.33,26566.67,27416.67,25908.33,25741.67,27000,28341.67,26521.53
                 Local Government Educational Services,14408.33,14400,14158.33,14283.33,14675,14833.33,15541.67,16200,17241.67,18066.67,17016.67,16908.33,18008.33,19091.67,17327.08
              Local Government excluding Educational Service,9166.67,8583.33,8533.33,8608.33,8741.67,9091.67,9283.33,9258.33,9325,9350,8891.67,8833.33,8991.67,9250,9194.44
            County Government,4883.33,4400,4350,4366.67,4491.67,4758.33,4850,4800,4825,4841.67,4683.33,4641.67,4700,4783.33,4774.31
            City Government,2441.67,2366.67,2375,2408.33,2416.67,2466.67,2533.33,2525,2541.67,2600,2316.67,2341.67,2441.67,2600,2600.69
            Special Districts plus Tribes,1850,1808.33,1808.33,1833.33,1833.33,1866.67,1900,1933.33,1958.33,1908.33,1891.67,1850,1850,1875,1819.44
