TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,203491.67,203383.33,201066.67,200500.0,197900.0,202125.0,203316.67,204458.33,202991.67,202133.33,202458.33,200800.0,206683.33,213308.33,209186.81
  Civilian Employment,167683.33,168033.33,168075.0,171350.0,171625.0,178483.33,180508.33,182966.67,183133.33,182358.33,175250.0,179475.0,189558.33,191975.0,181980.56
  Civilian Unemployment,35800.0,35375.0,32991.67,29141.67,26291.67,23641.67,22791.67,21491.67,19858.33,19775.0,27208.33,21283.33,17125.0,21325.0,27216.67
Civilian Unemployment Rate,0.18,0.17,0.16,0.15,0.13,0.12,0.11,0.11,0.1,0.1,0.13,0.11,0.08,0.1,0.13
"Total, All Industries",146241.67,146116.67,145316.67,149308.33,149900.0,158000.0,161491.67,164816.67,166250.0,167250.0,161283.33,165791.67,175925.0,178875.0,166365.28
  Total Farm,37933.33,37125.0,34491.67,35716.67,35375.0,39833.33,39633.33,39641.67,39983.33,38800.0,36591.67,35666.67,37566.67,37041.67,36545.14
     Total Nonfarm,108308.33,108991.67,110825.0,113591.67,114525.0,118166.67,121858.33,125175.0,126266.67,128450.0,124691.67,130125.0,138358.33,141833.33,129820.14
    Total Private,77266.67,78366.67,80241.67,83641.67,85075.0,87891.67,90533.33,93383.33,94016.67,95741.67,92841.67,98358.33,105116.67,107541.67,97082.64
    Goods Producing,14983.33,15091.67,15366.67,15758.33,16525.0,17191.67,18150.0,18466.67,19016.67,19258.33,19275.0,19950.0,21391.67,21283.33,18885.42
      Mining, Logging, and Construction",3933.33,3908.33,4033.33,4175.0,4525.0,4933.33,5333.33,5650.0,6066.67,6383.33,6616.67,7000.0,7583.33,7450.0,6064.58
      Manufacturing,11050.0,11183.33,11333.33,11583.33,12000.0,12258.33,12816.67,12816.67,12950.0,12875.0,12658.33,12950.0,13808.33,13833.33,12820.83
        Durable Goods,2375.0,2441.67,2516.67,2550.0,2741.67,2916.67,3025.0,3083.33,3250.0,3241.67,3066.67,3083.33,3333.33,3100.0,2802.08
        Non-Durable Goods,8675.0,8741.67,8816.67,9033.33,9258.33,9341.67,9791.67,9733.33,9700.0,9633.33,9591.67,9866.67,10475.0,10733.33,10018.75
          Food Manufacturing,6383.33,6275.0,6291.67,6383.33,6458.33,6575.0,7041.67,6875.0,6741.67,6583.33,6491.67,6891.67,7400.0,7683.33,7199.3
     Service-Providing,93325.0,93900.0,95458.33,97833.33,98000.0,100975.0,103708.33,106708.33,107250.0,109191.67,105416.67,110175.0,116966.67,120550.0,110934.72
    Private Service Providing,62283.33,63275.0,64875.0,67883.33,68550.0,70700.0,72383.33,74916.67,75000.0,76483.33,73566.67,78408.33,83725.0,86258.33,78197.22
      "Trade, Transportation, and Utilities",23558.33,24000.0,25041.67,25966.67,26050.0,26725.0,27150.0,27641.67,27991.67,27716.67,27066.67,29425.0,30833.33,30875.0,28059.72
        Wholesale Trade,3816.67,3541.67,3650.0,3858.33,3833.33,3925.0,4133.33,4175.0,4333.33,4383.33,4316.67,4366.67,4416.67,4375.0,4125.0
        Retail Trade,14583.33,14891.67,15266.67,15683.33,15775.0,15933.33,16166.67,16208.33,16291.67,16175.0,15566.67,16608.33,16916.67,16825.0,15891.67
        "Transportation, Warehousing, and Utilities",5158.33,5566.67,6125.0,6425.0,6441.67,6866.67,6850.0,7258.33,7366.67,7158.33,7183.33,8450.0,9500.0,9675.0,8043.06
      Information,958.33,850.0,733.33,750.0,758.33,725.0,725.0,700.0,700.0,700.0,550.0,583.33,616.67,600.0,687.5
      Financial Activities,3800.0,3783.33,3808.33,3833.33,3883.33,4041.67,4116.67,4066.67,4058.33,4033.33,3791.67,3741.67,3683.33,3583.33,3675.69
        Finance and Insurance,2691.67,2700.0,2741.67,2716.67,2700.0,2683.33,2791.67,2808.33,2750.0,2700.0,2575.0,2366.67,2208.33,2075.0,2295.83
      Professional and Business Services,9508.33,10233.33,10575.0,10916.67,10250.0,10875.0,11050.0,12008.33,10958.33,11358.33,10958.33,10725.0,11225.0,11216.67,10815.28
      Private Education and Health Services,12500.0,12416.67,12133.33,13300.0,13691.67,13825.0,14408.33,15491.67,16066.67,17075.0,17283.33,18258.33,19758.33,21925.0,18978.47
      Leisure and Hospitality,8925.0,8908.33,9466.67,9950.0,10591.67,11133.33,11458.33,11533.33,11758.33,12100.0,10716.67,12200.0,13808.33,14166.67,12403.47
        "Arts, Entertainment, and Recreation",833.33,808.33,833.33,741.67,741.67,791.67,866.67,916.67,1033.33,1050.0,608.33,800.0,1000.0,1058.33,1004.86
        Accommodation and Food Services,8091.67,8100.0,8633.33,9208.33,9850.0,10341.67,10591.67,10616.67,10725.0,11050.0,10108.33,11400.0,12808.33,13108.33,11398.61
          Accommodation,600.0,633.33,650.0,641.67,708.33,733.33,833.33,850.0,933.33,900.0,733.33,816.67,891.67,958.33,852.78
          Food Services and Drinking Places,7491.67,7466.67,7983.33,8566.67,9141.67,9608.33,9758.33,9766.67,9791.67,10150.0,9375.0,10583.33,11916.67,12150.0,10545.83
      Other Services,3033.33,3083.33,3116.67,3166.67,3325.0,3375.0,3475.0,3475.0,3466.67,3500.0,3200.0,3475.0,3800.0,3891.67,3577.08
      Government,31041.67,30625.0,30583.33,29950.0,29450.0,30275.0,31325.0,31791.67,32250.0,32708.33,31850.0,31766.67,33241.67,34291.67,32737.5
        Federal Government,1491.67,1233.33,1225.0,1116.67,1025.0,1041.67,1033.33,1033.33,1050.0,1058.33,1066.67,991.67,1008.33,1033.33,1082.64
        Total State and Local Government,29550.0,29391.67,29358.33,28833.33,28425.0,29233.33,30291.67,30758.33,31200.0,31650.0,30783.33,30775.0,32233.33,33258.33,31654.86
          State Government,2091.67,1966.67,1808.33,1683.33,1650.0,1700.0,1783.33,1800.0,1708.33,1666.67,1583.33,1641.67,1616.67,1633.33,1741.67
          Local Government,27458.33,27425.0,27550.0,27150.0,26775.0,27533.33,28508.33,28958.33,29491.67,29983.33,29200.0,29133.33,30616.67,31625.0,29913.19
