TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,430225,430908.33,433675,432350,429175,427233.33,425333.33,423675,423091.67,421541.67,410066.67,406566.67,411108.33,412933.33,421119.44
  Civilian Employment,382450,385958.33,393575,397866.67,400325,402975,403083.33,404475,406883.33,406183.33,374275,381391.67,395775,395283.33,393589.58
      Civilian Unemployment,47783.33,44950,40100,34466.67,28866.67,24258.33,22266.67,19225,16200,15350,35800,25191.67,15366.67,17650,27538.89
Civilian Unemployment Rate,0.11,0.1,0.09,0.08,0.07,0.06,0.05,0.05,0.04,0.04,0.09,0.06,0.04,0.04,0.06
"Total, All Industries",300533.33,303250,309958.33,316666.67,319825,322275,325175,328675,332825,336775,315308.33,323075,336250,338083.33,328752.78
      Total Farm,24433.33,25241.67,27091.67,27441.67,26458.33,26333.33,25225,23808.33,24308.33,24683.33,24983.33,23525,24658.33,24125,25630.56
      Total Nonfarm,276100,278008.33,282866.67,289225,293366.67,295941.67,299950,304866.67,308516.67,312091.67,290325,299550,311591.67,313958.33,303122.22
    Total Private,231891.67,233608.33,239241.67,245608.33,249366.67,250541.67,253366.67,257958.33,261650,264966.67,245591.67,255075,265450,266858.33,256801.39
    Goods Producing,38100,37291.67,37241.67,38025,40000,41050,41208.33,42208.33,43891.67,44616.67,43483.33,44500,45991.67,45791.67,42388.2
      Mining Logging and Construction,12508.33,12566.67,13050,13816.67,15008.33,15175,15516.67,16600,17683.33,18033.33,17683.33,18033.33,18741.67,19025,16579.17
      Mining and Logging,1200,1266.67,1266.67,1216.67,1300,1025,900,900,858.33,941.67,925,891.67,975,1000,1104.17
      Construction,11308.33,11300,11783.33,12600,13708.33,14150,14616.67,15700,16825,17091.67,16758.33,17141.67,17766.67,18025,15475
        Specialty Trade Contractors,7875,7866.67,8025,8508.33,9075,9533.33,10008.33,10766.67,11341.67,11033.33,10925,11241.67,11658.33,11891.67,10320.83
      Manufacturing,25591.67,24725,24191.67,24208.33,24991.67,25875,25691.67,25608.33,26208.33,26583.33,25800,26466.67,27250,26766.67,25809.03
        Durable Goods,19533.33,18816.67,18233.33,18183.33,18658.33,18841.67,18625,18616.67,19475,19416.67,18441.67,18316.67,18908.33,19075,18852.08
          Computer and Electronic Product Manufacturing,7008.33,6150,5391.67,5216.67,5375,5558.33,5475,5325,5450,5416.67,5308.33,5100,5000,4866.67,5228.47
        Non-Durable Goods,6058.33,5908.33,5958.33,6025,6333.33,7033.33,7066.67,6991.67,6733.33,7166.67,7358.33,8150,8341.67,7691.67,6956.94
          Chemical Manufacturing,1783.33,1750,1875,1941.67,2016.67,2583.33,2566.67,2541.67,2333.33,2708.33,2983.33,3325,3191.67,2725,2297.22
Service-Providing,238000,240716.67,245625,251200,253366.67,254891.67,258741.67,262658.33,264625,267475,246841.67,255050,265600,268166.67,260734.03
