TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,102266.67,101625.0,102391.67,101475.0,102025.0,104158.33,106083.33,106558.33,107533.33,107983.33,104825.0,106450.0,107825.0,109758.33,107140.28
  Civilian Employment,89608.33,89458.33,91333.33,92225.0,94266.67,97383.33,99800.0,101091.67,102925.0,103483.33,96691.67,100108.33,103366.67,104608.33,99190.97
  Civilian Unemployment,12658.33,12166.67,11075.0,9266.67,7775.0,6758.33,6266.67,5483.33,4633.33,4491.67,8133.33,6316.67,4450.0,5150.0,7953.47
Civilian Unemployment Rate,0.12,0.12,0.11,0.09,0.08,0.06,0.06,0.05,0.04,0.04,0.08,0.06,0.04,0.05,0.08
"Total, All Industries",95975.0,95416.67,96858.33,98883.33,101666.67,104675.0,107933.33,109041.67,111516.67,114658.33,108066.67,113375.0,115208.33,116250.0,97760.0
  Total Farm,4850.0,5091.67,5300.0,5350.0,5716.67,5833.33,6391.67,5908.33,5800.0,5600.0,5258.33,5308.33,4941.67,4983.33,5261.67
  Total Nonfarm,91125.0,90325.0,91558.33,93533.33,95950.0,98841.67,101541.67,103133.33,105716.67,109058.33,102808.33,108066.67,110266.67,111266.67,92498.33
    Goods Producing,8875.0,8150.0,8208.33,8675.0,9283.33,10050.0,9533.33,9991.67,10583.33,11308.33,11216.67,12083.33,13100.0,12416.67,8638.33
      Mining and Logging,175.0,200.0,108.33,158.33,166.67,125.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,161.67
      Construction,3491.67,3250.0,3075.0,3016.67,2950.0,3450.0,3600.0,3633.33,3808.33,4383.33,4616.67,5141.67,5516.67,5333.33,3156.67
      Manufacturing,5208.33,4700.0,5025.0,5500.0,6166.67,6475.0,5833.33,6258.33,6675.0,6825.0,6500.0,6841.67,7483.33,6983.33,5320.0
        Durable Goods,2466.67,2433.33,2633.33,2991.67,3641.67,3791.67,3450.0,3575.0,4000.0,3916.67,3250.0,3183.33,3483.33,3150.0,2833.33
        Nondurable Goods,2741.67,2266.67,2391.67,2508.33,2525.0,2683.33,2383.33,2683.33,2675.0,2908.33,3250.0,3658.33,4000.0,3833.33,2486.67
    Service Providing,82250.0,82175.0,83350.0,84858.33,86666.67,88791.67,92008.33,93141.67,95133.33,97750.0,91591.67,95983.33,97166.67,98850.0,83860.0
