TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,312116.67,311166.67,311383.33,312150.0,311550.0,314383.33,318300.0,322941.67,324141.67,326591.67,334758.33,336150.0,342158.33,346766.67,334147.22
  Civilian Employment,259333.33,259975.0,266000.0,273275.0,278341.67,286266.67,292366.67,300200.0,304325.0,307133.33,296358.33,307258.33,323908.33,325125.0,301685.42
  Civilian Unemployment,52766.67,51208.33,45400.0,38883.33,33200.0,28116.67,25941.67,22741.67,19808.33,19458.33,38425.0,28875.0,18258.33,21641.67,32454.86
Civilian Unemployment Rate,0.17,0.16,0.15,0.12,0.11,0.09,0.08,0.07,0.06,0.06,0.11,0.09,0.05,0.06,0.1
Total Wage and Salary,208308.33,207816.67,212925.0,221383.33,226808.33,234908.33,242125.0,251225.0,257016.67,262400.0,257691.67,269750.0,286275.0,288941.67,261411.81
Total Farm,15825.0,15616.67,15783.33,16166.67,15741.67,16700.0,16675.0,16358.33,15641.67,15433.33,14591.67,14158.33,13758.33,14058.33,15177.78
  Total Nonfarm,192483.33,192200.0,197141.67,205216.67,211066.67,218208.33,225450.0,234866.67,241375.0,246966.67,243100.0,255591.67,272516.67,274883.33,246234.03
    Total Private,154308.33,155675.0,161050.0,168158.33,172491.67,178625.0,184633.33,192441.67,197850.0,202058.33,200100.0,213558.33,229925.0,231525.0,203631.94
    Goods Producing,25850.0,25975.0,26133.33,27391.67,28108.33,29666.67,30983.33,32100.0,33441.67,33650.0,33200.0,35300.0,37833.33,37416.67,32829.86
"      Mining, Logging and Construction",7708.33,7475.0,7700.0,8883.33,9008.33,10216.67,11183.33,11783.33,12891.67,13175.0,13083.33,14008.33,14858.33,13875.0,11456.25
      Mining and Logging,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.67,0.0,0.0,41.67
      Construction,7608.33,7375.0,7600.0,8783.33,8908.33,10116.67,11083.33,11683.33,12791.67,13075.0,12983.33,13916.67,14858.33,13875.0,11414.58
        Specialty Trade Contractors,5116.67,4825.0,4991.67,5683.33,6283.33,7100.0,7825.0,8183.33,8891.67,8975.0,8983.33,9900.0,10650.0,9683.33,7766.67
      Manufacturing,18141.67,18500.0,18433.33,18508.33,19100.0,19450.0,19800.0,20316.67,20550.0,20475.0,20116.67,21291.67,22975.0,23541.67,21373.61
        Durable Goods,7341.67,7283.33,7225.0,7491.67,7766.67,7966.67,8441.67,9066.67,9308.33,9316.67,9075.0,9883.33,11216.67,11566.67,9684.03
        Non-Durable Goods,10800.0,11216.67,11208.33,11016.67,11333.33,11483.33,11358.33,11250.0,11241.67,11158.33,11041.67,11408.33,11758.33,11975.0,11689.58
          Food Manufacturing,6641.67,6791.67,6658.33,6641.67,6525.0,6441.67,6200.0,6025.0,5975.0,5733.33,5550.0,5608.33,5775.0,6008.33,6429.86
Service-Providing,166633.33,166225.0,171008.33,177825.0,182958.33,188541.67,194466.67,202766.67,207933.33,213316.67,209900.0,220291.67,234683.33,237466.67,213404.17
    Private Service Providing,128458.33,129700.0,134916.67,140766.67,144383.33,148958.33,153650.0,160341.67,164408.33,168408.33,166900.0,178258.33,192091.67,194108.33,170802.08
"      Trade, Transportation, and Utilities",47133.33,48675.0,51241.67,53408.33,54666.67,56983.33,60275.0,64183.33,66816.67,69183.33,74008.33,80016.67,86716.67,86308.33,70885.42
        Wholesale Trade,9575.0,9833.33,10308.33,10575.0,10658.33,10666.67,10808.33,11225.0,11750.0,11708.33,10625.0,10791.67,11550.0,12316.67,11429.17
        Retail Trade,23741.67,24150.0,24916.67,25625.0,25708.33,25991.67,26466.67,26758.33,26675.0,26191.67,24608.33,26241.67,27025.0,27158.33,26045.14
          General Merchandise Retailers,5425.0,5591.67,5975.0,6208.33,6300.0,6491.67,6691.67,6833.33,6908.33,6791.67,6191.67,6666.67,6958.33,6933.33,6350.0
            Department Stores,2450.0,2241.67,1991.67,1941.67,1966.67,1933.33,1900.0,1841.67,1866.67,1816.67,1325.0,1500.0,1466.67,1441.67,1640.97
"          Clothing, Clothing Accessories, Shoe, and Jewelry",2291.67,2291.67,2316.67,2225.0,2166.67,2058.33,2066.67,2066.67,1991.67,1841.67,1233.33,1783.33,1791.67,1850.0,1999.31
"        Transportation, Warehousing, and Utilities",13816.67,14691.67,16016.67,17208.33,18300.0,20325.0,23000.0,26200.0,28391.67,31283.33,38775.0,42983.33,48141.67,46833.33,33411.11
           Transportation and Warehousing,12691.67,13758.33,14958.33,16041.67,17100.0,19075.0,21725.0,24916.67,27041.67,29916.67,37325.0,41458.33,46525.0,45100.0,31754.17
            Truck Transportation,5233.33,5783.33,6033.33,6341.67,6750.0,7041.67,6950.0,6708.33,6683.33,6750.0,7441.67,7583.33,8400.0,8658.33,7486.8
          Warehousing and Storage,6091.67,6766.67,7158.33,7383.33,7666.67,9358.33,11741.67,14050.0,15583.33,18016.67,23800.0,27025.0,30258.33,28483.33,18755.56
      Information,2116.67,2108.33,2133.33,2108.33,2091.67,1941.67,1950.0,1833.33,1750.0,1633.33,1225.0,1200.0,1191.67,1083.33,1454.86
      Financial Activities,7716.67,7458.33,7500.0,7625.0,7466.67,7350.0,7508.33,7800.0,7816.67,7933.33,7841.67,7966.67,8150.0,7958.33,7755.56
        Finance and Insurance,5133.33,4916.67,4900.0,5000.0,4941.67,4825.0,4825.0,4933.33,4783.33,4725.0,4633.33,4666.67,4608.33,4241.67,4499.31
          Credit Intermediation and Related Activities incl,2475.0,2300.0,2191.67,2108.33,2050.0,2000.0,2041.67,2083.33,2025.0,2016.67,1941.67,1850.0,1800.0,1591.67,1802.08
      Professional and Business Services,15408.33,15166.67,16608.33,17391.67,18316.67,19416.67,19616.67,19183.33,19616.67,20191.67,21333.33,22508.33,24066.67,23741.67,20724.31
        Administrative and Support and Waste and Remediatio,9583.33,9025.0,10333.33,10975.0,11675.0,12633.33,12691.67,12500.0,12858.33,13116.67,14283.33,15250.0,16133.33,15441.67,13307.64
      Private Education and Health Services,33508.33,33708.33,33966.67,35483.33,35925.0,36475.0,36383.33,38191.67,38750.0,39091.67,37250.0,37991.67,39766.67,42216.67,40482.64
        Private Educational Services,4941.67,5400.0,5291.67,5366.67,5091.67,4650.0,4716.67,4866.67,4716.67,4600.0,4208.33,4108.33,4341.67,4583.33,4957.64
        Health Care and Social Assistance,28566.67,28308.33,28675.0,30116.67,30833.33,31825.0,31666.67,33325.0,34033.33,34491.67,33041.67,33883.33,35425.0,37633.33,35525.0
      Leisure and Hospitality,16033.33,16250.0,16933.33,18141.67,19016.67,19616.67,20400.0,21525.0,22041.67,22625.0,18491.67,21291.67,24291.67,24591.67,21914.58
"Arts, Entertainment, and Recreation",1800.0,1791.67,1883.33,2150.0,2375.0,2383.33,2475.0,2491.67,2516.67,2550.0,1483.33,1816.67,2358.33,2541.67,2433.33
        Accommodation and Food Services,14233.33,14458.33,15050.0,15991.67,16641.67,17233.33,17925.0,19033.33,19525.0,20075.0,17008.33,19475.0,21933.33,22050.0,19481.25
          Food Services and Drinking Places,13350.0,13475.0,13991.67,14975.0,15550.0,16041.67,16700.0,17783.33,18233.33,18741.67,15950.0,18333.33,20091.67,20091.67,17836.81
      Other Services,6541.67,6333.33,6533.33,6608.33,6900.0,7175.0,7516.67,7625.0,7616.67,7750.0,6750.0,7283.33,7908.33,8208.33,7584.72
      Government,38175.0,36525.0,36091.67,37058.33,38575.0,39583.33,40816.67,42425.0,43525.0,44908.33,43000.0,42033.33,42591.67,43358.33,42602.08
        Federal Government,4333.33,4008.33,3908.33,3491.67,3133.33,3008.33,3041.67,3091.67,3091.67,3183.33,3275.0,3116.67,3066.67,2983.33,3322.92
          Federal Government excluding Department of Defense,2433.33,2200.0,2150.0,1875.0,1650.0,1608.33,1625.0,1700.0,1683.33,1683.33,1875.0,1758.33,1766.67,1725.0,1909.03
          Department of Defense,1900.0,1808.33,1758.33,1616.67,1483.33,1400.0,1416.67,1391.67,1408.33,1500.0,1400.0,1358.33,1300.0,1258.33,1413.89
        Total State and Local Government,33841.67,32516.67,32183.33,33566.67,35441.67,36575.0,37775.0,39333.33,40433.33,41725.0,39725.0,38916.67,39525.0,40375.0,39279.17
          State Government,3908.33,3816.67,3633.33,4308.33,5808.33,6158.33,6391.67,6558.33,6700.0,6800.0,6750.0,5983.33,5483.33,5133.33,4764.58
          Local Government,29933.33,28700.0,28550.0,29258.33,29633.33,30416.67,31383.33,32775.0,33733.33,34925.0,32975.0,32933.33,34041.67,35241.67,34514.58
            Local Government Educational Services,17933.33,17641.67,17491.67,17933.33,17941.67,18291.67,19191.67,20216.67,21116.67,21858.33,20208.33,20183.33,21075.0,22258.33,21761.81
Local Government excluding Education,12000.0,11058.33,11058.33,11325.0,11691.67,12125.0,12191.67,12558.33,12616.67,13066.67,12766.67,12750.0,12966.67,12983.33,12752.78
               County Government,7558.33,6891.67,6975.0,7216.67,7475.0,7641.67,7508.33,7750.0,7675.0,7858.33,7866.67,7783.33,7816.67,7625.0,7743.06
               City Government,3400.0,3183.33,3083.33,3108.33,3166.67,3200.0,3291.67,3425.0,3566.67,3791.67,3450.0,3508.33,3566.67,3658.33,3520.14
            Special Districts plus Tribes,1066.67,1000.0,1000.0,1000.0,1050.0,1283.33,1391.67,1383.33,1375.0,1416.67,1450.0,1458.33,1583.33,1700.0,1493.06
