TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,19672.5,19426.67,18853.33,18240.0,17977.5,17882.5,17896.67,17785.83,17362.5,17164.17,16968.33,16666.67,16532.5,16717.5,17520.0
  Civilian Employment,16282.5,16070.83,15865.83,15812.5,15960.0,16200.0,16370.83,16485.83,16190.83,16040.0,15270.83,15316.67,15571.67,15650.0,15630.14
  Civilian Unemployment,3390.83,3355.0,2990.0,2429.17,2015.83,1685.83,1526.67,1300.83,1171.67,1125.0,1698.33,1351.67,958.33,1068.33,1891.74
Civilian Unemployment Rate,0.17,0.17,0.16,0.13,0.11,0.09,0.09,0.07,0.07,0.07,0.1,0.08,0.06,0.06,0.1
"Total, All Industries",13377.5,13189.17,13035.0,13145.83,13371.67,13682.5,14017.5,14252.5,14038.33,14093.33,13648.33,13736.67,14046.67,14244.17,13717.43
  Total Farm,700.0,714.17,755.83,740.0,775.83,821.67,858.33,922.5,879.17,824.17,1005.83,1000.0,995.0,1088.33,854.65
  Total Nonfarm,12677.5,12475.0,12279.17,12405.83,12595.83,12860.83,13159.17,13330.0,13159.17,13269.17,12642.5,12736.67,13051.67,13155.83,12862.78
    Total Private,8363.33,8057.5,7994.17,8280.0,8416.67,8589.17,8865.0,9080.83,8990.0,9078.33,8612.5,8910.0,9196.67,9200.83,8790.97
    Goods Producing,1196.67,1135.83,1096.67,1133.33,1157.5,1202.5,1222.5,1394.17,1489.17,1496.67,1496.67,1580.83,1599.17,1471.67,1315.83
"     Mining, Logging and Construction",457.5,447.5,461.67,511.67,502.5,508.33,495.83,531.67,599.17,605.83,624.17,694.17,746.67,715.83,607.57
      Mining and Logging,123.33,125.0,148.33,189.17,189.17,175.0,135.0,138.33,164.17,146.67,156.67,172.5,177.5,158.33,145.42
      Construction,334.17,322.5,313.33,322.5,313.33,333.33,360.83,393.33,435.0,459.17,467.5,521.67,569.17,557.5,462.15
      Manufacturing,739.17,688.33,635.0,621.67,655.0,694.17,730.0,862.5,889.17,890.83,872.5,890.0,851.67,757.5,707.43
        Durable Goods,590.0,550.0,506.67,490.83,533.33,548.33,599.17,722.5,747.5,743.33,703.33,704.17,657.5,573.33,543.4
       Non-Durable Goods,149.17,138.33,128.33,130.83,121.67,145.83,133.33,138.33,142.5,149.17,169.17,185.0,196.67,183.33,164.86
    Service-Providing,11480.83,11339.17,11182.5,11272.5,11438.33,11658.33,11935.0,11935.83,11672.5,11772.5,11147.5,11155.83,11453.33,11685.0,11547.78
    Private Service Providing,7166.67,6921.67,6897.5,7146.67,7259.17,7386.67,7641.67,7687.5,7499.17,7581.67,7116.67,7331.67,7597.5,7729.17,7475.97
"      Trade, Transportation & Utilities",2005.0,1957.5,2005.0,2053.33,2107.5,2142.5,2133.33,2090.83,2085.83,2117.5,2121.67,2185.0,2174.17,2142.5,2099.86
        Wholesale Trade,287.5,230.83,245.83,249.17,277.5,243.33,210.0,200.83,210.0,226.67,214.17,188.33,200.83,195.83,210.07
        Retail Trade,1517.5,1495.83,1523.33,1510.83,1523.33,1576.67,1601.67,1590.83,1606.67,1626.67,1644.17,1713.33,1674.17,1613.33,1579.24
"        Transportation, Warehousing, and Utilities",200.0,230.83,235.83,293.33,306.67,322.5,320.83,300.0,268.33,265.83,265.0,285.0,305.0,334.17,312.22
      Information,183.33,176.67,153.33,139.17,140.83,138.33,138.33,135.83,130.0,130.83,122.5,121.67,120.0,116.67,130.28
      Financial Activities,374.17,364.17,345.0,318.33,307.5,289.17,284.17,282.5,294.17,303.33,300.0,284.17,293.33,276.67,299.93
      Professional and Business Services,700.83,715.83,732.5,687.5,740.83,795.0,794.17,773.33,714.17,692.5,640.83,590.0,575.83,565.83,613.12
      Private Education and Health Services,2001.67,1935.83,1820.83,2020.83,1992.5,2042.5,2101.67,2210.83,2215.83,2227.5,2143.33,2167.5,2278.33,2371.67,2234.31
      Leisure and Hospitality,1625.83,1478.33,1521.67,1560.0,1593.33,1570.0,1751.67,1751.67,1656.67,1710.0,1409.17,1576.67,1695.0,1742.5,1656.6
      Other Services,275.83,293.33,319.17,367.5,376.67,409.17,441.67,444.17,406.67,401.67,378.33,409.17,461.67,519.17,439.38
      Government,4314.17,4417.5,4285.0,4125.83,4179.17,4271.67,4295.0,4247.5,4171.67,4191.67,4030.0,3826.67,3855.0,3955.83,4072.64
        Federal Government,830.83,795.83,776.67,745.0,740.0,832.5,820.83,796.67,758.33,757.5,775.83,685.83,640.0,617.5,664.86
        State & Local Government,3483.33,3621.67,3508.33,3380.83,3439.17,3439.17,3475.83,3450.83,3414.17,3434.17,3257.5,3140.0,3215.83,3337.5,3406.94
          State Government,490.83,490.83,476.67,450.0,489.17,495.83,470.0,460.0,449.17,446.67,458.33,475.0,462.5,469.17,473.12
          Local Government,2992.5,3130.83,3031.67,2930.83,2950.0,2943.33,3006.67,2991.67,2963.33,2985.83,2798.33,2665.0,2755.0,2869.17,2933.82
