SORTORDER,TITLE - TUOLUMNE COUNTY,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,2010_Data,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,2011_Data,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,2012_Data,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,2013_Data,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,2014_Data,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,2015_Data,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,2016_Data,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,2017_Data,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,2018_Data,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,2019_Data,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,2020_Data,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,2021_Data,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,2022_Data,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,2023_Data,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,2024_Data
1,Civilian Labor Force,"22,470","22,750","22,670","22,540","22,700","22,720","23,020","23,000","22,620","22,370","22,590","22,440","22,658","22,620","22,580","22,450","22,320","22,470","22,680","23,190","23,280","22,880","22,730","22,820","22,400","22,702","22,290","22,620","22,500","22,320","22,330","22,520","22,770","22,500","22,260","21,900","21,770","21,570","22,279","22,030","21,890","21,690","21,540","21,790","22,010","21,900","21,670","21,630","21,410","21,350","21,220","21,678","21,210","21,700","21,620","21,240","21,560","21,730","21,790","21,430","21,770","21,600","21,460","21,330","21,537","21,450","21,380","21,420","21,410","21,760","21,730","21,770","21,640","21,580","21,420","21,460","21,380","21,533","21,500","21,810","21,880","21,370","21,460","21,730","21,850","21,650","21,620","21,480","21,350","21,110","21,568","21,150","21,450","21,410","21,230","21,150","21,550","21,750","21,540","21,520","21,380","21,220","21,080","21,369","20,870","21,330","21,210","21,010","20,960","21,320","21,460","21,080","21,300","21,300","21,170","21,250","21,188","21,010","21,220","21,270","20,810","20,810","20,970","21,230","21,010","20,990","20,700","20,680","20,560","20,938","20,500","20,750","20,630","19,960","19,620","20,360","20,490","20,270","20,170","19,960","19,860","19,630","20,183","19,670","19,750","20,030","19,940","20,240","20,520","20,420","20,490","20,240","19,980","19,820","19,610","20,059","19,690","19,730","19,760","19,490","19,740","19,850","19,730","19,990","19,690","19,800","19,600","19,620","19,724","19,540","19,800","19,920","19,770","19,890","19,880","20,280","20,420","20,160","20,050","20,150","19,890","19,979","20,010","20,300","20,380","19,780","19,950","20,130","20,620","20,167"
2,  Civilian Employment,"18,660","18,890","18,740","18,900","19,250","19,340","19,600","19,600","19,360","19,100","19,090","18,970","19,125","18,930","18,950","18,890","18,970","19,200","19,310","19,860","20,040","19,730","19,600","19,710","19,170","19,363","18,860","19,230","19,180","19,310","19,430","19,580","19,800","19,680","19,670","19,280","19,210","18,860","19,341","19,100","19,150","19,060","19,140","19,520","19,630","19,580","19,460","19,500","19,250","19,210","19,150","19,313","18,960","19,420","19,360","19,330","19,750","19,870","19,870","19,640","20,130","19,960","19,820","19,700","19,651","19,620","19,620","19,700","19,860","20,270","20,200","20,220","20,210","20,250","20,070","20,080","19,980","20,007","19,900","20,270","20,330","20,000","20,260","20,390","20,500","20,360","20,400","20,270","20,140","19,820","20,220","19,710","20,020","20,070","20,040","20,090","20,410","20,570","20,400","20,500","20,390","20,230","20,060","20,208","19,710","20,130","20,070","20,010","20,100","20,330","20,490","20,150","20,440","20,420","20,280","20,260","20,199","19,790","20,040","20,090","19,860","19,980","20,040","20,260","20,110","20,200","19,880","19,840","19,690","19,982","19,440","19,700","19,110","15,960","16,090","17,560","17,990","18,210","18,260","18,260","18,180","17,800","18,047","17,750","17,910","18,280","18,350","18,820","18,940","18,930","19,070","19,030","18,810","18,740","18,590","18,602","18,480","18,620","18,770","18,660","18,990","18,990","18,880","19,130","18,920","18,980","18,740","18,790","18,829","18,480","18,690","18,830","18,880","19,010","18,930","19,300","19,370","19,190","19,060","19,150","18,860","18,979","18,780","19,010","19,210","18,700","19,040","19,080","19,450","19,039"
3,  Civilian Unemployment,"3,820","3,870","3,930","3,640","3,450","3,390","3,420","3,400","3,250","3,270","3,490","3,470","3,533","3,690","3,630","3,560","3,340","3,270","3,360","3,330","3,250","3,160","3,130","3,120","3,220","3,338","3,430","3,390","3,320","3,010","2,900","2,940","2,970","2,820","2,600","2,620","2,560","2,710","2,939","2,930","2,740","2,640","2,400","2,270","2,380","2,320","2,210","2,140","2,150","2,130","2,060","2,364","2,240","2,280","2,260","1,910","1,810","1,860","1,920","1,790","1,650","1,640","1,640","1,620","1,885","1,830","1,770","1,720","1,550","1,480","1,530","1,550","1,430","1,330","1,360","1,380","1,400","1,528","1,600","1,540","1,540","1,370","1,200","1,340","1,350","1,290","1,220","1,210","1,210","1,290","1,347","1,440","1,430","1,340","1,190","1,060","1,130","1,180","1,140","1,010",990,990,"1,030","1,161","1,170","1,200","1,140","1,000",870,990,970,930,860,880,900,980,991,"1,220","1,170","1,190",960,830,940,970,900,780,820,840,870,958,"1,060","1,060","1,520","4,000","3,530","2,800","2,500","2,060","1,920","1,700","1,680","1,840","2,139","1,920","1,840","1,750","1,590","1,420","1,580","1,490","1,420","1,210","1,170","1,080","1,010","1,457","1,210","1,110",990,830,760,850,850,870,770,820,870,830,897,"1,060","1,110","1,090",900,880,950,980,"1,050",970,990,"1,000","1,030","1,001","1,230","1,290","1,180","1,080",910,"1,060","1,170","1,131"
400.00%,Civilian Unemployment Rate,17.00%,17.00%,17.30%,16.20%,15.20%,14.90%,14.90%,14.80%,14.40%,14.60%,15.50%,15.50%,15.61%,16.30%,16.10%,15.90%,15.00%,14.60%,14.80%,14.40%,13.90%,13.80%,13.80%,13.70%,14.40%,14.73%,15.40%,15.00%,14.70%,13.50%,13.00%,13.00%,13.00%,12.50%,11.70%,11.90%,11.80%,12.50%,13.17%,13.30%,12.50%,12.20%,11.10%,10.40%,10.80%,10.60%,10.20%,9.90%,10.10%,10.00%,9.70%,10.90%,10.60%,10.50%,10.40%,9.00%,8.40%,8.60%,8.80%,8.40%,7.60%,7.60%,7.70%,7.60%,8.77%,8.50%,8.30%,8.00%,7.20%,6.80%,7.00%,7.10%,6.60%,6.20%,6.30%,6.40%,6.50%,7.08%,7.50%,7.00%,7.00%,6.40%,5.60%,6.20%,6.20%,6.00%,5.60%,5.60%,5.60%,6.10%,6.23%,6.80%,6.60%,6.20%,5.60%,5.00%,5.30%,5.40%,5.30%,4.70%,4.60%,4.70%,4.90%,5.43%,5.60%,5.60%,5.40%,4.70%,4.10%,4.70%,4.50%,4.40%,4.00%,4.10%,4.20%,4.60%,4.66%,5.80%,5.50%,5.60%,4.60%,4.00%,4.50%,4.60%,4.30%,3.70%,4.00%,4.10%,4.20%,4.58%,5.20%,5.10%,7.30%,20.00%,18.00%,13.80%,12.20%,10.20%,9.50%,8.50%,8.50%,9.40%,10.64%,9.80%,9.30%,8.70%,8.00%,7.00%,7.70%,7.30%,6.90%,6.00%,5.80%,5.50%,5.20%,7.27%,6.10%,5.60%,5.00%,4.30%,3.80%,4.30%,4.30%,4.30%,3.90%,4.10%,4.40%,4.20%,4.53%,5.40%,5.60%,5.50%,4.50%,4.40%,4.80%,4.80%,5.20%,4.80%,4.90%,5.00%,5.20%,5.01%,6.20%,6.30%,5.80%,5.50%,4.60%,5.30%,5.70%,5.63%
8,"Total, All Industries","15,540","15,670","15,560","15,730","16,220","16,420","16,370","16,430","16,190","16,110","16,210","16,060","16,043","15,880","15,900","15,780","15,960","16,180","16,410","16,740","16,900","16,590","16,530","16,630","16,120","16,302","15,740","16,090","16,040","16,270","16,460","16,750","16,720","16,720","16,530","16,280","16,280","15,940","16,318","16,060","16,180","16,140","16,290","16,630","16,840","16,600","16,610","16,590","16,650","16,600","16,550","16,478","16,180","16,590","16,550","16,630","17,030","17,230","17,020","16,900","17,290","17,180","17,100","17,080","16,898","16,780","16,800","16,910","17,180","17,540","17,610","17,530","17,580","17,620","17,590","17,650","17,580","17,364","17,270","17,630","17,670","17,630","17,840","18,060","18,010","17,940","17,950","17,950","17,900","17,620","17,789","17,260","17,520","17,620","17,780","17,850","18,320","18,180","18,150","18,070","18,140","18,070","17,990","17,913","17,400","17,760","17,710","17,830","17,870","18,340","18,130","18,030","18,160","18,210","18,160","18,230","17,986","17,640","17,800","17,940","17,970","18,130","18,350","18,240","18,260","18,140","17,960","18,080","17,910","18,035","17,520","17,690","17,520","14,400","14,900","16,050","16,260","16,380","16,450","16,600","16,710","16,230","16,393","15,850","16,100","16,460","16,900","17,350","17,580","17,340","17,590","17,290","17,320","17,280","17,150","17,018","16,780","16,930","17,020","17,240","17,490","17,630","17,350","17,700","17,360","17,530","17,420","17,450","17,325","16,880","17,050","17,140","17,430","17,700","17,760","17,810","18,050","17,770","17,890","17,980","17,870","17,611","17,480","17,660","17,830","17,550","17,950","18,260","18,440","17,881"
9,  Total Farm,60,50,50,60,60,60,60,60,60,70,70,70,61,70,70,70,60,70,70,50,50,50,50,50,50,59,40,40,40,40,50,50,60,60,60,50,50,60,50,50,40,40,60,50,60,60,50,50,50,60,50,52,50,50,50,50,60,60,60,70,60,60,60,60,58,60,60,60,60,70,60,60,70,70,70,60,60,63,60,60,70,60,70,70,80,70,70,80,80,70,70,70,70,70,80,80,90,70,80,70,70,80,70,75,60,70,60,50,60,60,60,70,70,60,60,70,63,60,70,70,80,90,90,90,90,90,110,100,90,86,80,90,100,90,90,100,100,90,90,90,90,90,92,90,90,90,90,100,100,90,90,90,90,90,90,92,80,90,90,90,90,90,90,100,90,90,90,90,90,60,80,80,90,90,90,90,90,100,100,100,100,89,90,100,100,100,110,110,110,103
10,  Total Nonfarm,"15,480","15,620","15,510","15,670","16,160","16,360","16,310","16,370","16,130","16,040","16,140","15,990","15,982","15,810","15,830","15,710","15,900","16,110","16,340","16,690","16,850","16,540","16,480","16,580","16,070","16,243","15,700","16,050","16,000","16,230","16,410","16,700","16,660","16,660","16,470","16,230","16,230","15,880","16,268","16,010","16,140","16,100","16,230","16,580","16,780","16,540","16,560","16,540","16,600","16,540","16,500","16,427","16,130","16,540","16,500","16,580","16,970","17,170","16,960","16,830","17,230","17,120","17,040","17,020","16,841","16,720","16,740","16,850","17,120","17,470","17,550","17,470","17,510","17,550","17,520","17,590","17,520","17,301","17,210","17,570","17,600","17,570","17,770","17,990","17,930","17,870","17,880","17,870","17,820","17,550","17,719","17,190","17,450","17,550","17,700","17,770","18,230","18,110","18,070","18,000","18,070","17,990","17,920","17,838","17,340","17,690","17,650","17,780","17,810","18,280","18,070","17,960","18,090","18,150","18,100","18,160","17,923","17,580","17,730","17,870","17,890","18,040","18,260","18,150","18,170","18,050","17,850","17,980","17,820","17,949","17,440","17,600","17,420","14,310","14,810","15,950","16,160","16,290","16,360","16,510","16,620","16,140","16,301","15,760","16,010","16,370","16,810","17,250","17,480","17,250","17,500","17,200","17,230","17,190","17,060","16,926","16,700","16,840","16,930","17,150","17,400","17,540","17,260","17,600","17,270","17,440","17,330","17,360","17,235","16,820","16,970","17,060","17,340","17,610","17,670","17,720","17,960","17,670","17,790","17,880","17,770","17,522","17,390","17,560","17,730","17,450","17,840","18,150","18,330","17,779"
11,    Total Private,"10,220","10,300","10,150","10,350","10,610","10,870","11,030","11,030","10,920","10,740","10,940","10,840","10,667","10,790","10,790","10,740","10,830","10,880","11,180","11,560","11,590","11,220","11,110","11,300","10,850","11,070","10,620","10,830","10,750","10,970","11,090","11,380","11,510","11,510","11,200","10,920","10,930","10,690","11,033","10,890","10,950","10,890","10,950","11,160","11,410","11,630","11,690","11,240","11,160","11,240","11,170","11,198","10,920","11,220","11,190","11,120","11,410","11,600","11,870","11,870","11,670","11,530","11,440","11,490","11,444","11,360","11,270","11,310","11,590","11,840","12,000","12,370","12,450","12,130","11,960","11,920","11,980","11,848","11,800","12,030","11,990","11,910","12,040","12,300","12,580","12,500","12,290","12,150","12,100","12,130","12,152","11,830","11,940","12,010","12,240","12,200","12,510","12,820","12,810","12,570","12,380","12,360","12,360","12,336","11,930","12,090","12,220","12,240","12,260","12,710","12,760","12,660","12,460","12,410","12,390","12,530","12,388","12,150","12,030","12,180","12,130","12,270","12,450","12,680","12,670","12,340","12,090","12,110","12,110","12,268","11,840","11,940","11,700","9,630","10,280","11,090","11,280","11,240","11,260","11,370","11,460","11,090","11,182","10,820","11,130","11,360","11,670","11,940","12,140","12,180","12,360","11,980","11,960","11,840","11,920","11,775","11,680","11,760","11,840","12,010","12,110","12,300","12,230","12,470","12,110","12,040","12,030","12,140","12,060","11,760","11,830","11,720","12,020","12,120","12,230","12,450","12,670","12,340","12,290","12,290","12,390","12,176","12,050","12,250","12,240","11,950","12,250","12,560","12,650","12,279"
12,    Goods Producing,"1,190","1,200","1,090","1,190","1,330","1,400","1,440","1,440","1,470","1,500","1,500","1,380","1,344","1,330","1,330","1,340","1,330","1,460","1,510","1,630","1,660","1,650","1,580","1,570","1,520","1,493","1,400","1,390","1,350","1,380","1,440","1,500","1,500","1,520","1,510","1,490","1,490","1,480","1,454","1,390","1,420","1,420","1,450","1,470","1,500","1,480","1,510","1,490","1,500","1,500","1,440","1,464","1,440","1,390","1,380","1,390","1,430","1,460","1,490","1,530","1,500","1,470","1,460","1,420","1,447","1,470","1,450","1,450","1,490","1,520","1,520","1,530","1,550","1,570","1,560","1,570","1,530","1,518","1,430","1,480","1,470","1,520","1,580","1,600","1,630","1,620","1,610","1,620","1,610","1,580","1,563","1,460","1,480","1,490","1,510","1,590","1,620","1,650","1,670","1,650","1,670","1,690","1,660","1,595","1,630","1,720","1,650","1,710","1,730","1,790","1,800","1,800","1,810","1,900","1,930","1,930","1,783","1,850","1,770","1,820","1,840","1,870","1,870","1,920","1,930","1,870","1,890","1,910","1,840","1,865","1,800","1,820","1,740","1,510","1,650","1,720","1,760","1,800","1,750","1,840","1,810","1,840","1,753","1,760","1,790","1,820","1,920","1,980","1,940","2,010","2,000","1,860","1,920","1,880","1,850","1,894","1,780","1,830","1,830","1,890","1,910","1,960","1,860","1,890","1,890","1,900","1,870","1,860","1,873","1,760","1,820","1,760","1,860","1,940","1,980","1,960","2,000","2,000","2,050","2,040","2,010","1,932","1,930","1,980","1,940","1,950","2,050","2,090","2,090","2,004"
13,"     Mining, Logging and Construction",570,570,550,600,680,700,730,720,730,760,740,630,665,600,590,560,560,630,650,750,760,740,740,720,660,663,590,570,530,570,620,660,670,680,680,660,650,630,626,550,580,580,590,610,640,630,650,640,640,650,580,612,600,560,570,590,620,640,670,710,680,700,700,660,642,660,640,640,700,710,710,720,740,760,780,780,730,714,660,690,690,750,800,820,840,830,820,830,810,770,776,680,710,720,720,800,810,860,870,860,860,870,820,798,810,890,810,890,900,970,980,"1,000","1,010","1,090","1,110","1,110",964,"1,040",970,"1,000","1,000","1,010","1,020","1,060","1,080","1,010","1,050","1,060",990,"1,024",970,980,890,740,850,900,950,970,930,990,940,980,924,900,910,940,"1,040","1,090","1,080","1,140","1,130",990,"1,030","1,000",970,"1,018",930,990,980,"1,030","1,060","1,100","1,020","1,060","1,060","1,060","1,030","1,010","1,028",950,"1,000",950,"1,050","1,130","1,170","1,180","1,200","1,190","1,240","1,240","1,190","1,124","1,130","1,180","1,140","1,170","1,260","1,290","1,310","1,211"
