SORTORDER,TITLE - YOLO COUNTY,10-Jan,10-Feb,10-Mar,10-Apr,10-May,10-Jun,10-Jul,10-Aug,10-Sep,10-Oct,10-Nov,10-Dec,2010_Data,11-Jan,11-Feb,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,2011_Data,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct,12-Nov,12-Dec,2012_Data,13-Jan,13-Feb,13-Mar,13-Apr,13-May,13-Jun,13-Jul,13-Aug,13-Sep,13-Oct,13-Nov,13-Dec,2013_Data,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,2014_Data,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,2015_Data,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,2016_Data,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,2017_Data,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,2018_Data,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,2019_Data,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,2020_Data,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,2021_Data,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,22-Oct,22-Nov,22-Dec,2022_Data,23-Jan,23-Feb,23-Mar,23-Apr,23-May,23-Jun,23-Jul,23-Aug,23-Sep,23-Oct,23-Nov,23-Dec,2023_Data,24-Jan,24-Feb,24-Mar,24-Apr,24-May,24-Jun,24-Jul,2024_Data,
1,Civilian Labor Force,"1,053,400","1,054,400","1,056,400","1,051,400","1,048,300","1,050,100","1,058,300","1,052,900","1,049,700","1,044,900","1,046,600","1,042,300","1,050,725","1,042,800","1,043,700","1,044,700","1,036,200","1,037,100","1,042,400","1,044,300","1,046,200","1,048,100","1,047,800","1,045,900","1,044,600","1,043,650","1,041,100","1,047,500","1,048,500","1,041,400","1,043,200","1,052,200","1,052,100","1,046,100","1,045,500","1,045,800","1,042,700","1,041,900","1,045,667","1,051,400","1,049,700","1,046,800","1,037,800","1,040,500","1,046,300","1,049,000","1,041,700","1,042,700","1,035,000","1,038,500","1,033,700","1,042,758","1,038,400","1,041,400","1,045,000","1,032,500","1,038,900","1,046,600","1,049,000","1,043,400","1,042,600","1,046,800","1,047,600","1,038,500","1,042,558","1,049,200","1,049,100","1,051,400","1,046,300","1,051,200","1,055,600","1,060,100","1,053,800","1,050,600","1,054,400","1,056,400","1,057,600","1,052,975","1,062,700","1,068,600","1,071,300","1,060,500","1,062,200","1,070,700","1,078,200","1,073,800","1,072,700","1,069,000","1,067,400","1,065,000","1,068,508","1,069,700","1,072,600","1,074,500","1,066,800","1,068,500","1,074,700","1,083,000","1,075,700","1,078,400","1,075,400","1,074,700","1,073,800","1,073,983","1,076,900","1,085,600","1,085,200","1,077,800","1,083,100","1,088,600","1,098,900","1,090,600","1,092,900","1,093,600","1,093,900","1,094,300","1,088,450","1,098,700","1,104,400","1,104,000","1,087,100","1,089,900","1,092,300","1,105,700","1,101,300","1,102,200","1,105,400","1,101,500","1,099,100","1,099,300","1,102,800","1,112,200","1,104,500","1,081,200","1,067,900","1,099,500","1,103,300","1,092,200","1,093,500","1,091,600","1,086,600","1,086,900","1,093,517","1,093,800","1,100,300","1,102,900","1,096,400","1,096,900","1,105,100","1,117,500","1,112,200","1,110,900","1,110,600","1,110,100","1,108,100","1,105,400","1,107,800","1,112,700","1,115,800","1,103,600","1,108,000","1,106,600","1,114,500","1,114,800","1,114,100","1,116,200","1,115,900","1,115,300","1,112,108","1,116,400","1,126,400","1,131,100","1,118,000","1,121,600","1,120,600","1,133,900","1,135,300","1,136,100","1,136,900","1,141,600","1,132,100","1,129,167","1,141,700","1,146,200","1,147,300","1,134,900","1,129,600","1,133,200","1,142,500","1,139,343",
2,  Civilian Employment,"914,400","916,400","918,400","921,000","921,800","918,200","922,600","919,900","920,400","916,300","912,400","911,000","917,733","906,900","911,100","913,600","912,800","915,300","912,300","914,300","919,800","925,400","927,200","928,900","928,200","917,983","921,000","927,900","930,500","933,200","935,700","938,200","936,600","936,800","943,800","944,000","943,800","941,900","936,117","944,800","949,300","950,400","949,200","952,600","951,000","954,000","951,300","956,400","948,200","954,700","953,400","951,275","953,100","956,300","960,000","960,000","967,100","971,100","969,800","967,800","973,200","977,800","978,800","973,800","967,400","977,900","981,100","984,900","985,400","990,700","991,800","994,900","992,900","993,900","996,600","998,900","1,001,700","990,892","1,002,600","1,009,400","1,010,500","1,005,600","1,011,800","1,011,900","1,018,200","1,016,000","1,017,300","1,013,700","1,014,500","1,012,100","1,011,967","1,010,800","1,015,800","1,020,700","1,018,300","1,023,300","1,023,700","1,030,200","1,024,600","1,033,500","1,032,000","1,032,100","1,031,900","1,024,742","1,030,300","1,040,400","1,041,700","1,039,000","1,047,800","1,045,500","1,055,900","1,048,700","1,054,700","1,054,500","1,054,900","1,053,500","1,047,242","1,049,600","1,059,800","1,059,100","1,050,100","1,055,000","1,051,400","1,062,400","1,060,300","1,066,900","1,068,600","1,064,200","1,062,300","1,059,142","1,059,100","1,070,800","1,045,000","924,000","918,500","967,800","979,900","989,200","995,400","1,005,500","1,002,000","1,001,900","996,592","1,007,200","1,015,700","1,021,700","1,018,800","1,025,300","1,025,200","1,042,000","1,040,700","1,049,500","1,051,700","1,056,300","1,058,600","1,034,392","1,051,900","1,062,800","1,071,300","1,065,200","1,072,700","1,065,200","1,073,600","1,072,600","1,076,100","1,075,700","1,073,700","1,075,700","1,069,708","1,068,000","1,077,500","1,082,600","1,076,600","1,079,200","1,072,600","1,085,300","1,082,900","1,086,500","1,085,300","1,090,000","1,080,000","1,080,542","1,082,400","1,085,800","1,091,200","1,084,000","1,085,600","1,080,000","1,084,300","1,084,757",
3,  Civilian Unemployment,"139,000","137,900","138,100","130,300","126,600","131,800","135,700","133,000","129,400","128,600","134,100","131,300","132,983","135,900","132,600","131,100","123,400","121,800","130,100","130,000","126,400","122,700","120,600","117,000","116,400","125,667","120,100","119,600","118,100","108,100","107,500","114,000","115,500","109,300","101,600","101,800","98,900","100,000","109,542","106,600","100,400","96,500","88,500","87,900","95,400","95,000","90,400","86,300","86,800","83,800","80,300","91,492","85,200","85,100","85,000","72,500","71,800","75,500","79,200","75,600","69,400","69,000","68,700","64,700","75,142","71,300","68,000","66,500","60,900","60,400","63,800","65,200","60,900","56,700","57,800","57,500","55,900","62,075","60,100","59,200","60,800","54,900","50,500","58,800","59,900","57,900","55,400","55,300","52,900","52,900","56,550","58,900","56,800","53,700","48,500","45,100","50,900","52,800","51,100","44,900","43,400","42,600","41,900","49,217","46,600","45,200","43,500","38,800","35,200","43,200","42,900","41,900","38,200","39,200","39,000","40,800","41,208","49,100","44,600","44,900","36,900","34,800","40,900","43,200","41,000","35,300","36,800","37,300","36,800","40,133","43,700","41,400","59,600","157,200","149,400","131,700","123,300","103,000","98,100","86,100","84,500","85,000","96,917","86,600","84,500","81,200","77,600","71,600","79,900","75,500","71,500","61,400","58,900","53,800","49,400","70,992","56,000","49,900","44,600","38,400","35,300","41,400","40,900","42,200","38,000","40,500","42,300","39,700","42,433","48,400","48,900","48,500","41,500","42,400","48,000","48,600","52,500","49,600","51,600","51,600","52,100","48,642","59,300","60,400","56,100","50,900","44,000","53,200","58,100","54,571",
4,Civilian Unemployment Rate,13.20%,13.10%,13.10%,12.40%,12.10%,12.60%,12.80%,12.60%,12.30%,12.30%,12.80%,12.60%,12.66%,13.00%,12.70%,12.50%,11.90%,11.70%,12.50%,12.40%,12.10%,11.70%,11.50%,11.20%,11.10%,12.03%,11.50%,11.40%,11.30%,10.40%,10.30%,10.80%,11.00%,10.40%,9.70%,9.70%,9.50%,9.60%,10.47%,10.10%,9.60%,9.20%,8.50%,8.40%,9.10%,9.10%,8.70%,8.30%,8.40%,8.10%,7.80%,8.78%,8.20%,8.20%,8.10%,7.00%,6.90%,7.20%,7.60%,7.20%,6.70%,6.60%,6.60%,6.20%,7.21%,6.80%,6.50%,6.30%,5.80%,5.70%,6.00%,6.10%,5.80%,5.40%,5.50%,5.40%,5.30%,5.88%,5.70%,5.50%,5.70%,5.20%,4.80%,5.50%,5.60%,5.40%,5.20%,5.20%,5.00%,5.00%,5.32%,5.50%,5.30%,5.00%,4.50%,4.20%,4.70%,4.90%,4.70%,4.20%,4.00%,4.00%,3.90%,4.58%,4.30%,4.20%,4.00%,3.60%,3.30%,4.00%,3.90%,3.80%,3.50%,3.60%,3.60%,3.70%,3.79%,4.50%,4.00%,4.10%,3.40%,3.20%,3.70%,3.90%,3.70%,3.20%,3.30%,3.40%,3.30%,3.64%,4.00%,3.70%,5.40%,14.50%,14.00%,12.00%,11.20%,9.40%,9.00%,7.90%,7.80%,7.80%,8.89%,7.90%,7.70%,7.40%,7.10%,6.50%,7.20%,6.80%,6.40%,5.50%,5.30%,4.80%,4.50%,6.43%,5.10%,4.50%,4.00%,3.50%,3.20%,3.70%,3.70%,3.80%,3.40%,3.60%,3.80%,3.60%,3.83%,4.30%,4.30%,4.30%,3.70%,3.80%,4.30%,4.30%,4.60%,4.40%,4.50%,4.50%,4.60%,4.30%,5.20%,5.30%,4.90%,4.50%,3.90%,4.70%,5.10%,4.80%,
8,"Total, All Industries","834,100","834,000","837,400","842,400","849,700","851,500","838,800","836,400","837,300","842,200","841,400","838,700","840,325","827,100","830,800","832,200","836,700","839,600","841,100","832,600","837,700","841,600","845,500","847,900","845,300","838,175","833,800","839,600","843,800","854,300","861,500","870,000","856,200","859,400","859,400","863,800","869,300","866,900","856,500","862,100","868,700","873,200","875,800","881,000","884,800","875,800","880,000","881,200","886,000","892,600","891,500","879,392","880,300","883,900","889,000","895,500","902,200","909,100","896,900","901,800","902,700","909,500","914,600","911,200","899,725","905,100","907,600","914,700","920,500","925,500","931,900","929,900","932,100","931,900","942,300","946,800","949,100","928,117","938,400","945,300","946,100","956,700","960,500","965,500","965,000","967,400","966,100","970,300","973,900","973,600","960,733","957,000","961,800","969,500","976,300","983,300","991,400","983,700","986,100","987,300","995,300","997,500","1,000,700","982,492","986,900","993,400","995,400","1,002,800","1,009,700","1,016,800","1,010,200","1,016,000","1,014,600","1,021,500","1,025,100","1,026,200","1,009,883","1,011,000","1,015,800","1,020,100","1,024,100","1,031,100","1,035,500","1,030,800","1,038,500","1,034,300","1,043,700","1,047,200","1,042,500","1,031,217","1,032,100","1,038,100","1,034,000","904,900","921,800","956,000","957,900","963,100","971,300","991,000","996,500","990,500","979,767","975,000","989,300","997,900","1,011,600","1,016,700","1,022,600","1,030,800","1,034,600","1,030,300","1,048,800","1,052,600","1,053,000","1,021,933","1,036,000","1,047,600","1,053,900","1,063,500","1,067,400","1,069,200","1,068,100","1,073,000","1,070,000","1,075,800","1,080,900","1,079,400","1,065,400","1,058,300","1,066,100","1,066,700","1,073,800","1,084,300","1,087,500","1,080,600","1,086,100","1,085,800","1,098,200","1,104,100","1,104,400","1,082,992","1,089,200","1,095,400","1,099,300","1,102,900","1,108,600","1,113,500","1,105,300","1,102,029",
9,     Total Farm,"6,100","6,600","6,900","7,500","9,300","9,500","9,700","9,800","9,300","8,600","6,900","6,400","8,050","6,200","7,400","7,200","7,900","9,100","9,200","9,300","9,800","9,500","8,800","7,100","6,900","8,200","6,800","7,100","7,400","7,600","9,600","10,200","10,300","10,200","10,000","8,800","7,700","7,700","8,617","6,700","7,300","8,100","8,600","10,000","10,500","11,200","10,400","9,500","9,100","7,700","7,700","8,900","7,300","7,500","8,100","9,400","10,500","10,700","11,400","10,400","9,800","9,600","8,000","7,600","9,192","7,700","8,000","9,000","9,700","10,000","10,400","10,800","10,600","9,800","9,400","8,400","8,500","9,358","7,700","8,300","8,400","9,900","10,100","11,300","12,800","11,800","11,000","9,900","8,200","7,000","9,700","6,900","7,300","8,600","9,700","10,400","11,600","12,300","12,200","11,400","10,400","8,300","8,200","9,775","6,900","7,800","7,900","9,200","10,000","10,300","10,800","11,300","10,200","9,500","7,900","7,700","9,125","6,800","7,100","7,400","8,700","9,500","10,000","10,600","10,900","10,000","9,400","7,400","7,100","8,742","6,500","6,900","7,600","7,800","9,100","9,000","9,900","9,900","9,300","8,900","7,400","7,800","8,342","6,900","7,500","8,000","9,100","9,400","9,600","11,100","10,600","9,900","9,500","8,100","7,900","8,967","6,900","7,200","7,900","8,900","8,900","9,300","10,200","10,000","9,500","9,200","7,900","7,600","8,625","6,600","7,600","7,200","8,500","9,800","9,900","9,900","11,200","10,500","10,100","8,800","8,500","9,050","7,600","8,100","8,600","9,000","9,500","9,800","10,600","9,029",
10,  Total Nonfarm,"828,000","827,400","830,500","834,900","840,400","842,000","829,100","826,600","828,000","833,600","834,500","832,300","832,275","820,900","823,400","825,000","828,800","830,500","831,900","823,300","827,900","832,100","836,700","840,800","838,400","829,975","827,000","832,500","836,400","846,700","851,900","859,800","845,900","849,200","849,400","855,000","861,600","859,200","847,883","855,400","861,400","865,100","867,200","871,000","874,300","864,600","869,600","871,700","876,900","884,900","883,800","870,492","873,000","876,400","880,900","886,100","891,700","898,400","885,500","891,400","892,900","899,900","906,600","903,600","890,533","897,400","899,600","905,700","910,800","915,500","921,500","919,100","921,500","922,100","932,900","938,400","940,600","918,758","930,700","937,000","937,700","946,800","950,400","954,200","952,200","955,600","955,100","960,400","965,700","966,600","951,033","950,100","954,500","960,900","966,600","972,900","979,800","971,400","973,900","975,900","984,900","989,200","992,500","972,717","980,000","985,600","987,500","993,600","999,700","1,006,500","999,400","1,004,700","1,004,400","1,012,000","1,017,200","1,018,500","1,000,758","1,004,200","1,008,700","1,012,700","1,015,400","1,021,600","1,025,500","1,020,200","1,027,600","1,024,300","1,034,300","1,039,800","1,035,400","1,022,475","1,025,600","1,031,200","1,026,400","897,100","912,700","947,000","948,000","953,200","962,000","982,100","989,100","982,700","971,425","968,100","981,800","989,900","1,002,500","1,007,300","1,013,000","1,019,700","1,024,000","1,020,400","1,039,300","1,044,500","1,045,100","1,012,967","1,029,100","1,040,400","1,046,000","1,054,600","1,058,500","1,059,900","1,057,900","1,063,000","1,060,500","1,066,600","1,073,000","1,071,800","1,056,775","1,051,700","1,058,500","1,059,500","1,065,300","1,074,500","1,077,600","1,070,700","1,074,900","1,075,300","1,088,100","1,095,300","1,095,900","1,073,942","1,081,600","1,087,300","1,090,700","1,093,900","1,099,100","1,103,700","1,094,700","1,093,000",
11,    Total Private,"597,000","595,400","596,900","598,500","600,300","604,900","606,400","607,300","603,900","603,600","603,700","606,300","602,017","593,600","594,300","594,700","597,900","601,000","603,600","609,200","612,900","612,900","611,500","615,600","617,400","605,383","605,300","608,600","610,200","620,200","625,300","632,100","633,500","636,300","633,400","632,800","638,500","640,400","626,383","634,700","638,900","640,400","642,400","645,000","647,900","649,800","653,500","652,300","652,800","657,600","660,100","647,950","647,700","648,900","652,300","655,200","660,200","665,300","666,900","671,100","669,400","668,200","673,100","675,100","662,783","666,500","668,000","672,300","676,600","681,700","686,400","694,400","695,600","693,700","697,800","701,700","706,800","686,792","696,700","702,500","701,100","710,200","712,800","716,200","723,100","725,800","723,800","724,700","728,800","730,700","716,367","715,400","719,400","723,600","729,500","734,800","741,600","742,900","745,900","744,700","747,600","750,700","754,700","737,567","742,800","747,400","747,500","753,300","758,500","764,700","770,000","773,300","770,000","772,000","776,100","778,100","762,808","764,000","767,600","769,300","772,500","777,100","781,900","785,800","789,700","786,200","789,400","794,600","794,800","781,075","783,700","789,300","784,200","658,000","678,200","715,100","722,600","722,800","729,100","747,400","754,400","749,100","736,158","733,200","746,100","751,800","762,800","766,200","771,200","784,600","785,900","779,200","794,800","798,300","799,400","772,792","784,100","796,400","798,800","806,500","809,100","811,200","818,400","820,500","815,800","819,100","820,000","819,300","809,933","800,000","805,800","803,500","808,700","814,400","817,400","821,600","822,600","820,200","829,200","833,300","834,800","817,625","820,100","825,200","825,800","828,600","831,500","835,600","836,200","829,000",
12,    Goods Producing,"69,900","68,700","69,500","70,300","71,400","73,100","73,900","74,900","73,900","73,100","71,500","69,800","71,667","67,100","67,000","66,600","68,200","69,600","70,900","72,600","74,100","74,500","74,100","72,300","70,300","70,608","68,300","68,200","67,400","69,200","71,800","73,900","75,700","77,000","77,000","76,100","74,800","73,900","72,775","72,400","73,600","74,200","75,600","77,200","78,600","80,000","81,900","81,900","81,000","79,700","78,700","77,900","76,800","77,200","77,400","78,600","80,900","82,300","83,700","85,100","85,000","84,200","83,700","81,300","81,350","80,900","81,100","82,400","84,000","85,800","87,700","89,600","90,600","90,900","91,500","90,700","90,000","87,100","86,900","87,900","87,300","90,200","91,600","92,600","94,800","95,600","95,500","93,900","92,900","90,500","91,642","87,000","88,100","90,300","91,500","94,400","96,600","97,700","98,700","99,300","99,500","97,500","97,500","94,842","94,100","95,800","94,500","96,600","99,000","102,400","104,300","105,700","106,000","105,300","104,100","103,100","100,908","99,800","100,700","101,700","103,400","105,900","108,100","109,200","111,000","110,700","111,400","110,200","108,000","106,675","105,900","108,300","108,500","97,500","104,000","106,800","106,800","108,300","108,400","109,700","109,200","107,900","106,775","106,200","107,600","108,600","111,700","112,700","113,800","116,400","117,100","116,300","117,200","116,300","114,000","113,158","112,500","115,400","116,600","117,500","119,200","119,900","121,900","121,900","121,300","120,200","117,100","115,300","118,233","108,500","112,600","110,700","113,100","115,000","116,600","117,300","119,100","119,300","119,900","119,200","117,600","115,742","114,300","115,400","115,600","115,900","116,900","118,100","118,400","116,371",
13,"     Mining, Logging, and Construction","37,500","36,500","37,200","38,000","39,000","40,500","41,000","41,100","40,000","39,800","38,800","37,000","38,867","34,800","34,600","34,000","35,500","36,700","37,700","39,700","40,100","40,100","39,800","39,000","36,800","37,400","35,200","35,100","34,400","35,800","38,200","39,900","41,200","41,800","41,700","41,900","41,100","40,300","38,883","39,100","40,100","40,900","41,900","43,400","44,700","45,800","46,800","46,600","46,500","45,300","44,100","43,767","42,600","42,700","42,900","43,900","46,000","47,100","47,900","48,500","48,300","48,400","47,900","45,500","45,975","45,400","45,600","46,600","48,000","49,700","51,300","52,700","53,300","53,400","54,900","54,300","53,600","50,733","50,700","51,700","51,000","54,200","55,300","56,600","58,300","58,700","58,500","58,000","57,300","55,100","55,450","51,900","52,900","55,600","56,400","58,900","61,000","61,800","62,400","62,600","63,200","61,500","61,400","59,133","59,400","60,900","59,500","61,600","63,600","66,300","67,500","68,700","68,900","68,500","67,600","66,700","64,933","63,700","64,600","65,800","67,200","69,500","71,500","72,700","73,500","73,000","73,400","73,000","70,600","69,875","69,000","71,000","71,200","63,500","69,000","70,700","71,100","72,000","71,800","73,700","73,300","72,100","70,700","70,600","71,600","72,000","74,900","75,600","76,500","77,800","78,100","77,200","78,500","77,400","75,000","75,433","73,800","76,300","77,000","77,500","78,900","79,400","80,200","79,900","79,600","78,800","76,100","74,500","77,667","68,300","72,500","70,700","73,000","74,800","76,300","76,800","77,800","78,100","78,900","78,400","76,900","75,208","74,200","75,300","75,700","76,200","77,200","78,200","78,300","76,443",
