TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,29133.33,28933.33,28791.67,28166.67,27850.0,27733.33,28150.0,28716.67,29233.33,29741.67,30708.33,30908.33,31275.0,31875.0,30889.58
  Civilian Employment,23833.33,23941.67,24300.0,24400.0,24708.33,25133.33,25716.67,26566.67,27350.0,27908.33,27450.0,28300.0,29516.67,29733.33,27656.94
  Civilian Unemployment,5300.0,4983.33,4516.67,3750.0,3158.33,2583.33,2450.0,2141.67,1875.0,1833.33,3266.67,2600.0,1775.0,2125.0,3267.36
Civilian Unemployment Rate,0.18,0.17,0.16,0.13,0.11,0.09,0.09,0.07,0.06,0.06,0.11,0.08,0.06,0.07,0.11
"Total, All Industries",15233.33,15633.33,16000.0,15808.33,16025.0,16375.0,16625.0,17741.67,18158.33,18875.0,19241.67,19641.67,20583.33,20791.67,15740.0
  Total Farm,908.33,958.33,941.67,883.33,766.67,775.0,508.33,775.0,750.0,708.33,741.67,850.0,825.0,591.67,891.67
  Total Nonfarm,14325.0,14675.0,15058.33,14925.0,15258.33,15600.0,16116.67,16966.67,17408.33,18166.67,18500.0,18791.67,19758.33,20200.0,14848.33
    Goods Producing,1183.33,1191.67,1291.67,1233.33,1341.67,1458.33,1466.67,1683.33,1841.67,2075.0,1858.33,1825.0,1875.0,2183.33,1248.33
"     Mining, Logging and Construction",691.67,683.33,700.0,608.33,708.33,750.0,766.67,975.0,1141.67,1316.67,1166.67,1141.67,1183.33,1475.0,678.33
      Manufacturing,491.67,508.33,591.67,625.0,633.33,708.33,700.0,708.33,700.0,758.33,691.67,683.33,691.67,708.33,570.0
    Service Providing,13141.67,13483.33,13766.67,13691.67,13916.67,14141.67,14650.0,15283.33,15566.67,16091.67,16641.67,16966.67,17883.33,18016.67,13600.0
"      Trade, Transportation & Utilities",2008.33,1925.0,2091.67,2141.67,2241.67,2250.0,2241.67,2433.33,2300.0,2216.67,2325.0,2508.33,2458.33,2300.0,2081.67
        Wholesale Trade,200.0,175.0,175.0,200.0,233.33,200.0,200.0,283.33,200.0,291.67,300.0,341.67,216.67,141.67,196.67
        Retail Trade,1241.67,1200.0,1275.0,1250.0,1333.33,1441.67,1450.0,1541.67,1525.0,1341.67,1425.0,1500.0,1508.33,1516.67,1260.0
"        Transportation, Warehousing, and Utilities",566.67,550.0,641.67,691.67,675.0,608.33,591.67,608.33,575.0,583.33,600.0,666.67,733.33,641.67,625.0
      Information,200.0,200.0,200.0,200.0,200.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.67,100.0,200.0
      Financial Activities,291.67,300.0,291.67,308.33,283.33,233.33,233.33,275.0,275.0,291.67,291.67,283.33,200.0,208.33,295.0
      Professional and Business Services,791.67,883.33,891.67,908.33,891.67,925.0,1025.0,933.33,1058.33,991.67,1066.67,1075.0,1308.33,1316.67,873.33
      Private Education and Health Services,2650.0,2666.67,2758.33,2775.0,2808.33,3016.67,3133.33,3500.0,3516.67,3725.0,3675.0,3633.33,3741.67,4050.0,2731.67
      Leisure and Hospitality,1141.67,1216.67,1258.33,1400.0,1366.67,1366.67,1541.67,1516.67,1533.33,1458.33,1316.67,1541.67,1891.67,1816.67,1276.67
      Other Services,316.67,325.0,358.33,300.0,350.0,383.33,400.0,425.0,375.0,408.33,383.33,383.33,325.0,200.0,330.0
      Government,5741.67,5966.67,5916.67,5658.33,5775.0,5866.67,5975.0,6100.0,6408.33,6900.0,7483.33,7441.67,7866.67,8025.0,5811.67
        Federal Government,1383.33,1383.33,1375.0,1341.67,1400.0,1458.33,1516.67,1525.0,1508.33,1516.67,1525.0,1508.33,1450.0,1458.33,1376.67
          State Government,775.0,758.33,800.0,800.0,800.0,783.33,758.33,783.33,941.67,1050.0,1000.0,1091.67,1100.0,1108.33,786.67
          Local Government,3583.33,3825.0,3741.67,3516.67,3575.0,3625.0,3700.0,3791.67,3958.33,4333.33,4958.33,4841.67,5316.67,5458.33,3648.33
