COUNTY,4/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,1/1/2017,1/1/2018,1/1/2019,1/1/2020,1/1/2021,1/1/2022,1/1/2023,1/1/2024
Alameda             ,1510271,1527169,1549193,1575139,1597747,1622205,1641983,1656919,1666247,1675964,1681337,1666341,1643683,1650656,1641869
Alpine              ,1175,1174,1176,1180,1185,1190,1196,1201,1205,1201,1204,1195,1190,1183,1179
Amador              ,38091,37089,37272,37044,37089,37453,37663,38807,39708,40227,40426,40047,40010,39924,39611
Butte               ,220000,221377,222623,224391,225737,227400,228198,230412,231774,227263,216090,207403,206184,206579,205928
Calaveras           ,45578,45561,45544,45499,45461,45395,45402,45355,45367,45324,45290,45259,45021,44899,44842
Colusa              ,21419,21362,21301,21418,21442,21338,21531,21773,21808,21745,21811,21774,21722,21831,21743
Contra Costa        ,1049025,1061578,1075165,1090305,1104732,1120530,1136478,1147957,1155105,1161077,1164844,1162336,1149841,1145274,1146626
Del Norte,28610,28191,28193,27752,27341,26973,26960,27158,27269,27567,27702,27450,26982,26586,26345
El Dorado           ,181058,180887,180121,179663,180132,180914,181630,182695,185303,186714,190202,190737,189294,188067,188583
Fresno              ,930450,938507,945656,953114,959645,968417,975622,983436,992091,1000679,1006557,1008202,1010177,1010914,1017431
Glenn               ,28122,28252,28102,27914,27946,27966,27714,27786,27854,27959,28800,28812,28777,28330,28736
Humboldt            ,134623,135894,135888,135810,135895,136542,137015,138027,137893,137059,136547,135130,134167,134597,133100
Imperial            ,174528,175448,177599,177731,178471,179769,179897,180854,181374,181025,180036,180403,180394,179623,182881
Inyo                ,18546,18582,18617,18673,18771,18765,18876,18880,18906,18938,18995,18981,18916,18890,18856
Kern                ,839631,845269,853585,861948,867021,873453,876846,883531,891340,898617,907416,905370,908186,906165,910300
Kings               ,152982,150073,151242,150004,148974,148817,148487,148079,150058,151918,152249,151157,151654,151629,152627
Lake                ,64665,65318,65573,65928,66484,66975,66991,67318,67890,67902,68144,67778,67597,66698,67001
Lassen              ,34895,34416,34222,33564,32908,32758,32293,32459,32721,32726,32555,30991,29809,28376,28197
Los Angeles ,9818605,9872846,9937750,9995638,10037944,10072887,10087542,10107312,10107841,10067476,10029036,9955445,9861493,9819312,9824091
Madera              ,150865,151054,151155,150652,152067,152930,152819,154151,155100,155604,155967,155982,157040,157909,159328
Marin               ,252409,254256,257096,258815,261931,263888,264554,264366,264099,263645,262802,259721,255459,253972,252844
Mariposa            ,18251,18180,18084,17936,17865,17724,17625,17501,17398,17242,17156,17070,16988,16968,16966
Mendocino           ,87841,87787,88402,89320,89569,90018,90761,91368,91667,91733,91639,90910,90227,89556,89476
Merced              ,255793,259183,261779,263501,264670,266740,268527,271094,274768,277693,280290,280944,284038,285193,287303
Modoc               ,9686,9653,9508,9408,9312,9212,9130,8979,8943,8880,8722,8608,8547,8501,8484
Mono                ,14202,14312,14181,13865,13712,13674,13412,13425,13319,13305,13205,13191,12987,13193,12861
Monterey            ,415057,416582,422477,425742,427425,429887,434712,437800,438000,439477,439590,436803,436033,433953,437614
Napa                ,136484,136839,138249,138808,140114,140654,141119,140837,139786,138982,138304,137128,135564,134508,135029
Nevada              ,98764,99035,98896,99116,99490,100341,100793,100998,101640,101719,102259,101985,101080,100474,100177
Orange              ,3010232,3037811,3073792,3105236,3125985,3148491,3165028,3185541,3192479,3192408,3188326,3172352,3158071,3141065,3150835
Placer              ,348432,354618,360512,365195,369910,373578,379143,386586,392693,399659,403822,406443,407539,410085,412844
Plumas              ,20007,19977,19700,19345,19120,19035,19017,19365,19388,19655,19780,19626,19254,18993,18841
Riverside           ,2189641,2213474,2239478,2260809,2280208,2302000,2326213,2355286,2375547,2394094,2412908,2419165,2427832,2428580,2442378
Sacramento,1418788,1431665,1447519,1461786,1476829,1495130,1511942,1530548,1547095,1562887,1580826,1580120,1572254,1576639,1578938
San Benito  ,55269,55835,56778,57386,58212,58839,59563,60499,61143,62734,63931,64642,65642,65165,65853
San Bernardino    ,2035210,2055566,2072061,2085599,2096526,2114182,2124990,2142339,2153258,2169538,2179505,2179006,2179845,2172694,2181433
San Diego           ,3095313,3124985,3155715,3190323,3219710,3248180,3263004,3279856,3294139,3302865,3297350,3286880,3278730,3290423,3291101
San Francisco,805235,815714,826354,839556,846661,855489,861977,867378,872724,872219,873444,855338,840575,842224,843071
San Joaquin,685306,692465,699719,705545,712387,724185,735670,747119,755573,767324,776794,780320,782163,783903,791408
San Luis Obispo     ,269637,270396,272951,275482,278272,279620,281046,282284,282754,282935,282484,278737,279439,279818,278469
San Mateo           ,718451,726265,735915,745842,751906,758673,763530,765207,766114,765726,765009,756636,742051,745302,741565
Santa Barbara       ,423895,424822,427960,432485,437066,440902,444102,445716,447377,447907,448408,441552,443074,442342,443623
Santa Clara         ,1781642,1805407,1833344,1861489,1883691,1907380,1923243,1930897,1936569,1936821,1936352,1913779,1895752,1902799,1903198
Santa Cruz          ,262382,265364,267492,269714,271559,274207,275625,275410,274274,272618,271259,265533,264495,263338,262572
Shasta              ,177223,178218,178865,180106,180826,181253,180374,180810,181792,181573,181926,181483,180206,179122,179195
Sierra              ,3240,3244,3239,3225,3218,3214,3222,3236,3243,3241,3235,3225,3205,3187,3171
Siskiyou            ,44900,44937,44778,44726,44674,44550,44497,44377,44315,44273,44111,43905,43571,43479,43409
Solano              ,413344,414084,418963,423373,428671,433545,438420,444713,447744,450545,452957,450122,447027,445506,446426
Sonoma              ,483878,485975,488601,492751,496615,499963,501553,502454,499410,494708,490008,484459,479654,479445,478152
Stanislaus          ,514453,517840,521723,525173,528123,532534,537785,545273,548363,550947,552488,551342,548215,545753,548744
Sutter              ,94737,94535,94718,94496,95103,95421,96065,97649,99498,101531,100058,99089,99153,98248,100110
Tehama              ,63463,63337,63202,63257,63067,63405,64017,64304,64789,65030,65674,65336,64942,64710,64308
Trinity             ,13786,13945,14193,14442,14692,14906,15136,15381,15642,15898,16070,16054,15971,15944,15915
Tulare              ,442179,445415,449884,453530,455774,458186,461170,463514,466766,469228,472371,474000,474624,474680,478918
Tuolumne            ,55365,55306,55100,55109,55315,54956,55303,55133,55213,55074,55529,54827,54500,54626,54407
Ventura             ,823318,830196,835510,841501,846456,849950,851155,850424,850604,847064,844339,839916,831531,825960,823863
Yolo                ,200849,202769,204087,206386,206708,208343,211938,214387,215708,215874,216306,214911,220176,220454,221666
Yuba                ,72155,72841,73501,74114,74755,75374,76245,77751,78751,79619,81178,81917,82234,82814,83721
